"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Salvador Pérez","33","140","580","538","59","137","21","0","23","80","0","0","19","135",".255",".292",".422",".714","94","227","11","13","0","8","6"
"2","1B","Nick Pratto*","24","95","345","306","33","71","16","0","7","35","1","1","29","138",".232",".307",".353",".660","82","108","3","6","0","4","0"
"3","2B","Michael Massey*","25","129","461","428","42","98","18","1","15","55","6","2","24","99",".229",".274",".381",".655","78","163","3","4","1","4","0"
"4","SS","Bobby Witt Jr.","23","158","694","641","97","177","28","11","30","96","49","15","40","121",".276",".319",".495",".813","120","317","11","4","1","8","1"
"5","3B","Maikel García","23","123","515","464","59","126","20","4","4","50","23","7","38","115",".272",".323",".358",".681","88","166","9","2","1","10","0"
"6","LF","Edward Olivares","27","107","385","354","47","93","23","4","12","36","11","5","22","64",".263",".317",".452",".769","109","160","7","7","0","2","1"
"7","CF","Kyle Isbel*","26","91","313","292","45","70","22","2","5","34","7","1","17","59",".240",".282",".380",".662","80","111","5","1","1","2","0"
"8","RF","MJ Melendez*","24","148","602","533","65","125","29","5","16","56","6","4","62","170",".235",".316",".398",".713","95","212","4","3","0","4","2"
"9","DH","Vinnie Pasquantino*","25","61","260","231","24","57","17","0","9","26","0","0","25","31",".247",".324",".437",".762","108","101","7","2","0","1","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Drew Waters#","24","98","337","302","40","69","11","5","8","32","16","5","27","107",".228",".300",".377",".677","85","114","4","5","0","3","0"
"11","C","Freddy Fermin","28","70","235","217","26","61","10","1","9","32","0","0","13","50",".281",".321",".461",".781","112","100","11","1","1","3","0"
"12","IF","Matt Duffy","32","78","209","191","17","48","8","0","2","16","1","0","12","39",".251",".306",".325",".631","75","62","4","4","0","2","0"
"13","IF","Nicky Lopez*","28","68","190","160","19","34","5","3","0","13","4","2","21","30",".213",".323",".281",".604","69","45","3","5","4","0","0"
"14","RF","Nelson Velázquez","24","40","147","133","27","31","4","0","14","28","0","0","11","43",".233",".299",".579",".878","134","77","2","2","0","1","0"
"15","OF","Dairon Blanco","30","69","138","124","19","32","7","4","3","18","24","5","10","33",".258",".324",".452",".775","111","56","2","2","2","0","0"
"16","CF","Jackie Bradley Jr.*","33","43","113","105","10","14","5","0","1","6","0","0","5","29",".133",".188",".210",".397","10","22","3","2","1","0","0"
"17","3B","Hunter Dozier","31","29","91","82","8","15","2","1","2","9","2","0","8","29",".183",".253",".305",".558","53","25","0","0","0","1","0"
"18","UT","Samad Taylor","24","31","69","60","11","12","2","1","0","4","8","0","7","22",".200",".279",".267",".546","52","16","1","0","1","1","0"
"19","IF","Nick Loftin","24","19","68","62","10","20","5","1","0","10","2","0","4","12",".323",".368",".435",".803","121","27","0","1","0","1","0"
"20","1B","Matt Beaty*","30","26","67","56","7","13","4","0","0","3","0","0","6","12",".232",".358",".304",".662","86","17","1","5","0","0","0"
"21","DH","Franmil Reyes","27","19","65","59","5","11","0","0","2","7","0","0","4","24",".186",".231",".288",".519","42","17","3","0","0","2","0"
"22","OF","Nate Eaton","26","28","56","53","2","4","0","0","0","1","3","0","2","21",".075",".125",".075",".200","-42","4","0","1","0","0","0"
"23","C","Logan Porter","27","11","38","31","4","6","1","0","1","3","0","0","5","11",".194",".324",".323",".647","80","10","2","1","1","0","0"
"24","C","Tyler Cropley","27","2","7","6","0","1","0","0","0","1","0","0","0","2",".167",".143",".167",".310","-15","1","0","0","0","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"25","P","Tucker Davidson*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Dylan Coleman","26","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Kris Bubic*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Brady Singer","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Aroldis Chapman*","35","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Scott Barlow","30","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Josh Taylor*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Jackson Kowar","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Nick Wittgren","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Taylor Hearn*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Amir Garrett","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","James McArthur","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","John McMillon*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Angel Zerpa*","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Alec Marsh","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Anthony Veneziano*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Collin Snider","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Austin Cox*","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Jordan Lyles","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Brad Keller","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Mike Mayers","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Brooks Kriske","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Jonathan Heasley","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","José Cuas","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Josh Staumont","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Ryan Yarbrough","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Jonathan Bowlan","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Daniel Lynch IV*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Zack Greinke","39","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Max Castillo","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Taylor Clarke","30","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Carlos Hernández","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Cole Ragans*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"58","P","Steven Cruz","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","26.3","162","5985","5428","676","1325","258","43","163","651","163","47","411","1396",".244",".303",".398",".700","91","2158","96","71","14","58","12"
"","","Rank in 15 AL teams","","","","13","10","11","11","1","14","","1","15","14","6","9","13","10","10","","10","","7","","1",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
