"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Max Stassi","30","87","319","282","45","68","11","1","13","35","0","0","28","101",".241",".326",".426",".752","103","120","8","8","0","1","0"
"2","1B","Jared Walsh*","27","144","585","530","70","147","34","1","29","98","2","1","48","152",".277",".340",".509",".850","127","270","7","4","0","3","6"
"3","2B","David Fletcher","27","157","665","626","74","164","27","3","2","47","15","3","31","60",".262",".297",".324",".622","70","203","10","1","6","1","1"
"4","SS","Jose Iglesias","31","114","447","424","57","110","23","1","8","41","5","2","18","66",".259",".295",".375",".670","81","159","10","4","0","1","0"
"5","3B","Jack Mayfield","30","75","258","232","28","52","14","0","10","36","5","0","16","58",".224",".282",".414",".696","86","96","4","3","3","1","0"
"6","LF","Justin Upton","33","89","362","318","47","67","12","0","17","41","4","1","39","107",".211",".296",".409",".705","90","130","11","1","0","3","0"
"7","CF","Brandon Marsh*","23","70","260","236","27","60","12","3","2","19","6","1","20","91",".254",".317",".356",".673","83","84","3","2","1","1","0"
"8","RF","Taylor Ward","27","65","237","208","33","52","15","0","8","33","1","1","20","55",".250",".332",".438",".769","107","91","4","6","2","1","0"
"9","DH","Shohei Ohtani*","26","155","639","537","103","138","26","8","46","100","26","10","96","189",".257",".372",".592",".965","157","318","7","4","0","2","20"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Phil Gosselin","32","104","373","345","40","90","14","0","7","47","4","2","24","81",".261",".314",".362",".676","84","125","3","3","0","1","0"
"11","OF","Juan Lagares","32","112","327","309","39","73","20","2","6","38","1","2","12","76",".236",".266",".372",".638","71","115","8","1","4","1","0"
"12","3B","Anthony Rendon","31","58","249","217","24","52","13","0","6","34","0","0","29","41",".240",".329",".382",".712","94","83","11","1","0","2","2"
"13","C","Kurt Suzuki","37","72","247","219","17","49","8","0","6","16","0","0","12","44",".224",".294",".342",".636","73","75","7","11","2","3","0"
"14","SS","Luis Rengifo#","24","54","190","174","22","35","1","0","6","18","1","0","9","38",".201",".246",".310",".556","50","54","3","2","3","2","0"
"15","UT","José Rojas*","28","61","184","168","26","35","14","0","6","15","2","1","15","50",".208",".277",".399",".676","81","67","2","1","0","0","0"
"16","CF","Mike Trout","29","36","146","117","23","39","8","1","8","18","2","0","27","41",".333",".466",".624","1.090","194","73","0","2","0","0","5"
"17","OF","Jo Adell","22","35","140","130","17","32","5","2","4","26","2","1","8","32",".246",".295",".408",".703","89","53","3","1","1","0","0"
"18","1B","Albert Pujols","41","24","92","86","9","17","0","0","5","12","1","0","3","13",".198",".250",".372",".622","66","32","4","3","0","0","1"
"19","RF","Adam Eaton*","32","25","69","65","5","13","2","0","1","2","1","0","2","16",".200",".232",".277",".509","38","18","1","1","0","1","0"
"20","UT","Kean Wong*","26","32","66","60","3","10","2","1","0","6","0","1","2","17",".167",".194",".233",".427","16","14","0","0","4","0","0"
"21","C","Drew Butera","37","12","36","32","1","3","1","0","0","5","0","0","0","16",".094",".091",".125",".216","-42","4","0","0","3","1","0"
"22","OF","Scott Schebler*","30","14","34","34","3","5","3","0","0","0","0","0","0","17",".147",".147",".235",".382","2","8","0","0","0","0","0"
"23","C","Anthony Bemboom*","31","8","28","27","2","6","0","0","0","2","0","0","1","10",".222",".250",".222",".472","31","6","1","0","0","0","0"
"24","RF","Dexter Fowler#","35","7","21","20","3","5","0","0","0","1","1","0","1","6",".250",".286",".250",".536","49","5","0","0","0","0","0"
"25","LF","Jon Jay*","36","5","14","14","2","5","0","0","0","1","0","0","0","2",".357",".357",".357",".714","96","5","0","0","0","0","0"
"26","1B","Matt Thaiss*","26","3","8","7","1","1","0","0","0","0","0","0","1","1",".143",".250",".143",".393","12","1","0","0","0","0","0"
