"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Jorge Alfaro","27","31","100","93","12","21","2","0","3","16","2","0","4","36",".226",".280",".344",".624","68","32","2","3","0","0","1"
"2","1B","Jesús Aguilar","30","51","216","188","31","52","10","0","8","34","0","1","23","40",".277",".352",".457",".809","117","86","5","1","0","4","0"
"3","2B","Jon Berti","30","39","149","120","21","31","5","0","2","14","9","2","23","37",".258",".388",".350",".738","102","42","1","3","2","1","0"
"4","SS","Miguel Rojas","31","40","143","125","20","38","10","1","4","20","5","1","16","18",".304",".392",".496",".888","138","62","1","2","0","0","2"
"5","3B","Brian Anderson","27","59","229","200","27","51","7","1","11","38","0","0","22","66",".255",".345",".465",".810","116","93","2","6","0","1","1"
"6","LF","Corey Dickerson*","31","52","210","194","25","50","5","1","7","17","1","1","15","35",".258",".311",".402",".713","91","78","5","0","0","0","1"
"7","CF","Starling Marte","31","28","112","106","13","26","6","0","4","13","5","0","2","22",".245",".286",".415",".701","86","44","2","4","0","0","0"
"8","RF","Matt Joyce*","35","46","148","127","16","32","4","0","2","14","1","0","20","41",".252",".351",".331",".682","87","42","3","0","0","1","0"
"9","DH","Garrett Cooper","29","34","133","120","20","34","8","0","6","20","0","0","11","31",".283",".353",".500",".853","127","60","5","2","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","MI","Jonathan Villar#","29","30","128","116","10","30","4","0","2","9","9","5","10","32",".259",".315",".345",".660","79","40","2","0","1","1","1"
"11","RF","Lewis Brinson","26","47","112","106","14","24","6","0","3","12","4","0","6","30",".226",".268",".368",".636","70","39","2","0","0","0","0"
"12","C","Francisco Cervelli","34","16","62","53","10","13","2","0","3","7","1","0","8","14",".245",".355",".453",".808","117","24","3","1","0","0","0"
"13","MI","Jazz Chisholm Jr.*","22","21","62","56","8","9","1","1","2","6","2","2","5","19",".161",".242",".321",".563","51","18","0","1","0","0","0"
"14","OF","Magneuris Sierra*","24","19","53","44","8","11","3","1","0","7","4","1","5","9",".250",".333",".364",".697","89","16","0","1","2","1","0"
"15","OF","Monte Harrison","24","32","51","47","8","8","1","0","1","3","6","0","4","26",".170",".235",".255",".491","33","12","0","0","0","0","0"
"16","C","Chad Wallach","28","15","48","44","4","10","3","0","1","6","0","0","3","12",".227",".277",".364",".640","71","16","1","0","1","0","0"
"17","1B","Lewin Díaz*","23","14","41","39","2","6","2","0","0","3","0","0","2","12",".154",".195",".205",".400","9","8","2","0","0","0","0"
"18","IF","Eddy Alvarez#","30","12","41","37","6","7","1","0","0","2","2","0","3","16",".189",".268",".216",".485","34","8","0","1","0","0","0"
"19","IF","Logan Forsythe","33","12","38","34","2","4","1","0","1","2","0","0","4","12",".118",".211",".235",".446","21","8","0","0","0","0","0"
"20","RF","Jesús Sánchez*","22","10","29","25","1","1","1","0","0","2","0","0","4","11",".040",".172",".080",".252","-28","2","1","0","0","0","0"
"21","2B","Isan Díaz*","24","7","22","22","3","4","0","0","0","1","0","0","0","7",".182",".182",".182",".364","-1","4","0","0","0","0","0"
"22","UT","Sean Rodríguez","35","4","13","13","0","2","0","0","0","0","0","0","0","6",".154",".154",".154",".308","-16","2","0","0","0","0","0"
"23","OF","Harold Ramírez","25","3","11","10","2","2","0","0","0","1","0","1","1","2",".200",".273",".200",".473","31","2","0","0","0","0","0"
"24","C","Ryan Lavarnway","32","5","11","11","0","4","0","0","0","0","0","0","0","2",".364",".364",".364",".727","98","4","0","0","0","0","0"
"25","C","Brian Navarreto","25","2","5","5","0","2","0","0","0","0","0","0","0","1",".400",".400",".400",".800","118","2","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"26","P","Nick Vincent","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Elieser Hernández","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Jorge Guzmán","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Richard Bleier*","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Jordan Holloway","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Stephen Tarpley","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Jesús Tinoco","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Josh D. Smith*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Sterling Sharp","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Brandon Leibrandt*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Braxton Garrett*","22","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Jeff Brigham","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Brad Boxberger","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Sandy Alcántara","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Brett Eibner","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Yimi García","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Ryne Stanek","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","James Hoyt","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Robert Dugger","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Mike Morin","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Pat Venditte*","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Johan Quezada","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Nick Neidert","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Alex Vesia*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Josh A. Smith","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Daniel Castano*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Brandon Kintzler","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Trevor Rogers*","22","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Pablo López*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Humberto Mejía","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Jordan Yamamoto","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Caleb Smith","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"58","P","Brian Moran*","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"59","P","Sixto Sánchez","21","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"60","P","José Ureña","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"61","P","Justin Shafer","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","29.1","60","2167","1935","263","472","82","5","60","247","51","14","191","537",".244",".319",".384",".703","89","744","37","25","6","9","6"
"","","Rank in 15 NL teams","","","","10","11","10","11","12","12","","2","15","12","11","9","9","13","11","","11","","12","","13",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
