"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Omar Narváez*","29","123","445","391","54","104","20","0","11","49","0","0","41","84",".266",".342",".402",".743","101","157","13","7","0","6","3"
"2","1B","Daniel Vogelbach*","28","93","258","215","30","47","8","0","9","24","0","0","43","57",".219",".349",".381",".730","99","82","6","0","0","0","1"
"3","2B","Kolten Wong*","30","116","492","445","70","121","32","2","14","50","12","5","31","83",".272",".335",".447",".783","110","199","2","13","0","3","1"
"4","SS","Willy Adames","25","99","413","365","61","104","26","0","20","58","4","2","47","105",".285",".366",".521",".886","137","190","8","0","0","1","1"
"5","3B","Luis Urías","24","150","570","490","77","122","25","1","23","75","5","1","63","116",".249",".345",".445",".789","112","218","9","10","1","3","3"
"6","LF","Christian Yelich*","29","117","475","399","70","99","19","2","9","51","9","3","70","113",".248",".362",".373",".736","101","149","5","3","0","3","5"
"7","CF","Jackie Bradley Jr.*","31","134","428","387","39","63","14","3","6","29","7","1","28","132",".163",".236",".261",".497","35","101","8","10","0","3","0"
"8","RF","Avisaíl García","30","135","515","461","68","121","18","0","29","86","8","4","38","121",".262",".330",".490",".820","119","226","12","11","0","5","5"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","2B","Jace Peterson*","31","94","302","259","36","64","11","1","6","31","10","1","38","68",".247",".348",".367",".714","95","95","1","3","0","2","0"
"10","CF","Lorenzo Cain","35","78","286","257","40","66","13","0","8","36","13","2","26","48",".257",".329",".401",".729","97","103","5","2","0","1","0"
"11","OF","Tyrone Taylor","27","93","271","243","33","60","9","3","12","43","6","1","20","59",".247",".321",".457",".778","108","111","6","7","0","1","1"
"12","C","Manny Piña","34","75","208","180","27","34","6","0","13","33","0","0","22","38",".189",".293",".439",".732","95","79","4","5","0","1","0"
"13","3B","Travis Shaw*","31","56","202","178","14","34","8","0","6","28","0","0","19","51",".191",".279",".337",".616","66","60","2","3","1","1","0"
"14","3B","Eduardo Escobar#","32","48","199","179","27","48","12","2","6","25","0","0","19","39",".268",".342",".458",".800","115","82","2","1","0","0","0"
"15","1B","Keston Hiura","24","61","197","173","16","29","9","1","4","19","3","0","14","77",".168",".256",".301",".557","51","52","6","7","2","1","0"
"16","1B","Rowdy Tellez*","26","56","174","158","22","43","10","1","7","28","0","0","14","32",".272",".333",".481",".814","118","76","3","1","0","1","3"
"17","LF","Billy McKinney*","26","40","100","92","9","19","3","1","3","6","1","0","7","24",".207",".260",".359",".619","66","33","1","0","0","1","1"
"18","IF","Daniel Robertson","27","50","90","73","10","12","2","0","2","4","0","0","12","28",".164",".303",".274",".577","59","20","1","3","1","1","1"
"19","3B","Pablo Reyes","27","53","87","78","12","20","5","0","1","3","4","0","9","15",".256",".333",".359",".692","88","28","2","0","0","0","1"
"20","C","Luke Maile","30","15","34","30","6","9","4","0","0","3","0","0","3","7",".300",".382",".433",".816","121","13","1","1","0","0","0"
"21","C","Jacob Nottingham","26","5","14","14","2","3","1","0","2","4","0","0","0","8",".214",".214",".714",".929","137","10","0","0","0","0","0"
"22","IF","Orlando Arcia","26","4","11","11","0","1","0","0","0","1","0","0","0","3",".091",".091",".091",".182","-50","1","0","0","0","0","0"
"23","2B","Tim Lopes","27","7","11","10","1","1","0","0","0","0","0","1","1","4",".100",".182",".100",".282","-20","1","0","0","0","0","0"
"24","OF","Derek Fisher*","27","4","8","8","1","2","0","1","0","1","0","0","0","1",".250",".250",".500",".750","96","4","0","0","0","0","0"
"25","RF","Corey Ray*","26","1","3","2","1","0","0","0","0","0","0","0","1","1",".000",".333",".000",".333","3","0","0","0","0","0","0"
"26","","Mario Feliciano","22","1","1","0","1","0","0","0","0","0","0","0","1","0","","1.000","","","","0","0","0","0","0","0"
"27","","Sal Romano*","27","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Corbin Burnes","26","26","59","52","1","8","0","0","0","4","0","0","3","26",".154",".200",".154",".354","-2","8","0","0","4","0","0"
"29","P","Brandon Woodruff*","28","28","58","52","0","6","0","0","0","2","0","0","3","28",".115",".164",".115",".279","-22","6","0","0","3","0","0"
"30","P","Adrian Houser","28","26","46","42","2","3","0","0","2","2","0","0","2","30",".071",".114",".214",".328","-14","9","0","0","2","0","0"
"31","P","Freddy Peralta","25","28","45","43","1","4","0","0","0","0","0","0","1","22",".093",".114",".093",".207","-43","4","1","0","1","0","0"
"32","P","Eric Lauer","26","24","37","26","3","4","0","0","1","4","0","0","3","15",".154",".258",".269",".527","44","7","1","1","6","1","0"
"33","P","Brett Anderson*","33","24","34","28","2","0","0","0","0","1","0","0","4","14",".000",".125",".000",".125","-62","0","3","0","2","0","0"
"34","P","Aaron Ashby","23","12","4","2","0","0","0","0","0","0","0","0","1","2",".000",".333",".000",".333","3","0","0","0","1","0","0"
"35","P","Brent Suter*","31","60","4","4","0","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"36","P","Colin Rea","30","1","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"37","P","Hoby Milner*","30","18","2","1","0","0","0","0","0","0","0","0","1","1",".000",".500",".000",".500","54","0","0","0","0","0","0"
"38","P","Hunter Strickland","32","31","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"39","P","Jandel Gustave","28","12","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"40","P","Daniel Norris*","28","16","2","2","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"41","P","Trevor Richards","28","15","1","0","1","0","0","0","0","0","0","0","1","0","","1.000","","","","0","0","0","0","0","0"
"42","P","Drew Rasmussen","25","15","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"43","P","Jordan Zimmermann","35","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"44","P","Justin Topa","30","4","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"45","P","Miguel Sánchez","27","28","1","1","1","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"46","P","Alec Bettinger","25","4","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"47","P","Zack Godley","31","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","1","0","0"
"48","P","Josh Lindblom","34","8","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"49","P","Patrick Weigel","26","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","John Axford","38","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Josh Hader*","27","57","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","John Curtiss","28","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Phil Bickford","25","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Eric Yardley","30","17","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Ryan Weber","30","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Brad Boxberger","33","67","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Devin Williams","26","55","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
