"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Wilson Ramos","32","45","155","142","13","34","6","0","5","15","0","0","10","31",".239",".297",".387",".684","87","55","5","2","0","1","0"
"2","1B","Pete Alonso","25","57","239","208","31","48","6","0","16","35","1","0","24","61",".231",".326",".490",".817","122","102","4","6","0","1","4"
"3","2B","Robinson Canó*","37","49","182","171","23","54","9","0","10","30","0","0","9","24",".316",".352",".544",".896","143","93","7","1","0","1","1"
"4","SS","Amed Rosario","24","46","147","143","20","36","3","1","4","15","0","1","4","34",".252",".272",".371",".643","75","53","5","0","0","0","0"
"5","3B","J.D. Davis","27","56","229","190","26","47","9","0","6","19","0","0","31","56",".247",".371",".389",".761","111","74","8","7","0","1","1"
"6","LF","Jeff McNeil*","28","52","209","183","19","57","14","0","4","23","0","2","20","24",".311",".383",".454",".836","130","83","3","3","0","3","2"
"7","CF","Brandon Nimmo*","27","55","225","186","33","52","8","3","8","18","1","2","33","43",".280",".404",".484",".888","145","90","1","6","0","0","0"
"8","RF","Michael Conforto*","27","54","233","202","40","65","12","0","9","31","3","3","24","57",".322",".412",".515",".927","154","104","6","7","0","0","0"
"9","DH","Yoenis Céspedes","34","8","34","31","3","5","1","0","2","4","0","0","2","15",".161",".235",".387",".622","68","12","1","1","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Dominic Smith*","25","50","199","177","27","56","21","1","10","42","0","0","14","45",".316",".377",".616",".993","168","109","2","5","0","3","0"
"11","SS","Andrés Giménez*","21","49","132","118","22","31","3","2","3","12","8","1","7","28",".263",".333",".398",".732","101","47","0","6","0","1","0"
"12","IF","Luis Guillorme*","25","29","68","57","6","19","6","0","0","9","2","0","10","17",".333",".426",".439",".865","140","25","3","0","0","1","0"
"13","3B","Todd Frazier","34","14","51","49","5","11","2","0","2","5","0","0","1","16",".224",".255",".388",".643","74","19","1","1","0","0","0"
"14","CF","Jake Marisnick","29","16","34","33","4","11","3","0","2","5","0","0","1","10",".333",".353",".606",".959","158","20","0","0","0","0","0"
"15","C","Robinson Chirinos","36","12","33","32","1","7","2","0","1","5","0","0","1","9",".219",".242",".375",".617","67","12","2","0","0","0","0"
"16","C","Tomás Nido","26","7","26","24","4","7","1","0","2","6","0","0","2","6",".292",".346",".583",".929","150","14","2","0","0","0","0"
