"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Gary Sánchez","28","117","440","383","54","78","13","1","23","54","0","0","52","121",".204",".307",".423",".730","99","162","14","5","0","0","3"
"2","1B","Anthony Rizzo*","31","49","200","173","32","43","7","0","8","21","2","0","16","28",".249",".340",".428",".768","110","74","5","9","0","2","0"
"3","2B","DJ LeMahieu","32","150","679","597","84","160","24","1","10","57","4","2","73","94",".268",".349",".362",".711","97","216","16","4","0","5","2"
"4","SS","Gleyber Torres","24","127","516","459","50","119","22","0","9","51","14","6","50","104",".259",".331",".366",".697","93","168","12","1","2","4","1"
"5","3B","Gio Urshela","29","116","442","420","42","112","18","2","14","49","1","0","20","109",".267",".301",".419",".720","96","176","16","1","0","1","0"
"6","LF","Joey Gallo*","27","58","228","188","33","30","7","0","13","22","0","0","37","88",".160",".303",".404",".707","93","76","3","2","0","1","1"
"7","CF","Brett Gardner*","37","140","461","387","47","86","16","4","10","39","4","0","60","100",".222",".327",".362",".689","90","140","3","3","5","6","0"
"8","RF","Aaron Judge","29","148","633","550","89","158","24","0","39","98","6","1","75","158",".287",".373",".544",".916","149","299","16","3","0","5","2"
"9","DH","Giancarlo Stanton","31","139","579","510","64","139","19","0","35","97","0","0","63","157",".273",".354",".516",".870","136","263","22","3","0","3","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Rougned Odor*","27","102","361","322","42","65","12","0","15","39","0","1","27","100",".202",".286",".379",".665","82","122","3","11","1","0","2"
"11","1B","Luke Voit","30","68","241","213","26","51","7","1","11","35","0","0","21","74",".239",".328",".437",".764","109","93","12","7","0","0","0"
"12","OF","Clint Frazier","26","66","218","183","20","34","9","0","5","15","2","0","32","65",".186",".317",".317",".633","76","58","8","3","0","0","0"
"13","C","Kyle Higashioka","31","67","211","193","20","35","10","0","10","29","0","0","17","59",".181",".246",".389",".635","71","75","4","0","0","1","0"
"14","LF","Miguel Andújar","26","45","162","154","19","39","2","0","6","12","0","1","7","28",".253",".284",".383",".667","82","59","8","0","0","1","0"
"15","IF","Tyler Wade*","26","103","145","127","31","34","5","1","0","5","17","6","16","37",".268",".354",".323",".677","90","41","3","1","0","0","1"
"16","CF","Aaron Hicks#","31","32","126","108","13","21","3","0","4","14","0","0","14","30",".194",".294",".333",".627","73","36","3","2","0","2","0"
"17","1B","Mike Ford*","28","22","72","60","6","8","0","0","3","5","0","0","11","23",".133",".278",".283",".561","56","17","1","1","0","0","1"
"18","SS","Andrew Velazquez#","26","28","68","67","11","15","4","1","1","6","4","1","1","23",".224",".235",".358",".594","61","24","1","0","0","0","0"
"19","OF","Greg Allen#","28","15","48","37","9","10","4","1","0","2","5","0","5","13",".270",".417",".432",".849","136","16","0","5","0","1","0"
"20","1B","Chris Gittens","27","16","44","36","1","4","0","0","1","5","0","0","7","13",".111",".250",".194",".444","26","7","0","0","0","1","0"
"21","1B","Jay Bruce*","34","10","39","34","3","4","1","0","1","3","0","0","5","13",".118",".231",".235",".466","30","8","2","0","0","0","0"
"22","CF","Estevan Florial*","23","11","25","20","3","6","2","0","1","2","1","0","5","6",".300",".440",".550",".990","171","11","0","0","0","0","0"
"23","OF","Ryan LaMarre","32","9","24","21","3","4","0","0","2","4","1","0","2","6",".190",".292",".476",".768","107","10","1","1","0","0","0"
"24","OF","Tim Locastro","28","9","23","21","4","4","2","0","1","2","0","0","1","7",".190",".217",".429",".646","72","9","0","0","0","1","0"
"25","UT","Rob Brantly*","31","6","21","20","0","3","1","0","0","0","0","0","0","4",".150",".190",".200",".390","8","4","0","1","0","0","0"
"26","OF","Jonathan Davis","29","12","18","17","4","1","0","0","0","0","0","0","1","5",".059",".111",".059",".170","-51","1","0","0","0","0","0"
"27","OF","Mike Tauchman*","30","11","16","14","1","3","1","0","0","0","2","0","1","6",".214",".267",".286",".552","53","4","0","0","1","0","0"
"28","RF","Trey Amburgey","26","2","4","4","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","1","0","0","0","0"
"29","RF","Hoy Park*","25","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"30","","Sal Romano*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Jordan Montgomery*","28","3","4","4","0","0","0","0","0","0","0","0","0","4",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"32","P","Domingo Germán","28","2","3","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","1","0","0"
"33","P","Jameson Taillon","29","2","2","1","0","0","0","0","0","0","0","0","1","0",".000",".500",".000",".500","58","0","0","0","0","0","0"
"34","P","Corey Kluber","35","1","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"35","P","Clarke Schmidt","25","1","2","1","0","0","0","0","0","0","0","0","1","1",".000",".500",".000",".500","58","0","0","0","0","0","0"
"36","P","Nestor Cortes","26","2","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"37","P","Andrew Heaney*","30","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"38","P","Michael King","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Stephen Ridings","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Zack Britton*","33","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Gerrit Cole","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Luis Cessa","29","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Clay Holmes","28","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Aroldis Chapman*","33","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Lucas Luetge*","34","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Wandy Peralta*","29","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Albert Abreu","25","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Asher Wojciechowski","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Jonathan Loáisiga","26","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Luis Severino","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Brooks Kriske","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Brody Koerner","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Deivi García","22","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Joely Rodríguez*","29","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Justin Wilson*","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Nick Nelson","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Chad Green*","30","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"58","P","Darren O'Day","38","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"59","P","Luis Gil","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","29.4","162","6060","5331","711","1266","213","12","222","666","63","18","621","1482",".237",".322",".407",".729","100","2169","154","63","10","34","14"
"","","Rank in 15 AL teams","","","","15","10","13","15","14","3","","10","4","1","12","13","5","7","7","","11","","9","","12",""
"","","Non-Pitcher Totals","29.4","162","6045","5319","711","1266","213","12","222","666","63","18","619","1473",".238",".323",".408",".731","100","2169","154","63","9","34","14"
