"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Shea Langeliers","25","135","490","448","52","92","19","4","22","63","3","2","34","143",".205",".268",".413",".681","92","185","10","5","1","2","2"
"2","1B","Ryan Noda*","27","128","495","406","63","93","22","1","16","54","3","1","77","170",".229",".364",".406",".770","121","165","4","10","0","2","1"
"3","2B","Zack Gelof","23","69","300","270","40","72","20","1","14","32","14","2","26","82",".267",".337",".504",".840","137","136","5","3","0","1","1"
"4","SS","Nick Allen","24","106","329","303","29","67","4","2","4","20","5","1","17","52",".221",".263",".287",".550","58","87","8","1","6","2","0"
"5","3B","Jace Peterson*","33","92","324","281","30","62","7","2","6","28","11","1","36","77",".221",".313",".324",".637","84","91","6","3","1","3","1"
"6","LF","Tony Kemp*","31","124","419","359","42","75","13","3","5","27","15","4","44","40",".209",".303",".304",".607","76","109","9","6","7","3","0"
"7","CF","Esteury Ruiz","24","132","497","449","47","114","24","1","5","47","67","13","20","99",".254",".309",".345",".654","88","155","7","16","4","1","1"
"8","RF","Ramón Laureano","28","64","246","225","24","48","10","3","6","21","8","0","17","73",".213",".280",".364",".645","83","82","5","4","0","0","0"
"9","DH","Brent Rooker","28","137","526","463","61","114","20","1","30","69","4","0","49","172",".246",".329",".488",".817","130","226","11","10","0","4","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Seth Brown*","30","112","378","343","33","76","19","1","14","52","3","1","30","101",".222",".286",".405",".692","96","139","6","2","1","2","1"
"11","IF","Aledmys Díaz","32","109","344","315","25","72","20","1","4","24","1","0","17","66",".229",".280",".337",".616","76","106","14","7","1","4","2"
"12","OF","JJ Bleday*","25","82","303","256","35","50","11","0","10","27","5","1","42","72",".195",".310",".355",".666","91","91","3","2","0","3","0"
"13","IF","Jordan Diaz","22","90","293","272","20","60","9","0","10","27","0","1","17","69",".221",".273",".364",".637","81","99","10","3","0","1","0"
"14","C","Carlos Pérez","32","66","189","168","17","38","4","0","6","20","0","0","13","40",".226",".293",".357",".650","85","60","4","4","1","3","0"
"15","SS","Kevin Smith","26","49","146","135","15","25","4","0","5","11","1","0","5","51",".185",".220",".326",".546","54","44","3","1","5","0","0"
"16","DH","Tyler Soderstrom*","21","45","138","125","9","20","1","0","3","7","0","0","11","43",".160",".232",".240",".472","36","30","6","1","0","1","0"
"17","CF","Lawrence Butler*","22","42","129","123","10","26","4","0","4","10","0","0","4","35",".211",".240",".341",".582","64","42","5","1","0","1","0"
"18","1B","Jesús Aguilar","33","36","115","104","8","23","2","0","5","9","0","0","8","31",".221",".281",".385",".665","89","40","3","1","0","1","2"
"19","3B","Jonah Bride","27","40","106","88","9","15","3","0","0","7","0","1","11","22",".170",".286",".205",".490","45","18","3","4","1","2","0"
"20","OF","Conner Capel*","26","32","86","73","6","19","5","0","0","3","5","3","12","25",".260",".372",".329",".701","104","24","1","1","0","0","0"
"21","UT","Tyler Wade*","28","26","55","51","8","13","1","1","0","2","4","0","4","13",".255",".309",".314",".623","80","16","0","0","0","0","0"
"22","RF","Cody Thomas*","28","19","46","42","1","10","3","0","1","2","0","0","4","17",".238",".304",".381",".685","95","16","1","0","0","0","0"
"23","DH","Manny Piña","36","4","12","12","1","3","0","0","1","1","0","0","0","3",".250",".250",".500",".750","108","6","1","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"24","P","Sam Long*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Zach Jackson","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Paul Blackburn","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Angel Felipe","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Joe Boyle","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Mason Miller","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Devin Sweet#","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Rico Garcia","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Sean Newcomb*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Hogan Harris","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Joey Estes","21","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Jeurys Familia","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Francisco Pérez#","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Shintaro Fujinami","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Lucas Erceg*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Tayler Scott","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Zach Neal","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Trevor May","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Kirby Snead*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Garrett Acton*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Drew Rucinski","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Ken Waldichuk*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Spenser Watkins","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Richard Lovelady*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Dany Jiménez","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","James Kaprielian","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Austin Pruitt","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Spencer Patton","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Luis Medina","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","JP Sears","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Kyle Muller","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Adrián Martinez","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Sam Moll*","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Domingo Acevedo","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"58","P","Freddy Tarnok","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"59","P","Chad Smith","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"60","P","Yacksel Ríos","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"61","P","Adam Oller","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"62","P","Easton Lucas*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","27.2","162","5966","5311","585","1187","225","21","171","563","149","31","498","1496",".223",".298",".370",".669","91","1967","125","85","28","36","12"
"","","Rank in 15 AL teams","","","","15","15","15","14","9","11","","4","9","11","12","15","14","15","15","","15","","4","","9",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
