"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","J.T. Realmuto","30","134","537","476","64","125","25","4","17","73","13","3","48","129",".263",".343",".439",".782","110","209","8","11","0","2","5"
"2","1B","Rhys Hoskins","28","107","443","389","64","96","29","0","27","71","3","2","47","108",".247",".334",".530",".864","129","206","7","5","0","2","0"
"3","2B","Jean Segura","31","131","567","514","76","149","27","3","14","58","9","3","39","78",".290",".348",".436",".784","111","224","16","9","1","4","3"
"4","SS","Didi Gregorius*","31","103","408","368","35","77","16","2","13","54","3","0","25","67",".209",".270",".370",".639","71","136","8","8","0","7","1"
"5","3B","Alec Bohm","24","115","417","380","46","94","15","0","7","47","4","0","31","111",".247",".305",".342",".647","75","130","12","2","0","4","0"
"6","LF","Andrew McCutchen","34","144","574","482","78","107","24","1","27","80","6","1","81","132",".222",".334",".444",".778","109","214","10","4","0","7","2"
"7","CF","Odúbel Herrera*","29","124","492","450","59","117","27","2","13","51","6","1","29","77",".260",".310",".416",".726","95","187","6","6","1","5","0"
"8","RF","Bryce Harper*","28","141","599","488","101","151","42","1","35","84","13","3","100","134",".309",".429",".615","1.044","179","300","12","5","2","4","14"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","1B","Brad Miller*","31","140","377","331","53","75","9","3","20","49","3","0","45","112",".227",".321",".453",".774","107","150","7","1","0","0","2"
"10","IF","Ronald Torreyes","28","111","344","318","30","77","10","1","7","41","2","1","19","41",".242",".286",".346",".632","71","110","7","1","5","1","2"
"11","C","Andrew Knapp#","29","62","159","145","13","22","3","0","2","11","0","0","10","61",".152",".215",".214",".429","17","31","1","2","1","1","0"
"12","CF","Travis Jankowski*","30","76","157","131","24","33","6","2","1","10","5","0","22","29",".252",".364",".351",".715","96","46","1","1","2","0","4"
"13","MI","Nick Maton*","24","52","131","117","16","30","7","1","2","14","2","0","10","39",".256",".323",".385",".708","91","45","0","2","1","1","0"
"14","IF","Freddy Galvis#","31","32","120","107","17","24","3","0","5","14","0","0","9","19",".224",".292",".393",".684","84","42","1","2","0","2","0"
"15","UT","Luke Williams","24","58","108","98","8","24","4","0","1","6","2","2","10","23",".245",".315",".316",".631","72","31","2","0","0","0","0"
"16","UT","Matt Vierling","24","34","77","71","11","23","3","1","2","6","2","0","4","20",".324",".364",".479",".843","126","34","1","1","0","1","1"
"17","OF","Matt Joyce*","36","43","69","55","6","5","1","0","2","7","0","0","12","16",".091",".261",".218",".479","32","12","2","1","0","1","2"
"18","OF","Roman Quinn#","28","28","62","52","8","9","2","2","0","2","4","3","6","19",".173",".306",".288",".595","63","15","0","4","0","0","0"
"19","C","Rafael Marchán#","22","20","56","52","7","12","1","1","1","4","0","0","4","10",".231",".286",".346",".632","71","18","1","0","0","0","0"
"20","OF","Mickey Moniak*","23","21","37","33","3","3","0","0","1","3","0","0","3","16",".091",".167",".182",".348","-5","6","0","0","1","0","1"
"21","OF","Adam Haseley*","25","9","21","21","2","4","1","0","0","0","0","0","0","4",".190",".190",".238",".429","16","5","0","0","0","0","0"
"22","UT","Scott Kingery","27","15","19","19","1","1","0","0","0","0","0","0","0","12",".053",".053",".053",".105","-71","1","0","0","0","0","0"
"23","OF","Jorge Bonifacio","28","7","12","11","0","1","0","0","0","2","0","0","1","6",".091",".167",".091",".258","-27","1","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"24","P","Zack Wheeler*","31","32","73","68","1","11","2","0","0","3","0","0","0","39",".162",".162",".191",".353","-5","13","1","0","5","0","0"
"25","P","Aaron Nola","28","31","63","49","5","7","2","0","0","4","0","0","6","29",".143",".232",".184",".416","15","9","0","0","7","1","0"
"26","P","Zach Eflin","27","17","37","29","1","0","0","0","0","1","0","0","1","15",".000",".065",".000",".065","-80","0","0","1","6","0","0"
"27","P","Kyle Gibson","33","12","28","27","3","4","0","0","1","2","0","0","0","9",".148",".148",".259",".407","8","7","0","0","1","0","0"
"28","P","Vince Velasquez","29","20","26","22","0","2","0","0","0","2","0","0","1","9",".091",".130",".091",".221","-38","2","0","0","3","0","0"
"29","P","Ranger Suárez*","25","35","23","16","2","3","2","0","0","1","0","0","1","5",".188",".278",".313",".590","60","5","0","1","5","0","0"
"30","P","Matt Moore*","32","22","20","19","0","0","0","0","0","0","0","0","0","13",".000",".000",".000",".000","-100","0","0","0","1","0","0"
"31","P","Chase Anderson","33","13","14","11","0","0","0","0","0","0","0","0","0","6",".000",".000",".000",".000","-100","0","0","0","3","0","0"
"32","P","Spencer Howard","24","10","7","6","0","2","1","0","0","0","0","0","0","3",".333",".333",".500",".833","122","3","0","0","1","0","0"
"33","P","Bailey Falter","24","21","5","5","0","0","0","0","0","0","0","0","0","5",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"34","P","Sam Coonrod","28","40","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"35","P","Adonis Medina","24","4","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"36","P","Hans Crouse*","22","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"37","P","Archie Bradley","28","49","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"38","P","Héctor Neris","32","70","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"39","P","Ramón Rosso","25","7","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","1","0","0"
