"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Jacob Stallings","31","112","427","374","38","92","20","1","8","53","0","0","49","85",".246",".335",".369",".704","91","138","10","2","0","2","0"
"2","1B","Colin Moran*","28","99","359","318","29","82","12","0","10","50","1","0","36","87",".258",".334",".390",".724","96","124","6","2","0","3","0"
"3","2B","Adam Frazier*","29","98","428","386","58","125","28","4","4","32","5","4","35","46",".324",".388",".448",".836","126","173","6","6","0","1","1"
"4","SS","Kevin Newman","27","148","554","517","50","117","22","3","5","39","6","1","27","41",".226",".265",".309",".574","55","160","7","1","6","3","3"
"5","3B","Ke'Bryan Hayes","24","96","396","362","49","93","20","2","6","38","9","1","31","87",".257",".316",".373",".689","86","135","11","1","0","2","0"
"6","LF","Ben Gamel*","29","111","383","326","42","83","17","3","8","26","3","6","48","99",".255",".352",".399",".750","104","130","6","3","2","4","2"
"7","CF","Bryan Reynolds#","26","159","646","559","93","169","35","8","24","90","5","2","75","119",".302",".390",".522",".912","145","292","10","8","0","4","9"
"8","RF","Gregory Polanco*","29","107","382","336","38","70","12","2","11","36","14","1","36","104",".208",".283",".354",".637","72","119","8","2","0","8","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","UT","Phillip Evans","28","76","247","214","23","44","5","0","5","16","1","0","28","53",".206",".312",".299",".611","67","64","3","5","0","0","1"
"10","IF","Wilmer Difo#","29","116","240","219","25","59","7","3","4","24","1","0","20","54",".269",".329",".384",".713","93","84","2","0","0","1","0"
"11","C","Michael Pérez*","28","70","231","210","19","30","8","1","7","21","0","1","19","68",".143",".221",".290",".511","37","61","4","2","0","0","1"
"12","3B","Erik González","29","71","229","220","17","51","7","1","2","21","2","2","8","40",".232",".258",".300",".558","51","66","4","0","0","1","0"
"13","UT","Hoy Park*","25","44","149","127","16","25","5","2","3","14","1","1","18","38",".197",".299",".339",".638","73","43","4","1","1","1","1"
"14","LF","Anthony Alford","26","49","148","133","14","31","6","1","5","11","5","6","12","58",".233",".311",".406",".717","93","54","4","3","0","0","1"
"15","UT","Yoshi Tsutsugo*","29","43","144","127","20","34","8","1","8","25","0","1","15","33",".268",".347",".535",".883","135","68","2","1","0","1","0"
"16","UT","Cole Tucker#","24","43","131","117","15","26","4","2","2","12","2","2","13","33",".222",".298",".342",".640","73","40","2","0","0","1","0"
"17","1B","John Nogowski","28","33","123","111","12","29","7","0","1","14","0","1","11","20",".261",".325",".351",".677","84","39","1","0","0","1","0"
"18","LF","Ka'ai Tom*","27","39","117","92","9","14","2","1","2","11","1","0","17","30",".152",".308",".261",".569","57","24","1","5","0","3","1"
"19","2B","Rodolfo Castro#","22","31","93","86","9","17","2","0","5","8","0","0","6","27",".198",".258",".395",".653","74","34","4","1","0","0","0"
"20","1B","Will Craig","26","18","65","60","5","13","2","0","1","3","0","0","5","22",".217",".277",".300",".577","57","18","1","0","0","0","1"
"21","CF","Dustin Fowler*","26","18","46","41","3","7","1","0","0","2","1","0","3","20",".171",".239",".195",".434","20","8","0","1","0","1","0"
"22","OF","Jared Oliva","25","20","43","40","4","7","2","0","0","2","2","0","3","10",".175",".233",".225",".458","25","9","0","0","0","0","1"
"23","UT","Michael Chavis","25","12","42","42","4","15","3","0","1","5","0","1","0","10",".357",".357",".500",".857","129","21","2","0","0","0","0"
"24","CI","Todd Frazier","35","13","40","35","3","3","1","0","0","4","0","0","3","6",".086",".200",".114",".314","-11","4","1","2","0","0","0"
"25","RF","Troy Stokes Jr.","25","8","20","18","2","2","1","0","0","2","1","0","1","5",".111",".200",".167",".367","1","3","0","1","0","0","0"
"26","UT","Ildemaro Vargas#","29","7","13","13","0","1","0","0","0","1","0","0","0","3",".077",".077",".077",".154","-58","1","0","0","0","0","0"
"27","SS","Oneil Cruz*","22","2","9","9","2","3","0","0","1","3","0","0","0","4",".333",".333",".667","1.000","162","6","0","0","0","0","0"
"28","C","Taylor Davis","31","2","6","5","0","2","0","0","0","0","0","0","1","0",".400",".500",".400",".900","150","2","0","0","0","0","0"
"29","RF","Hunter Owen","27","3","5","4","0","0","0","0","0","0","0","0","0","3",".000",".200",".000",".200","-38","0","0","1","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"30","P","JT Brubaker","27","24","43","38","0","3","0","0","0","3","0","0","4","15",".079",".167",".079",".246","-30","3","2","0","1","0","0"
"31","P","Wil Crowe","26","27","41","35","2","2","1","0","0","0","0","0","1","14",".057",".108",".086",".194","-46","3","0","1","4","0","0"
"32","P","Tyler Anderson*","31","17","37","37","1","4","0","0","1","1","0","0","0","27",".108",".108",".189",".297","-22","7","0","0","0","0","0"
"33","P","Mitch Keller","25","23","32","28","2","3","0","0","0","0","0","0","2","14",".107",".167",".107",".274","-23","3","0","0","2","0","0"
