"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Víctor Caratini#","27","116","356","313","33","71","9","0","7","39","2","0","35","82",".227",".309",".323",".632","78","101","13","4","0","4","8"
"2","1B","Eric Hosmer*","31","151","565","509","53","137","28","0","12","65","5","4","48","99",".269",".337",".395",".732","104","201","13","5","1","2","2"
"3","2B","Jake Cronenworth*","27","152","643","567","94","151","33","7","21","71","4","3","55","90",".266",".340",".460",".800","122","261","8","10","3","3","6"
"4","SS","Fernando Tatis Jr.","22","130","546","478","99","135","31","0","42","97","25","4","62","153",".282",".364",".611",".975","166","292","5","2","0","4","6"
"5","3B","Manny Machado","28","153","640","564","92","157","31","2","28","106","12","3","63","102",".278",".347",".489",".836","131","276","10","2","0","11","10"
"6","LF","Tommy Pham","33","155","561","475","74","109","24","2","15","49","14","6","78","128",".229",".340",".383",".724","103","182","10","4","0","4","3"
"7","CF","Trent Grisham*","24","132","527","462","61","112","28","3","15","62","13","5","54","119",".242",".327",".413",".740","106","191","10","6","1","4","2"
"8","RF","Wil Myers","30","146","500","442","56","113","24","2","17","63","8","5","54","141",".256",".334",".434",".768","113","192","9","0","0","4","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","OF","Jurickson Profar#","28","137","412","353","47","80","17","2","4","33","10","5","49","65",".227",".329",".320",".649","83","113","12","6","1","2","1"
"10","IF","Ha-Seong Kim","25","117","298","267","27","54","12","2","8","34","6","1","22","71",".202",".270",".352",".622","73","94","6","4","2","3","1"
"11","2B","Adam Frazier*","29","57","211","191","25","51","8","1","1","11","5","1","13","23",".267",".327",".335",".662","86","64","4","4","3","0","1"
"12","C","Austin Nola","31","56","194","173","15","47","12","0","2","29","0","1","14","19",".272",".340",".376",".716","101","65","2","5","0","2","0"
"13","UT","Jorge Mateo","26","57","93","87","10","18","4","0","2","6","5","0","2","27",".207",".250",".322",".572","59","28","1","3","1","0","0"
"14","C","Webster Rivas","30","24","77","68","8","15","2","0","2","4","0","0","8","16",".221",".303",".338",".641","79","23","6","0","1","0","0"
"15","OF","Brian O'Grady*","29","32","61","51","8","8","3","0","2","9","0","0","8","17",".157",".267",".333",".600","67","17","1","0","1","1","0"
"16","OF","Jake Marisnick","30","34","54","48","4","9","1","0","0","2","1","0","2","22",".188",".264",".208",".472","35","10","2","3","1","0","0"
"17","UT","Tucupita Marcano*","21","25","50","44","7","8","1","0","0","3","0","1","6","9",".182",".280",".205",".485","39","9","2","0","0","0","0"
"18","C","Luis Campusano","22","11","38","34","0","3","0","0","0","1","0","0","4","11",".088",".184",".088",".272","-20","3","2","0","0","0","0"
"19","RF","Patrick Kivlehan","31","5","8","4","3","1","0","0","0","2","0","0","2","3",".250",".500",".250",".750","120","1","0","1","0","1","0"
"20","OF","John Andreoli","31","7","7","6","2","1","1","0","0","0","0","0","1","3",".167",".286",".333",".619","73","2","0","0","0","0","0"
"21","IF","Ivan Castillo#","26","3","4","3","0","1","0","0","0","1","0","0","1","0",".333",".500",".333",".833","141","1","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"22","P","Joe Musgrove","28","36","57","51","2","7","2","0","0","1","0","0","1","23",".137",".151",".176",".327","-9","9","0","0","4","1","0"
"23","P","Yu Darvish","34","29","55","53","2","5","2","0","0","1","0","0","0","25",".094",".111",".132",".243","-32","7","2","1","1","0","0"
"24","P","Chris Paddack","25","23","42","35","0","1","0","0","0","0","0","0","1","26",".029",".081",".029",".110","-67","1","0","1","5","0","0"
"25","P","Blake Snell*","28","25","37","34","1","4","0","0","0","0","0","0","0","17",".118",".118",".118",".235","-34","4","1","0","3","0","0"
"26","P","Ryan Weathers","21","30","28","27","3","4","0","0","1","1","0","0","1","7",".148",".179",".259",".438","21","7","0","0","0","0","0"
"27","P","Nabil Crismatt","26","43","11","10","0","0","0","0","0","0","0","0","0","6",".000",".000",".000",".000","-100","0","0","0","1","0","0"
"28","P","Reiss Knehr*","24","12","8","8","0","0","0","0","0","0","0","0","0","5",".000",".000",".000",".000","-100","0","1","0","0","0","0"
"29","P","Dinelson Lamet","28","21","7","6","0","0","0","0","0","0","0","0","1","6",".000",".143",".000",".143","-55","0","0","0","0","0","0"
"30","P","Craig Stammen","37","64","7","5","0","1","0","0","0","0","0","0","0","3",".200",".200",".200",".400","13","1","0","0","2","0","0"
"31","P","Jake Arrieta","35","4","4","2","1","1","0","0","0","0","0","0","0","0",".500",".500",".500","1.000","182","1","0","0","2","0","0"
"32","P","Vince Velasquez","29","4","4","1","0","0","0","0","0","1","0","0","1","0",".000",".500",".000",".500","58","0","0","0","2","0","0"
"33","P","Nick Ramirez*","31","12","3","3","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"34","P","Daniel Camarena*","28","6","3","3","1","1","0","0","1","4","0","0","0","2",".333",".333","1.333","1.667","335","4","0","0","0","0","0"
"35","P","Miguel Díaz","26","23","3","3","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","1","0","0","0","0"
"36","P","Emilio Pagán*","30","64","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"37","P","Mark Melancon","36","59","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","1","0","0"
"38","P","Adrián Morejón*","22","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"39","P","Pedro Avila","24","1","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"40","P","Aaron Northcraft","31","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Tim Hill","31","73","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Austin Adams","30","61","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","James Norwood","27","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Mason Thompson","23","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Taylor Williams#","29","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Drew Pomeranz","32","25","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Dan Altavilla","28","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Pierce Johnson","30","60","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Keone Kela","28","11","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Ross Detwiler","35","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Matt Strahm","29","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Daniel Hudson","34","22","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
