"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Cal Raleigh#","26","145","569","513","78","119","23","1","30","75","0","0","54","158",".232",".306",".456",".762","112","234","6","1","0","1","1"
"2","1B","Ty France","28","158","665","587","79","147","32","0","12","58","1","0","43","117",".250",".337",".366",".703","99","215","25","34","0","1","0"
"3","2B","Kolten Wong*","32","67","216","194","21","32","6","0","2","19","1","1","16","46",".165",".241",".227",".468","34","44","0","4","0","2","0"
"4","SS","J.P. Crawford*","28","145","638","534","94","142","35","0","19","65","2","0","94","125",".266",".380",".438",".818","131","234","7","5","3","2","1"
"5","3B","Eugenio Suárez","31","162","694","598","68","139","29","0","22","96","2","1","70","214",".232",".323",".391",".714","101","234","10","15","0","11","0"
"6","LF","Jarred Kelenic*","23","105","416","372","44","94","25","2","11","49","13","5","41","132",".253",".327",".419",".746","109","156","6","1","0","2","4"
"7","CF","Julio Rodríguez","22","155","714","654","102","180","37","2","32","103","37","10","47","175",".275",".333",".485",".818","128","317","14","11","0","2","6"
"8","RF","Teoscar Hernández","30","160","678","625","70","161","29","2","26","93","7","2","38","211",".258",".305",".435",".741","106","272","6","8","0","7","2"
"9","DH","Mike Ford*","30","83","251","219","32","50","6","0","16","34","0","0","24","81",".228",".323",".475",".798","122","104","4","7","0","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","2B","José Caballero","26","104","280","231","37","51","9","1","4","26","26","3","28","66",".221",".343",".320",".663","90","74","0","17","0","4","0"
"11","UT","Dylan Moore","30","67","165","145","18","30","9","1","7","19","7","3","16","56",".207",".303",".428",".731","104","62","1","4","0","0","0"
"12","C","Tom Murphy","32","47","159","145","19","42","12","0","8","17","0","0","10","44",".290",".335",".538",".873","142","78","4","1","0","2","0"
"13","LF","Dominic Canzone*","25","44","141","135","19","29","11","0","5","13","1","0","6","24",".215",".248",".407",".656","81","55","4","0","0","0","0"
"14","DH","AJ Pollock","35","49","138","127","15","22","4","0","5","15","0","1","9","30",".173",".225",".323",".547","53","41","1","0","0","2","0"
"15","2B","Josh Rojas*","29","46","134","125","24","34","4","0","4","14","6","0","9","30",".272",".321",".400",".721","103","50","1","0","0","0","0"
"16","UT","Sam Haggerty#","29","52","108","91","13","23","3","1","1","5","10","1","15","17",".253",".364",".341",".705","102","31","0","1","1","0","0"
"17","LF","Cade Marlowe*","26","34","100","88","14","21","3","2","3","11","4","2","12","33",".239",".330",".420",".750","111","37","1","0","0","0","0"
"18","DH","Taylor Trammell*","25","22","56","46","7","6","0","0","3","11","0","1","9","22",".130",".286",".326",".612","73","15","2","1","0","0","0"
"19","DH","Cooper Hummel#","28","10","26","23","2","2","1","0","0","0","1","0","2","9",".087",".192",".130",".323","-6","3","1","1","0","0","0"
"20","DH","Tommy La Stella*","34","12","24","21","2","4","1","0","0","2","0","0","3","5",".190",".292",".238",".530","53","5","0","0","0","0","0"
"21","C","Brian O'Keefe","29","8","21","19","0","2","2","0","0","2","0","0","2","7",".105",".190",".211",".401","14","4","2","0","0","0","0"
"22","DH","Luis Torrens","27","5","8","8","0","2","2","0","0","1","0","0","0","1",".250",".250",".500",".750","105","4","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
