"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Buster Posey","34","113","454","395","68","120","23","0","18","56","0","0","56","87",".304",".390",".499",".889","140","197","15","1","0","2","5"
"2","1B","Brandon Belt*","33","97","381","325","65","89","14","2","29","59","3","2","48","103",".274",".378",".597",".975","160","194","9","7","0","1","3"
"3","2B","Donovan Solano","33","101","344","307","35","86","17","0","7","31","2","0","25","58",".280",".344",".404",".748","103","124","8","7","1","4","2"
"4","SS","Brandon Crawford*","34","138","549","483","79","144","30","3","24","90","11","3","56","105",".298",".373",".522",".895","141","252","8","5","0","5","6"
"5","3B","Evan Longoria","35","81","291","253","45","66","17","0","13","46","1","1","35","68",".261",".351",".482",".833","124","122","9","1","0","2","4"
"6","LF","Alex Dickerson*","31","111","312","283","37","66","10","2","13","38","1","0","23","76",".233",".304",".420",".725","95","119","7","6","0","0","1"
"7","CF","Steven Duggar*","27","107","297","268","45","69","14","5","8","35","7","0","27","88",".257",".330",".437",".767","107","117","4","2","0","0","3"
"8","RF","Mike Yastrzemski*","30","139","532","468","75","105","28","3","25","71","4","0","51","131",".224",".311",".457",".768","106","214","3","9","1","3","4"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","IF","Wilmer Flores","29","139","436","389","57","102","16","1","18","53","1","0","41","56",".262",".335",".447",".782","111","174","11","3","0","3","0"
"10","UT","LaMonte Wade Jr.*","27","109","381","336","52","85","17","3","18","56","6","1","33","89",".253",".326",".482",".808","117","162","3","5","4","3","1"
"11","UT","Darin Ruf","34","117","312","262","41","71","13","2","16","43","2","0","46","87",".271",".385",".519",".904","143","136","8","3","0","1","2"
"12","CF","Austin Slater","28","129","306","274","39","66","12","1","12","32","15","2","28","84",".241",".320",".423",".744","101","116","7","4","0","0","2"
"13","2B","Tommy La Stella*","32","76","242","220","26","55","11","1","7","27","0","0","18","26",".250",".308",".405",".713","92","89","4","1","0","1","1"
"14","C","Curt Casali","32","77","231","200","20","42","11","1","5","26","0","0","26","66",".210",".313",".350",".663","81","70","3","4","1","0","4"
"15","UT","Kris Bryant","29","51","212","187","28","49","13","0","7","22","6","0","23","46",".262",".344",".444",".788","113","83","3","1","0","1","3"
"16","UT","Mauricio Dubón","26","74","187","175","20","42","9","0","5","22","2","1","9","41",".240",".278",".377",".655","76","66","5","1","0","2","2"
"17","LF","Mike Tauchman*","30","64","175","152","21","27","4","0","4","15","1","3","22","52",".178",".286",".283",".569","56","43","0","1","0","0","0"
"18","MI","Thairo Estrada","25","52","132","121","19","33","4","0","7","22","1","0","9","23",".273",".333",".479",".813","118","58","2","2","0","0","1"
"19","3B","Jason Vosler*","27","41","82","73","12","13","4","0","3","9","2","0","7","21",".178",".256",".356",".612","65","26","5","1","0","1","1"
"20","C","Chadwick Tromp","26","9","18","18","1","4","0","0","1","2","0","0","0","4",".222",".222",".389",".611","62","7","1","0","0","0","0"
"21","OF","Jaylin Davis","26","5","9","9","1","1","1","0","0","0","0","0","0","1",".111",".111",".222",".333","-12","2","1","0","0","0","0"
"22","C","Joey Bart","24","2","6","6","1","2","0","0","0","1","0","0","0","2",".333",".333",".333",".667","83","2","0","0","0","0","0"
"23","LF","Skye Bolt#","27","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"24","P","Anthony DeSclafani","31","33","62","51","2","2","1","0","0","1","0","0","4","33",".039",".109",".059",".168","-52","3","0","0","7","0","0"
"25","P","Kevin Gausman*","30","31","62","54","6","10","0","0","0","4","0","0","2","31",".185",".211",".185",".396","10","10","0","0","5","1","0"
"26","P","Logan Webb","24","26","53","46","7","6","2","1","1","7","0","0","2","21",".130",".167",".283",".449","19","13","1","0","5","0","0"
"27","P","Alex Wood","30","24","47","38","0","0","0","0","0","0","0","1","5","26",".000",".116",".000",".116","-64","0","0","0","4","0","0"
"28","P","Johnny Cueto","35","21","37","29","1","2","0","0","0","0","1","0","3","9",".069",".156",".069",".225","-35","2","0","0","5","0","0"
"29","P","Sam Long*","25","11","11","10","0","1","0","0","0","0","0","0","0","4",".100",".100",".100",".200","-45","1","0","0","1","0","0"
"30","P","Aaron Sanchez","28","9","10","10","0","0","0","0","0","0","0","0","0","7",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"31","P","José Álvarez*","32","63","5","2","1","0","0","0","0","0","0","0","2","2",".000",".500",".000",".500","55","0","0","0","1","0","0"
"32","P","Scott Kazmir*","37","5","4","3","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","1","0","0"
"33","P","Zack Littell","25","60","4","4","0","1","0","0","0","0","0","0","0","3",".250",".250",".250",".500","37","1","0","0","0","0","0"
"34","P","Jose Quintana","32","5","2","1","0","1","0","0","0","0","0","0","1","0","1.000","1.000","1.000","2.000","449","1","0","0","0","0","0"
"35","P","Jarlín García*","28","54","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"36","P","Caleb Baragar","27","24","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"37","P","Jay Jackson","33","23","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"38","P","John Brebbia*","31","17","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"39","P","Tyler Chatwood","31","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"40","P","Matt Wisler","28","18","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"41","P","Sam Selman","30","7","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"42","P","Camilo Doval","23","29","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Nick Tropeano","30","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Tony Watson*","36","26","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Dominic Leone","29","51","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Wandy Peralta*","29","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Jake McGee*","34","55","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Tyler Beede","28","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Gregory Santos","21","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Reyes Moronta","28","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Kervin Castro","22","10","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Conner Menez*","26","7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Tyler Rogers","30","74","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","James Sherfy","29","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","30.9","162","6196","5462","804","1360","271","25","241","768","66","14","602","1461",".249",".329",".440",".769","107","2404","117","64","36","30","45"
"","","Rank in 15 NL teams","","","","2","2","2","6","5","1","","8","1","2","11","2","3","1","1","","1","","11","","11",""
"","","Non-Pitcher Totals","30.9","162","5890","5205","787","1337","268","24","240","756","65","13","583","1315",".257",".337",".456",".793","114","2373","116","64","7","29","45"
"","","Pitcher Totals","29.4","162","306","257","17","23","3","1","1","12","1","1","19","146",".089",".152",".121",".272","-24","31","1","0","29","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
