"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Yadier Molina","38","121","473","440","45","111","19","0","11","66","3","0","24","79",".252",".297",".370",".667","84","163","16","5","0","3","1"
"2","1B","Paul Goldschmidt","33","158","679","603","102","177","36","2","31","99","12","0","67","136",".294",".365",".514",".879","141","310","13","4","0","5","2"
"3","2B","Tommy Edman#","26","159","691","641","91","168","41","3","11","56","30","5","38","95",".262",".308",".387",".695","91","248","4","6","2","4","1"
"4","SS","Paul DeJong","27","113","402","356","44","70","10","1","19","45","4","1","35","103",".197",".284",".390",".674","85","139","6","9","0","2","0"
"5","3B","Nolan Arenado","30","157","653","593","81","151","34","3","34","105","2","0","50","96",".255",".312",".494",".807","119","293","20","3","0","7","8"
"6","LF","Tyler O'Neill","26","138","537","482","89","138","26","2","34","80","15","4","38","168",".286",".352",".560",".912","148","270","8","13","0","4","0"
"7","CF","Harrison Bader","27","103","401","367","45","98","21","1","16","50","9","4","27","85",".267",".324",".460",".785","114","169","4","5","0","2","6"
"8","RF","Dylan Carlson#","22","149","619","542","79","144","31","4","18","65","2","1","57","152",".266",".343",".437",".780","115","237","5","11","1","8","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","MI","Edmundo Sosa","25","113","326","288","39","78","8","4","6","27","4","4","17","63",".271",".346",".389",".735","104","112","8","17","1","2","2"
"10","2B","Matt Carpenter*","35","130","249","207","18","35","11","1","3","21","2","0","35","77",".169",".305",".275",".581","63","57","1","6","0","1","1"
"11","C","Andrew Knizner","26","63","185","161","18","28","7","0","1","9","0","0","20","39",".174",".281",".236",".517","46","38","7","4","0","0","2"
"12","OF","Justin Williams*","25","51","137","119","10","19","0","0","4","11","0","1","17","46",".160",".270",".261",".531","49","31","2","1","0","0","5"
"13","RF","Lars Nootbaar*","23","58","124","109","15","26","3","1","5","15","2","1","13","28",".239",".317",".422",".739","103","46","0","0","1","1","1"
"14","UT","José Rondón","27","63","90","80","13","21","3","0","3","9","2","0","8","17",".263",".322",".413",".735","102","33","1","0","0","2","0"
"15","OF","Lane Thomas","25","32","58","48","2","5","1","0","0","1","2","1","10","17",".104",".259",".125",".384","12","6","1","0","0","0","1"
"16","OF","Austin Dean","27","22","38","30","5","7","2","0","1","7","0","0","6","11",".233",".342",".400",".742","105","12","0","0","0","2","0"
"17","1B","John Nogowski","28","19","20","18","2","1","0","0","0","0","0","0","1","2",".056",".150",".056",".206","-39","1","1","1","0","0","0"
"18","IF","Max Moroff#","28","6","16","16","0","1","0","0","0","1","0","0","0","10",".063",".063",".063",".125","-65","1","0","0","0","0","0"
"19","CF","Scott Hurst*","25","7","5","5","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
