"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Reese McGuire*","26","78","217","198","22","50","15","0","1","10","0","0","15","44",".253",".310",".343",".654","78","68","4","2","1","1","0"
"2","1B","Vladimir Guerrero Jr.","22","161","698","604","123","188","29","1","48","111","4","1","86","110",".311",".401",".601","1.002","167","363","20","6","0","2","7"
"3","2B","Marcus Semien","30","162","724","652","115","173","39","2","45","102","15","1","66","146",".265",".334",".538",".873","131","351","9","3","0","3","0"
"4","SS","Bo Bichette","23","159","690","640","121","191","30","1","29","102","25","1","40","137",".298",".343",".484",".828","121","310","10","6","0","4","0"
"5","3B","Santiago Espinal","26","92","246","222","32","69","13","1","2","17","6","1","22","30",".311",".376",".405",".781","113","90","4","1","1","0","0"
"6","LF","Lourdes Gurriel Jr.","27","141","541","500","62","138","28","2","21","84","1","3","32","102",".276",".319",".466",".785","109","233","8","2","1","6","1"
"7","CF","Randal Grichuk","29","149","545","511","59","123","25","1","22","81","0","3","27","114",".241",".281",".423",".703","87","216","17","3","0","4","0"
"8","RF","Teoscar Hernández","28","143","595","550","92","163","29","0","32","116","12","4","36","148",".296",".346",".524",".870","131","288","5","7","0","2","1"
"9","DH","George Springer","31","78","342","299","59","79","19","1","22","50","4","1","37","79",".264",".352",".555",".907","141","166","6","4","0","1","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","3B","Cavan Biggio*","26","79","294","250","27","56","10","1","7","27","3","1","37","78",".224",".322",".356",".678","84","89","4","1","1","4","2"
"11","C","Danny Jansen","26","70","205","184","32","41","13","0","11","28","0","0","17","44",".223",".299",".473",".772","105","87","4","3","1","0","0"
"12","C","Alejandro Kirk","22","60","189","165","19","40","8","0","8","24","0","0","19","22",".242",".328",".436",".764","105","72","7","3","0","2","0"
