"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Yan Gomes","33","63","235","218","30","59","11","1","9","35","0","0","13","47",".271",".323",".454",".778","112","99","12","4","0","0","3"
"2","1B","Josh Bell#","28","144","568","498","75","130","24","1","27","88","0","0","65","101",".261",".347",".476",".823","124","237","22","2","0","3","2"
"3","2B","Josh Harrison","33","90","359","320","39","94","23","2","6","38","5","2","25","50",".294",".366",".434",".800","120","139","4","12","0","1","0"
"4","SS","Trea Turner","28","96","420","388","66","125","17","3","18","49","21","3","26","77",".322",".369",".521",".890","142","202","13","4","0","2","0"
"5","3B","Starlin Castro","31","87","346","315","25","89","20","0","3","38","0","1","26","62",".283",".333",".375",".708","95","118","6","0","0","4","1"
"6","LF","Kyle Schwarber*","28","72","303","265","42","67","9","0","25","53","1","1","31","88",".253",".340",".570",".910","145","151","4","5","0","2","1"
"7","CF","Víctor Robles","24","107","369","315","37","64","21","1","2","19","8","6","33","85",".203",".310",".295",".605","69","93","7","16","4","1","3"
"8","RF","Juan Soto*","22","151","654","502","111","157","20","2","29","95","9","7","145","93",".313",".465",".534",".999","175","268","23","2","0","5","23"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","SS","Alcides Escobar","34","75","349","319","53","92","21","2","4","28","3","0","17","56",".288",".340",".404",".744","105","129","2","9","2","2","0"
"10","LF","Yadiel Hernández*","33","112","289","264","33","72","8","1","9","32","3","0","22","59",".273",".329",".413",".742","103","109","11","1","0","2","1"
"11","1B","Ryan Zimmerman","36","110","273","255","27","62","16","0","14","46","0","0","16","77",".243",".286",".471",".756","104","120","9","0","0","2","0"
"12","3B","Carter Kieboom","23","62","249","217","26","45","6","0","6","20","0","0","25","62",".207",".301",".318",".619","72","69","9","5","0","2","2"
"13","2B","Luis García Jr.*","21","70","247","236","29","57","18","2","6","22","0","2","11","43",".242",".275",".411",".686","86","97","8","0","0","0","1"
"14","OF","Andrew Stevenson*","27","109","213","192","22","44","6","0","5","23","1","1","13","61",".229",".294",".339",".632","74","65","3","5","2","1","2"
"15","CF","Lane Thomas","25","45","206","178","33","48","14","2","7","27","4","2","27","46",".270",".364",".489",".853","133","87","5","0","0","1","0"
"16","IF","Jordy Mercer","34","46","127","118","13","30","7","0","2","9","0","0","9","34",".254",".307",".364",".671","85","43","1","0","0","0","0"
"17","C","Alex Avila*","34","34","111","89","5","17","9","1","1","9","0","0","19","37",".191",".345",".348",".694","93","31","4","2","1","0","1"
"18","C","Tres Barrera","26","30","107","91","8","24","3","1","2","10","0","0","12","22",".264",".374",".385",".758","111","35","3","4","0","0","2"
"19","OF","Gerardo Parra*","34","53","107","97","13","23","5","0","2","10","1","1","6","30",".237",".292",".351",".643","77","34","3","2","1","1","0"
"20","C","Riley Adams","25","35","90","71","11","19","6","1","2","10","0","0","13","28",".268",".422",".465",".887","145","33","1","6","0","0","0"
"21","C","Keibert Ruiz#","22","23","89","81","9","23","3","0","2","14","0","0","6","4",".284",".348",".395",".743","105","32","3","2","0","0","0"
"22","IF","Adrián Sánchez","30","16","38","35","5","9","2","0","0","1","0","0","3","4",".257",".316",".314",".630","75","11","2","0","0","0","1"
"23","UT","Hernán Pérez","30","10","21","19","1","1","0","0","0","0","0","0","2","10",".053",".143",".053",".195","-42","1","0","0","0","0","0"
"24","C","René Rivera","37","4","15","14","2","3","0","0","0","0","0","0","0","5",".214",".267",".214",".481","36","3","2","1","0","0","0"
"25","C","Jonathan Lucroy","35","5","14","14","0","5","1","0","0","2","0","0","0","2",".357",".357",".429",".786","116","6","0","0","0","0","0"
"26","SS","Humberto Arteaga","27","1","4","3","0","0","0","0","0","1","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","1","0"
"27","C","Jakson Reetz","25","2","2","2","1","1","1","0","0","0","0","0","0","0",".500",".500","1.000","1.500","300","2","0","0","0","0","0"
"28","","Cody Wilson","24","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"29","P","Patrick Corbin*","31","28","63","53","1","7","0","0","0","0","0","0","3","24",".132",".179",".132",".311","-12","7","0","0","7","0","0"
"30","P","Erick Fedde","28","28","43","36","0","0","0","0","0","1","0","0","1","14",".000",".026",".000",".026","-92","0","0","0","5","1","0"
"31","P","Joe Ross","28","21","39","32","1","8","0","0","0","3","0","0","1","14",".250",".294",".250",".544","53","8","0","1","5","0","0"
"32","P","Max Scherzer","36","17","37","35","0","0","0","0","0","0","0","0","0","13",".000",".000",".000",".000","-100","0","1","0","2","0","0"
"33","P","Paolo Espino","34","32","33","30","2","5","0","0","0","0","0","0","0","15",".167",".167",".167",".333","-7","5","0","0","3","0","0"
"34","P","Jon Lester*","37","16","29","28","3","5","0","0","1","3","0","0","0","13",".179",".179",".286",".464","25","8","0","0","1","0","0"
"35","P","Josiah Gray","23","12","21","19","0","1","0","0","0","0","0","0","1","9",".053",".100",".053",".153","-56","1","0","0","1","0","0"
"36","P","Josh Rogers*","26","6","14","12","0","0","0","0","0","0","0","0","1","4",".000",".077",".000",".077","-76","0","0","0","1","0","0"
"37","P","Stephen Strasburg","32","5","7","5","0","1","1","0","0","0","0","0","1","2",".200",".333",".400",".733","102","2","0","0","1","0","0"
