"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Nick Ahmed","27","us US","R","R","6' 2""","201","Mar 15, 1990","4","53","41","53","48","0","0","0","0","0","48","0","0","0","0","0","7","0","0.5","$566,000",""
"Anthony Banda","23","us US","L","L","6' 2""","221","Aug 10, 1993","1st","8","4","7","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jake Barrett","25","us US","R","R","6' 4""","240","Jul 22, 1991","2","28","0","28","28","28","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$548,300",""
"Grégor Blanco","33","ve VE","L","L","5' 10""","187","Dec 24, 1983","9","90","52","90","72","0","0","0","0","0","0","44","35","6","72","0","17","6","-0.2","$1,000,000",""
"Silvino Bracho","24","ve VE","R","R","5' 10""","190","Jul 17, 1992","3","21","0","17","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Archie Bradley","24","us US","R","R","6' 4""","215","Aug 10, 1992","3","63","0","60","63","63","0","0","0","0","0","0","0","0","0","0","0","0","3.6","$544,100",""
"Andrew Chafin","27","us US","R","L","6' 2""","235","Jun 17, 1990","4","71","0","68","71","71","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$559,300",""
"Patrick Corbin","27","us US","L","L","6' 4""","225","Jul 19, 1989","5","35","32","33","33","33","0","0","0","0","0","0","0","0","0","0","1","1","2.7","$3,950,000",""
"Jorge De La Rosa","36","mx MX","L","L","6' 1""","215","Apr 5, 1981","14","66","0","64","65","65","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$2,250,000",""
"Rubby De La Rosa","28","do DO","R","R","6' 0""","210","Mar 4, 1989","7","9","0","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Randall Delgado","27","pa PA","R","R","6' 4""","220","Feb 9, 1990","7","26","5","25","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$1,775,000",""
"Daniel Descalso","30","us US","L","R","5' 10""","190","Oct 19, 1986","8","131","83","130","105","2","0","19","45","15","1","36","0","0","36","1","35","0","-0.2","$1,350,000",""
"Brandon Drury","24","us US","R","R","6' 2""","230","Aug 21, 1992","3","135","113","135","114","0","0","0","114","1","0","0","0","0","0","3","20","0","1.4","$553,900",""
