"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Ronald Acuna Jr.","21","ve VE","R","R","6' 0""","205","Dec 18, 1997","2","156","154","156","156","0","0","0","0","0","0","46","100","35","156","0","2","0","5.1","$560,000","All-Star"
"Ozzie Albies","22","cw CW","B","R","5' 8""","165","Jan 7, 1997","3","160","157","160","158","0","0","0","158","0","0","0","0","0","0","0","2","0","4.9","$575,000",""
"Jesse Biddle","27","us US","L","L","6' 5""","220","Oct 22, 1991","2","15","0","13","15","15","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$575,000",""
"Jerry Blevins","35","us US","L","L","6' 4""","182","Sep 6, 1983","13","45","0","43","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Johan Camargo","25","pa PA","B","R","5' 11""","195","Dec 13, 1993","3","98","47","98","62","0","0","1","4","18","25","11","0","5","16","1","39","5","-0.9","$575,000",""
"Shane Carle","27","us US","R","R","6' 4""","210","Aug 30, 1991","3","6","0","5","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$575,000",""
"Francisco Cervelli","33","ve VE","R","R","6' 0""","220","Mar 6, 1986","12","14","8","14","11","0","9","2","0","0","0","0","0","0","0","1","2","0","0.3","",""
"Charlie Culberson","30","us US","R","R","6' 1""","200","Apr 10, 1989","7","108","15","108","64","2","0","10","0","1","7","35","0","11","45","0","59","3","-0.1","$1,395,000",""
"Grant Dayton","31","us US","L","L","6' 2""","210","Nov 25, 1987","3","14","0","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$585,000",""
"Josh Donaldson","33","us US","R","R","6' 1""","210","Dec 8, 1985","9","155","149","155","148","0","0","0","0","148","0","0","0","0","0","1","6","0","5.4","$23,000,000",""
"Adam Duvall","30","us US","R","R","6' 1""","233","Sep 4, 1988","6","41","26","41","32","0","0","0","0","0","0","31","0","2","32","0","10","0","0.7","$2,875,000",""
"Tyler Flowers","33","us US","R","R","6' 4""","260","Jan 24, 1986","11","85","73","85","83","0","83","0","0","0","0","0","0","0","0","0","4","1","-0.2","$4,000,000",""
"Mike Foltynewicz","27","us US","R","R","6' 4""","195","Oct 7, 1991","6","21","21","19","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$5,475,000",""
"Freddie Freeman","29","us US","L","R","6' 5""","220","Sep 12, 1989","10","158","157","158","158","0","0","158","0","0","0","0","0","0","0","0","1","0","3.7","$21,000,000","All-Star"
"Max Fried","25","us US","L","L","6' 4""","190","Jan 18, 1994","3","40","30","38","33","33","0","0","0","0","0","0","0","0","0","0","3","4","3.4","$565,000",""
"Kevin Gausman","28","us US","L","R","6' 2""","205","Jan 6, 1991","7","16","16","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","$9,350,000",""
"Shane Greene","30","us US","R","R","6' 4""","200","Nov 17, 1988","6","27","0","24","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Billy Hamilton","28","us US","B","R","6' 0""","160","Sep 9, 1990","7","26","9","26","24","0","0","0","0","0","0","0","24","0","24","0","6","5","-0.2","",""
"Adeiny Hechavarría","30","cu CU","R","R","6' 0""","195","Apr 15, 1989","8","24","15","24","16","0","0","0","3","1","12","0","0","0","0","1","8","0","1.1","",""
"Ender Inciarte","28","ve VE","L","L","5' 11""","190","Oct 29, 1990","6","65","57","65","63","0","0","0","0","0","0","0","63","0","63","0","3","1","0.5","$5,700,000",""
"Alex Jackson","23","us US","R","R","5' 11""","238","Dec 25, 1995","1st","4","4","4","4","0","4","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Luke Jackson","27","us US","R","R","6' 2""","210","Aug 24, 1991","5","71","0","66","70","71","0","0","0","0","0","0","0","0","0","0","0","0","0.9","$585,000",""
"Matt Joyce","34","us US","L","R","6' 2""","194","Aug 3, 1984","12","129","39","129","37","0","0","0","0","0","0","4","0","33","37","6","87","0","0.8","$1,250,000",""
"Dallas Keuchel","31","us US","L","L","6' 2""","205","Jan 1, 1988","8","19","19","19","19","19","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$13,000,000",""
"Nick Markakis","35","us US","L","L","6' 1""","210","Nov 17, 1983","14","116","108","116","111","0","0","0","0","0","0","9","0","103","111","1","6","0","0.7","$4,000,000",""
"Chris Martin","33","us US","R","R","6' 8""","224","Jun 2, 1986","4","20","0","16","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Brian McCann","35","us US","L","R","6' 3""","225","Feb 20, 1984","15","85","79","85","83","0","83","0","0","0","0","0","0","0","0","0","4","0","0.2","$2,000,000",""
"Mark Melancon","34","us US","R","R","6' 1""","215","Mar 28, 1985","11","23","0","21","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"A.J. Minter","25","us US","L","L","6' 0""","215","Sep 2, 1993","3","36","0","35","36","36","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$575,000",""
"John Ryan Murphy","28","us US","R","R","5' 11""","200","May 13, 1991","7","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Sean Newcomb","26","us US","L","L","6' 5""","255","Jun 12, 1993","3","55","4","52","55","55","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$575,000",""
"Darren O'Day","36","us US","R","R","6' 4""","220","Oct 22, 1982","12","8","0","6","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$9,000,000",""
"Rafael Ortega","28","ve VE","L","R","5' 11""","200","May 15, 1991","4","34","18","34","27","0","0","0","0","0","0","20","3","6","27","0","10","0","-0.4","",""
"Wes Parsons","26","us US","R","R","6' 5""","206","Sep 6, 1992","2","17","0","16","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$565,000",""
"Austin Riley","22","us US","R","R","6' 3""","240","Apr 2, 1997","1st","80","68","80","71","0","0","6","0","5","0","58","0","2","60","1","10","1","0.1","",""
"Chad Sobotka","25","us US","R","R","6' 7""","225","Jul 10, 1993","2","32","0","30","32","32","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$565,000",""
"Michael Soroka","21","ca CA","R","R","6' 5""","250","Aug 4, 1997","2","29","29","27","29","29","0","0","0","0","0","0","0","0","0","0","0","0","5.9","","All-Star"
"Dansby Swanson","25","us US","R","R","6' 1""","190","Feb 11, 1994","4","127","123","127","126","0","0","0","0","0","126","0","0","0","0","0","1","0","1.1","$585,000",""
"Anthony Swarzak","33","us US","R","R","6' 4""","215","Sep 10, 1985","10","44","0","41","44","44","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Julio Teherán","28","co CO","R","R","6' 2""","205","Jan 27, 1991","9","35","33","33","33","33","0","0","0","0","0","0","0","0","0","0","2","0","2.8","$11,166,667",""
"Josh Tomlin","34","us US","R","R","6' 1""","190","Oct 19, 1984","10","51","1","47","51","51","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$1,250,000",""
"Touki Toussaint","23","us US","R","R","6' 3""","215","Jun 20, 1996","2","24","1","23","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Jonny Venters","34","us US","L","L","6' 3""","200","Mar 20, 1985","5","9","0","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$2,250,000",""
"Arodys Vizcaíno","28","do DO","R","R","6' 0""","245","Nov 13, 1990","7","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$4,800,000",""
"Jeremy Walker","24","us US","R","R","6' 5""","235","Jun 12, 1995","1st","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Jacob Webb","25","us US","R","R","6' 2""","210","Aug 15, 1993","1st","36","0","35","36","36","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Bryse Wilson","21","us US","R","R","6' 2""","272","Dec 20, 1997","2","6","4","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$565,000",""
"Dan Winkler","29","us US","R","R","6' 3""","205","Feb 2, 1990","5","27","0","26","27","27","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$1,610,000",""
"Kyle Wright","23","us US","R","R","6' 4""","215","Oct 2, 1995","2","7","4","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$565,000",""
"Huascar Ynoa","21","do DO","R","R","6' 2""","220","May 28, 1998","1st","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
