"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Alfredo Aceves","29","mx MX","R","R","6' 2""","205","Dec 8, 1982","5","69","0","6","69","69","0","0","0","0","0","0","0","0","0","0","0","0","-1.2","$1,200,000",""
"Matt Albers","29","us US","L","R","6' 1""","225","Jan 20, 1983","7","40","0","3","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$1,075,000",""
"Lars Anderson","24","us US","L","L","6' 4""","215","Sep 25, 1987","3","6","1","6","6","0","0","2","0","0","0","4","0","0","4","0","3","0","-0.1","$482,000",""
"Scott Atchison","36","us US","R","R","6' 2""","200","Mar 29, 1976","6","42","0","3","42","42","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$510,000",""
"Mike Aviles","31","us US","R","R","5' 10""","205","Mar 13, 1981","5","136","130","136","130","0","0","0","2","1","128","0","0","0","0","5","1","2","2.5","$1,200,000",""
"Andrew Bailey","28","us US","R","R","6' 3""","240","May 31, 1984","4","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$3,900,000",""
"Daniel Bard","27","us US","R","R","6' 4""","215","Jun 25, 1985","4","17","10","1","17","17","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$1,612,500",""
"Pedro Beato","25","do DO","R","R","6' 6""","230","Oct 27, 1986","2","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Josh Beckett","32","us US","R","R","6' 5""","230","May 15, 1980","12","21","21","2","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Michael Bowden","25","us US","R","R","6' 3""","215","Sep 9, 1986","5","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$484,000",""
"Craig Breslow","31","us US","L","L","6' 0""","190","Aug 8, 1980","7","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Clay Buchholz","27","us US","L","R","6' 3""","190","Aug 14, 1984","6","29","29","1","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$3,500,000",""
"Marlon Byrd","34","us US","R","R","6' 0""","245","Aug 30, 1977","11","34","27","34","34","0","0","0","0","0","0","0","33","2","34","0","1","0","-0.2","$6,500,000",""
"Chris Carpenter","26","us US","R","R","6' 4""","220","Dec 26, 1985","2","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$482,000",""
"Pedro Ciriaco","26","do DO","R","R","6' 0""","180","Sep 27, 1985","3","76","68","76","65","0","0","0","16","35","12","2","3","2","7","10","3","2","1.4","",""
"Aaron Cook","33","us US","R","R","6' 3""","215","Feb 8, 1979","11","18","18","0","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-1.4","",""
"Carl Crawford","30","us US","L","L","6' 2""","230","Aug 5, 1981","11","31","30","31","30","0","0","0","0","0","0","30","0","0","30","1","1","0","0.6","",""
