"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Albert Almora","24","us US","R","R","6' 2""","190","Apr 16, 1994","3","152","94","152","138","0","0","0","0","0","0","2","137","0","138","0","35","1","2.2","$584,500",""
"Javier Báez","25","pr PR","R","R","6' 0""","190","Dec 1, 1992","5","160","145","160","156","0","0","1","104","22","65","0","0","0","0","0","9","0","6.4","$657,000","All-Star"
"Anthony Bass","30","us US","R","R","6' 2""","205","Nov 1, 1987","7","16","0","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"David Bote","25","us US","R","R","5' 11""","205","Apr 7, 1993","1st","74","47","74","65","0","0","2","13","56","2","1","0","0","1","0","14","2","1.8","",""
"Kris Bryant","26","us US","R","R","6' 5""","230","Jan 4, 1992","4","102","99","102","100","0","0","4","0","86","0","14","0","15","27","0","3","0","2.3","$10,850,000",""
"Eddie Butler","27","us US","R","R","6' 2""","180","Mar 13, 1991","5","8","0","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$570,750",""
"Víctor Caratini","24","pr PR","B","R","5' 11""","225","Aug 17, 1993","2","76","40","76","58","2","37","20","0","3","0","0","0","0","0","0","23","0","0.0","",""
"Tyler Chatwood","28","us US","R","R","5' 11""","200","Dec 16, 1989","7","25","20","23","24","24","0","0","0","0","0","0","0","0","0","0","0","1","-0.3","$12,500,000",""
"Jesse Chavez","34","us US","R","R","6' 1""","180","Aug 21, 1983","11","32","0","29","32","32","0","0","0","0","0","0","0","0","0","0","0","0","1.9","",""
"Steve Cishek","32","us US","R","R","6' 6""","220","Jun 18, 1986","9","80","0","76","80","80","0","0","0","0","0","1","0","0","1","0","0","0","2.0","$6,500,000",""
"Willson Contreras","26","ve VE","R","R","6' 1""","240","May 13, 1992","3","138","123","138","134","0","133","1","0","0","0","5","0","0","5","0","10","0","3.1","$604,500","All-Star"
"Yu Darvish","31","jp JP","R","R","6' 5""","220","Aug 16, 1986","6","8","8","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$25,000,000",""
"Taylor Davis","28","us US","R","R","5' 10""","200","Nov 28, 1989","2","5","0","5","4","0","3","1","0","0","0","0","0","0","0","0","3","0","0.0","",""
"Jorge De La Rosa","37","mx MX","L","L","6' 1""","215","Apr 5, 1981","15","17","0","16","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Brian Duensing","35","us US","L","L","6' 0""","200","Feb 22, 1983","10","48","0","47","48","48","0","0","0","0","0","1","0","0","1","0","0","0","-1.6","$3,500,000",""
"Carl Edwards Jr.","26","us US","R","R","6' 3""","165","Sep 3, 1991","4","58","0","55","58","58","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$594,000",""
"Luke Farrell","27","us US","L","R","6' 6""","200","Jun 7, 1991","2","20","2","19","20","20","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","",""
"Mike Freeman","30","us US","L","R","6' 0""","195","Aug 4, 1987","3","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jaime García","31","mx MX","L","L","6' 2""","215","Jul 8, 1986","10","8","1","7","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Chris Gimenez","35","us US","R","R","6' 2""","230","Dec 27, 1982","10","12","9","12","11","1","10","0","0","0","0","0","0","0","0","0","2","0","-0.2","",""
"Terrance Gore","27","us US","R","R","5' 7""","160","Jun 8, 1991","5","14","0","14","7","0","0","0","0","0","0","7","0","0","7","1","2","8","0.3","",""
