"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Gordon Beckham","23","us US","R","R","6' 0""","188","Sep 16, 1986","2","131","126","131","126","0","0","0","126","0","0","0","0","0","0","4","0","4","0.7","$445,000",""
"Mark Buehrle","31","us US","L","L","6' 2""","240","Mar 23, 1979","11","33","33","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","3.7","$14,000,000",""
"Ramón Castro","34","pr PR","R","R","6' 3""","240","Mar 1, 1976","12","37","31","37","34","0","34","0","0","0","0","0","0","0","0","3","3","1","0.7","$800,000",""
"John Danks","25","us US","L","L","6' 1""","210","Apr 15, 1985","4","32","32","1","32","32","0","0","0","0","0","0","0","0","0","0","0","0","5.2","$3,450,000",""
"Alejandro De Aza","26","do DO","L","L","6' 0""","195","Apr 11, 1984","3","19","8","19","12","0","0","0","0","0","0","0","9","5","12","3","4","6","0.1","",""
"Tyler Flowers","24","us US","R","R","6' 4""","260","Jan 24, 1986","2","8","3","8","7","0","7","0","0","0","0","0","0","0","0","0","2","0","0.0","",""
"Gavin Floyd","27","us US","R","R","6' 4""","245","Jan 27, 1983","7","31","31","2","30","31","0","0","0","0","0","0","0","0","0","0","0","0","3.4","$2,750,000",""
"Freddy García","33","ve VE","R","R","6' 4""","250","Oct 6, 1976","12","28","28","2","28","28","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$1,000,000",""
"Lucas Harrell","25","us US","B","R","6' 2""","205","Jun 3, 1985","1st","8","3","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Daniel Hudson","23","us US","R","R","6' 3""","215","Mar 9, 1987","2","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Gregory Infante","22","ve VE","R","R","6' 1""","200","Jul 10, 1987","1st","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Edwin Jackson","26","de DE","R","R","6' 2""","215","Sep 9, 1983","8","11","11","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","1.9","",""
"Bobby Jenks","29","us US","R","R","6' 4""","275","Mar 14, 1981","6","55","0","5","55","55","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$7,500,000",""
"Andruw Jones","33","cw CW","R","R","6' 1""","225","Apr 23, 1977","15","107","76","107","89","0","0","0","0","0","0","12","17","62","89","14","10","2","1.9","$500,000",""
"Paul Konerko","34","us US","R","R","6' 2""","220","Mar 5, 1976","14","149","148","149","125","0","0","125","0","0","0","0","0","0","0","23","1","0","4.7","$12,000,000","All-Star"
"Mark Kotsay","34","us US","L","L","6' 0""","220","Dec 2, 1975","14","107","86","107","46","0","0","38","0","0","0","0","0","8","8","49","17","0","-0.7","$1,500,000",""
"Brent Lillibridge","26","us US","R","R","5' 11""","185","Sep 18, 1983","3","64","22","64","39","0","0","0","25","3","4","1","6","1","8","16","8","22","-0.5","",""
"Scott Linebrink","33","us US","R","R","6' 3""","220","Aug 4, 1976","11","52","0","1","52","52","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$5,000,000",""
