"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Bronson Arroyo","36","us US","R","R","6' 3""","185","Feb 24, 1977","14","32","32","30","32","32","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$16,445,535",""
"Homer Bailey","27","us US","R","R","6' 4""","223","May 3, 1986","7","32","32","30","32","32","0","0","0","0","0","0","0","0","0","0","0","0","2.9","$5,350,000",""
"Jonathan Broxton","29","us US","R","R","6' 4""","285","Jun 16, 1984","9","34","0","34","34","34","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$4,000,000",""
"Jay Bruce","26","us US","L","L","6' 3""","230","Apr 3, 1987","6","160","160","160","160","0","0","0","0","0","0","0","0","160","160","0","0","0","5.2","$7,500,000",""
"Aroldis Chapman","25","cu CU","L","L","6' 4""","235","Feb 28, 1988","4","68","0","66","68","68","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$2,000,000","All-Star"
"Shin-Soo Choo","30","kr KR","L","L","5' 11""","205","Jul 13, 1982","9","154","153","154","153","0","0","0","0","0","0","3","150","0","153","0","1","0","4.6","$7,375,000",""
"Nick Christiani","25","us US","R","R","6' 0""","190","Jul 17, 1987","1st","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Tony Cingrani","23","us US","L","L","6' 4""","217","Jul 5, 1989","2","24","18","22","23","23","0","0","0","0","0","0","0","0","0","0","0","1","2.4","",""
"Zack Cozart","27","us US","R","R","6' 0""","204","Aug 12, 1985","3","151","147","151","150","0","0","0","0","0","150","0","0","0","0","0","4","0","1.2","$527,500",""
"Johnny Cueto","27","do DO","R","R","5' 11""","229","Feb 15, 1986","6","11","11","9","11","11","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$7,400,000",""
"Zach Duke","30","us US","L","L","6' 2""","210","Apr 19, 1983","9","14","0","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Todd Frazier","27","us US","R","R","6' 3""","215","Feb 12, 1986","3","150","141","150","148","0","0","0","0","147","0","2","0","0","2","0","6","0","2.9","$527,500",""
"Justin Freeman","26","us US","R","R","5' 11""","175","Oct 22, 1986","1st","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Billy Hamilton","22","us US","B","R","6' 0""","160","Sep 9, 1990","1st","13","3","13","7","0","0","0","0","0","0","0","7","0","7","0","0","7","0.7","",""
"Ryan Hanigan","32","us US","R","R","6' 0""","225","Aug 16, 1980","7","75","66","75","72","0","72","0","0","0","0","0","0","0","0","0","4","0","0.3","$2,050,000",""
"Jack Hannahan","33","us US","L","R","6' 2""","210","Mar 4, 1980","7","83","25","83","45","0","0","10","1","37","0","0","0","0","0","1","46","0","-0.5","$1,000,000",""
"Chris Heisey","28","us US","R","R","6' 1""","220","Dec 14, 1984","4","87","46","87","75","0","0","0","0","0","0","69","1","6","75","4","21","2","0.7","$1,325,000",""
"J.J. Hoover","25","us US","R","R","6' 3""","240","Aug 13, 1987","2","69","0","64","69","69","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$492,500",""
"César Izturis","33","ve VE","B","R","5' 9""","180","Feb 10, 1980","13","63","25","63","50","0","0","0","21","1","29","0","0","0","0","0","24","1","0.2","$800,000",""
"Mat Latos","25","us US","R","R","6' 6""","245","Dec 9, 1987","5","32","32","31","32","32","0","0","0","0","0","0","0","0","0","0","0","0","3.2","$4,250,000",""
"Mike Leake","25","us US","R","R","5' 10""","165","Nov 12, 1987","4","31","31","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","2.9","$3,060,000",""
"Sam LeCure","29","us US","R","R","6' 0""","210","May 4, 1984","4","63","0","60","63","63","0","0","0","0","0","0","0","0","0","0","0","0","1.4","$510,000",""
"Ryan Ludwick","34","us US","R","L","6' 2""","215","Jul 13, 1978","11","38","34","38","32","0","0","0","0","0","0","32","0","0","32","2","4","0","-0.9","$2,000,000",""
"Donald Lutz","24","us US","L","R","6' 4""","230","Feb 6, 1989","1st","34","7","34","18","0","0","0","0","0","0","17","0","1","18","0","24","0","-0.1","",""
"Sean Marshall","30","us US","L","L","6' 7""","225","Aug 30, 1982","8","16","0","15","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$4,500,000",""
"Devin Mesoraco","25","us US","R","R","6' 1""","229","Jun 19, 1988","3","103","85","103","97","0","97","0","0","0","0","0","0","0","0","1","10","2","0.1","$497,500",""
"Corky Miller","37","us US","R","R","6' 1""","250","Mar 18, 1976","11","17","12","17","16","0","16","0","0","0","0","0","0","0","0","0","3","0","0.4","",""
"Logan Ondrusek","28","us US","R","R","6' 8""","230","Feb 13, 1985","4","52","0","49","52","52","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$950,000",""
