"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jason Anderson","25","us US","L","R","6' 0""","188","Jun 9, 1979","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Josh Bard","26","us US","B","R","6' 3""","225","Mar 30, 1978","3","7","6","7","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0.3","$316,700",""
"Cliff Bartosh","24","us US","L","L","6' 2""","175","Sep 5, 1979","1st","34","0","2","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Ronnie Belliard","29","us US","R","R","5' 9""","210","Apr 7, 1975","7","152","149","152","151","0","0","0","151","0","0","0","0","0","0","1","3","0","3.4","$1,100,000","All-Star"
"Rafael Betancourt","29","ve VE","R","R","6' 2""","215","Apr 29, 1975","2","68","0","3","68","68","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$305,200",""
"Casey Blake","30","us US","R","R","6' 2""","205","Aug 23, 1973","6","152","151","152","152","0","0","8","0","152","0","0","0","0","0","0","0","0","3.5","$352,400",""
"Ben Broussard","27","us US","L","L","6' 2""","220","Sep 24, 1976","3","139","107","139","133","0","0","133","0","0","0","0","0","0","0","0","16","2","3.1","$324,100",""
"Fernando Cabrera","22","pr PR","R","R","6' 4""","225","Nov 16, 1981","1st","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jack Cressend","29","us US","R","R","6' 1""","185","May 13, 1975","5","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$322,400",""
"Coco Crisp","24","us US","B","R","5' 10""","185","Nov 1, 1979","3","139","124","139","128","0","0","0","0","0","0","37","94","0","128","6","6","5","3.3","$319,400",""
"Francisco Cruceta","22","do DO","R","R","6' 2""","215","Jul 4, 1981","1st","2","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Jeff D'Amico","28","us US","R","R","6' 7""","250","Dec 27, 1975","8","7","7","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$750,000",""
"Jason Davis","24","us US","R","R","6' 6""","195","May 8, 1980","3","26","19","2","26","26","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$326,800",""
"Joey Dawley","32","us US","R","R","6' 4""","205","Sep 19, 1971","3","2","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Kyle Denney","26","us US","R","R","6' 2""","190","Jul 27, 1977","1st","4","4","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Chad Durbin","26","us US","R","R","6' 2""","225","Dec 3, 1977","6","17","8","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","$315,000",""
"Scott Elarton","28","us US","R","R","6' 7""","240","Feb 23, 1976","6","21","21","2","21","21","0","0","0","0","0","0","0","0","0","0","0","0","1.3","",""
"Alex Escobar","25","ve VE","R","R","6' 1""","185","Sep 6, 1978","3","46","45","46","42","0","0","0","0","0","0","8","21","15","42","3","1","0","1.0","$302,200",""
"Jody Gerut","26","us US","L","L","6' 0""","190","Sep 18, 1977","2","134","122","134","131","0","0","0","0","0","0","2","12","118","131","1","7","1","0.6","$325,600",""
"Raúl González","30","pr PR","R","R","5' 8""","190","Dec 27, 1973","5","7","2","7","4","0","0","0","0","0","0","1","0","3","4","0","4","0","-0.2","",""
"Jeremy Guthrie","25","us US","R","R","6' 1""","205","Apr 8, 1979","1st","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Travis Hafner","27","us US","L","R","6' 3""","240","Jun 3, 1977","3","140","131","140","11","0","0","11","0","0","0","0","0","0","0","128","9","0","5.0","$316,300",""
"Bob Howry","30","us US","L","R","6' 5""","215","Aug 4, 1973","7","37","0","1","37","37","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"José Jiménez","30","do DO","R","R","6' 3""","170","Jul 7, 1973","7","31","0","2","31","31","0","0","0","0","0","0","0","0","0","0","0","0","-2.0","$1,025,000",""
"Tim Laker","34","us US","R","R","6' 2""","185","Nov 27, 1969","9","44","31","43","42","1","41","0","0","0","0","0","0","0","0","0","1","2","0.0","$450,000",""
"Matt Lawton","32","us US","L","R","5' 10""","180","Nov 30, 1971","10","150","145","150","142","0","0","0","0","0","0","124","0","19","142","3","5","0","1.3","$7,250,000","All-Star"
"Cliff Lee","25","us US","L","L","6' 3""","205","Aug 30, 1978","3","33","33","1","33","33","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$303,200",""
"David Lee","31","us US","R","R","6' 1""","200","Mar 12, 1973","5","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Mark Little","31","us US","R","R","6' 0""","195","Jul 11, 1972","4","11","6","11","11","0","0","0","0","0","0","4","5","4","11","0","2","0","0.0","",""
"Ryan Ludwick","25","us US","R","L","6' 2""","215","Jul 13, 1978","3","15","13","15","15","0","0","0","0","0","0","0","0","15","15","0","0","0","0.1","$304,700",""
"Sandy Martínez","33","do DO","L","R","6' 2""","200","Oct 8, 1970","8","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Víctor Martínez","25","ve VE","B","R","6' 2""","235","Dec 23, 1978","3","141","131","141","132","0","132","0","0","0","0","0","0","0","0","8","9","0","3.7","$304,500","All-Star"
"John McDonald","29","us US","R","R","5' 9""","185","Sep 24, 1974","6","66","20","66","50","0","0","0","12","9","30","0","0","0","0","8","7","19","0.4","$324,400",""
"Lou Merloni","33","us US","R","R","5' 10""","188","Apr 6, 1971","7","71","52","71","59","0","0","42","7","10","0","4","0","0","4","3","10","3","0.7","$560,000",""
"Matt Miller","32","us US","R","R","6' 3""","210","Nov 23, 1971","2","57","0","3","57","57","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Jhonny Peralta","22","do DO","R","R","6' 2""","225","May 28, 1982","2","8","7","8","8","0","0","0","0","2","7","0","0","0","0","0","0","0","-0.1","",""
"Josh Phelps","26","us US","R","R","6' 3""","225","May 12, 1978","5","24","20","24","8","0","0","8","0","0","0","0","0","0","0","16","3","0","0.4","",""
"Brandon Phillips","23","us US","R","R","6' 0""","211","Jun 28, 1981","3","6","6","6","6","0","0","0","6","0","0","0","0","0","0","0","0","0","-0.2","",""
"Lou Pote","32","us US","R","R","6' 3""","200","Aug 21, 1971","5","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"David Riske","27","us US","R","R","6' 2""","175","Oct 23, 1976","5","72","0","4","72","72","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$1,025,000",""
"Jake Robbins","28","us US","R","R","6' 5""","190","May 23, 1976","1st","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jeriome Robertson","27","us US","L","L","6' 1""","190","Mar 30, 1977","3","8","0","2","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-1.3","",""
"CC Sabathia","23","us US","L","L","6' 6""","300","Jul 21, 1980","4","30","30","1","30","30","0","0","0","0","0","0","0","0","0","0","0","0","3.1","$2,700,000","All-Star"
"Grady Sizemore","21","us US","L","L","6' 2""","205","Aug 2, 1982","1st","43","38","43","42","0","0","0","0","0","0","0","42","0","42","0","1","1","1.1","",""
"Jason Stanford","27","us US","L","L","6' 2""","200","Jan 23, 1977","2","2","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$302,900",""
"Scott Stewart","28","us US","R","L","6' 2""","225","Aug 14, 1975","4","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$850,000",""
"Kazuhito Tadano","24","jp JP","R","R","6' 0""","180","Apr 25, 1980","1st","14","4","2","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Omar Vizquel","37","ve VE","B","R","5' 9""","180","Apr 24, 1967","16","148","141","148","147","0","0","0","0","0","147","0","0","0","0","0","5","1","4.0","$6,000,000",""
"Jake Westbrook","26","us US","R","R","6' 3""","210","Sep 29, 1977","5","33","30","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","4.2","$925,000","All-Star"
"Rick White","35","us US","R","R","6' 4""","215","Dec 23, 1968","9","59","0","6","59","59","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Bob Wickman","35","us US","R","R","6' 1""","207","Feb 6, 1969","12","30","0","0","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$6,000,000",""
"Ernie Young","34","us US","R","R","6' 1""","190","Jul 8, 1969","8","3","1","3","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0.1","",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
