"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Yency Almonte","25","us US","B","R","6' 5""","223","Jun 4, 1994","2","28","0","27","28","28","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Yonder Alonso","32","cu CU","L","R","6' 1""","230","Apr 8, 1987","10","54","10","54","11","0","0","11","0","0","0","0","0","0","0","0","43","0","0.1","",""
"Tyler Anderson","29","us US","L","L","6' 2""","220","Dec 30, 1989","4","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$2,625,000",""
"Nolan Arenado","28","us US","R","R","6' 2""","215","Apr 16, 1991","7","155","151","155","154","0","0","0","0","154","0","0","0","0","0","0","2","0","7.3","$26,000,000","All-Star"
"Chad Bettis","30","us US","R","R","6' 0""","201","Apr 26, 1989","7","39","3","35","39","39","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$3,350,000",""
"Charlie Blackmon","32","us US","L","L","6' 3""","221","Jul 1, 1986","9","140","136","140","135","0","0","0","0","0","0","0","0","135","135","2","4","0","2.3","$21,500,000","All-Star"
"Drew Butera","35","us US","R","R","6' 1""","212","Aug 9, 1983","10","16","13","16","16","0","14","3","0","0","0","0","0","0","0","0","1","0","-0.4","$100,000",""
"Noel Cuevas","27","pr PR","R","R","6' 2""","225","Oct 2, 1991","2","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0.0","",""
"David Dahl","25","us US","L","R","6' 1""","197","Apr 1, 1994","3","100","92","100","93","0","0","0","0","0","0","39","40","24","93","0","8","0","0.8","$560,000","All-Star"
"Wade Davis","33","us US","R","R","6' 5""","225","Sep 7, 1985","11","50","0","47","50","50","0","0","0","0","0","0","0","0","0","0","0","0","-1.5","$18,000,000",""
"Yonathan Daza","25","ve VE","R","R","6' 2""","207","Feb 28, 1994","1st","44","24","44","29","0","0","0","0","0","0","3","24","3","29","0","16","1","-0.8","",""
"Ian Desmond","33","us US","R","R","6' 3""","217","Sep 20, 1985","11","140","106","140","119","1","0","0","0","0","0","44","74","0","118","2","24","0","-1.4","$15,000,000",""
"Jairo Díaz","28","ve VE","R","R","6' 0""","254","May 27, 1991","4","56","0","54","56","56","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Phillip Diehl","24","us US","L","L","6' 2""","169","Jul 16, 1994","1st","10","0","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Mike Dunn","34","us US","L","L","6' 0""","212","May 23, 1985","11","28","0","25","28","28","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$7,000,000",""
"Carlos Estévez","26","do DO","R","R","6' 6""","277","Dec 28, 1992","3","71","0","67","71","71","0","0","0","0","0","0","0","0","0","0","0","0","1.3","",""
"Kyle Freeland","26","us US","L","L","6' 4""","204","May 14, 1993","3","22","22","19","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","$565,000",""
"Joshua Fuentes","26","us US","R","R","6' 0""","209","Feb 19, 1993","1st","24","11","24","12","0","0","11","0","2","0","0","0","0","0","0","13","0","-0.1","",""
"Rico Garcia","25","us US","R","R","5' 9""","201","Jan 10, 1994","1st","2","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Chi Chi González","27","us US","R","R","6' 3""","210","Jan 15, 1992","3","14","12","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Jon Gray","27","us US","R","R","6' 4""","225","Nov 5, 1991","5","27","25","27","26","26","0","0","0","0","0","0","0","0","0","0","1","0","3.2","$2,935,000",""
"Garrett Hampson","24","us US","R","R","5' 11""","196","Oct 10, 1994","2","105","72","105","89","0","0","0","50","0","15","2","31","0","33","0","18","1","0.4","$557,000",""
"Joe Harvey","27","us US","R","R","6' 2""","236","Jan 9, 1992","1st","9","0","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Sam Hilliard","25","us US","L","L","6' 5""","236","Feb 21, 1994","1st","27","18","27","25","0","0","0","0","0","0","5","17","6","25","0","6","0","0.6","",""
"Jeff Hoffman","26","us US","R","R","6' 5""","235","Jan 8, 1993","4","18","15","18","15","15","0","0","0","0","0","0","0","0","0","0","0","3","0.0","",""
"Sam Howard","26","us US","R","L","6' 4""","195","Mar 5, 1993","2","20","0","19","20","20","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Chris Iannetta","36","us US","R","R","6' 0""","230","Apr 8, 1983","14","52","38","52","45","0","45","0","0","0","0","0","0","0","0","1","10","0","-0.5","$4,150,000",""
"DJ Johnson","29","us US","L","R","6' 4""","230","Aug 30, 1989","2","28","0","27","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$557,000",""
"Peter Lambert","22","us US","R","R","6' 2""","208","Apr 18, 1997","1st","22","19","21","19","19","0","0","0","0","0","0","0","0","0","0","1","2","-0.4","",""
"Germán Márquez","24","ve VE","R","R","6' 1""","230","Feb 22, 1995","4","29","28","25","28","28","0","0","0","0","0","0","0","0","0","0","1","0","3.1","$565,000",""
"Jake McGee","32","us US","L","L","6' 4""","229","Aug 6, 1986","10","45","0","42","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$8,500,000",""
"Ryan McMahon","24","us US","L","R","6' 2""","219","Dec 14, 1994","3","141","122","141","135","0","0","19","113","22","0","0","0","0","0","0","14","0","1.7","$560,000",""
"Tim Melville","29","us US","R","R","6' 4""","250","Oct 9, 1989","3","7","7","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Daniel Murphy","34","us US","L","R","6' 1""","223","Apr 1, 1985","11","132","101","132","110","0","0","110","3","0","0","0","0","0","0","4","26","0","0.6","$10,000,000",""
"Harrison Musgrave","27","us US","L","L","6' 1""","206","Mar 3, 1992","2","10","0","9","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$557,000",""
"Dom Nuñez","24","us US","L","R","5' 8""","212","Jan 17, 1995","1st","16","10","16","14","0","14","0","0","0","0","0","0","0","0","0","2","0","-0.1","",""
"Scott Oberg","29","us US","R","R","6' 2""","207","Mar 13, 1990","5","49","0","45","49","49","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$1,300,000",""
"Seunghwan Oh","36","kr KR","R","R","5' 10""","205","Jul 15, 1982","4","21","0","20","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$2,500,000",""
"Wes Parsons","26","us US","R","R","6' 5""","206","Sep 6, 1992","2","15","0","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"James Pazos","28","us US","R","L","6' 2""","252","May 5, 1991","5","12","0","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Mark Reynolds","35","us US","R","R","6' 2""","220","Aug 3, 1983","13","78","30","78","32","1","0","32","0","0","0","0","0","0","0","1","46","0","-1.1","$1,000,000",""
"Brendan Rodgers","22","us US","R","R","6' 0""","204","Aug 9, 1996","1st","25","18","25","22","0","0","0","16","0","9","0","0","0","0","0","3","0","-0.6","",""
"Chris Rusin","32","us US","L","L","6' 2""","200","Oct 22, 1986","8","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$1,687,500",""
"Antonio Senzatela","24","ve VE","R","R","6' 1""","236","Jan 21, 1995","3","25","25","24","25","25","0","0","0","0","0","0","0","0","0","0","0","0","-1.3","$560,000",""
"Bryan Shaw","31","us US","B","R","6' 1""","225","Nov 8, 1987","9","70","0","64","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$8,500,000",""
"Trevor Story","26","us US","R","R","6' 2""","209","Nov 15, 1992","4","145","144","145","144","0","0","0","0","0","144","0","0","0","0","0","1","0","7.0","$5,000,000","All-Star"
"Raimel Tapia","25","do DO","L","L","6' 3""","178","Feb 4, 1994","4","138","91","138","106","0","0","0","0","0","0","91","13","6","106","1","38","1","-0.6","$560,000",""
"Jesús Tinoco","24","ve VE","R","R","6' 4""","258","Apr 30, 1995","1st","24","0","23","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Pat Valaika","26","us US","R","R","6' 0""","200","Sep 9, 1992","4","40","16","40","22","0","0","1","13","3","7","0","0","0","0","1","18","0","-0.5","",""
"Tony Wolters","27","us US","L","R","5' 10""","195","Jun 9, 1992","4","121","102","121","117","0","112","0","8","1","0","0","0","0","0","0","9","0","1.7","$960,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
