"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Mike Aviles","35","us US","R","R","5' 10""","205","Mar 13, 1981","9","68","43","68","61","0","0","0","10","9","6","8","1","32","39","1","9","1","-1.5","",""
"Erick Aybar","32","do DO","B","R","5' 10""","195","Jan 14, 1984","11","29","21","29","25","0","0","0","6","12","11","0","0","0","0","0","4","1","0.2","$8,500,000",""
"Matthew Boyd","25","us US","L","L","6' 3""","223","Feb 2, 1991","2","20","18","0","20","20","0","0","0","0","0","0","0","0","0","0","0","0","1.3","",""
"Miguel Cabrera","33","ve VE","R","R","6' 4""","267","Apr 18, 1983","14","158","156","158","148","0","0","147","0","1","0","0","0","0","0","8","2","0","5.1","$28,000,000","All-Star"
"Nick Castellanos","24","us US","R","R","6' 4""","203","Mar 4, 1992","4","110","108","110","108","0","0","0","0","108","0","0","0","0","0","1","2","0","2.3","$536,500",""
"Tyler Collins","26","us US","L","L","5' 11""","215","Jun 6, 1990","3","56","32","56","50","0","0","0","0","0","0","13","29","8","50","1","12","2","-0.4","$510,500",""
"Buck Farmer","25","us US","L","R","6' 4""","243","Feb 20, 1991","3","14","1","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$509,500",""
"Michael Fulmer","23","us US","R","R","6' 3""","224","Mar 15, 1993","1st","26","26","1","26","26","0","0","0","0","0","0","0","0","0","0","0","0","5.4","",""
"Anthony Gose","25","us US","L","L","6' 0""","200","Aug 10, 1990","5","30","27","30","30","0","0","0","0","0","0","0","30","0","30","0","0","0","-0.3","$525,000",""
"Shane Greene","27","us US","R","R","6' 4""","200","Nov 17, 1988","3","50","3","3","50","50","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$517,000",""
"Blaine Hardy","29","us US","L","L","6' 2""","218","Mar 14, 1987","3","21","0","0","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$520,500",""
"John Hicks","26","us US","R","R","6' 2""","230","Aug 31, 1989","2","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jose Iglesias","26","cu CU","R","R","5' 11""","195","Jan 5, 1990","5","137","131","137","136","0","0","0","0","0","136","0","0","0","0","0","2","1","2.5","$2,100,000",""
"JaCoby Jones","24","us US","R","R","6' 2""","211","May 10, 1992","1st","13","7","13","11","0","0","0","0","6","0","0","5","0","5","2","2","2","-0.1","",""
"Logan Kensing","33","us US","R","R","6' 1""","190","Jul 3, 1982","9","3","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ian Kinsler","34","us US","R","R","6' 0""","200","Jun 22, 1982","11","153","149","153","151","0","0","0","151","0","0","0","0","0","0","1","3","1","5.6","$14,000,000",""
"Mark Lowe","33","us US","L","R","6' 3""","210","Jun 7, 1983","11","54","0","6","54","54","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","$5,500,000",""
"Dixon Machado","24","ve VE","R","R","6' 1""","190","Feb 22, 1992","2","8","3","8","8","0","0","0","2","0","6","0","0","0","0","0","2","1","0.2","",""
"Joe Mantiply","25","us US","R","L","6' 4""","219","Mar 1, 1991","1st","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"J.D. Martinez","28","us US","R","R","6' 3""","230","Aug 21, 1987","6","120","119","120","118","0","0","0","0","0","0","0","0","118","118","1","1","0","1.7","$6,750,000",""
"Víctor Martínez","37","ve VE","B","R","6' 2""","235","Dec 23, 1978","14","154","143","154","5","0","0","5","0","0","0","0","0","0","0","138","11","0","1.5","$18,000,000",""
"Cameron Maybin","29","us US","R","R","6' 3""","215","Apr 4, 1987","10","94","89","94","91","0","0","0","0","0","0","0","91","0","91","1","1","3","1.7","$8,000,000",""
"James McCann","26","us US","R","R","6' 3""","235","Jun 13, 1990","3","105","97","105","99","0","99","0","0","0","0","0","0","0","0","6","6","0","0.9","$519,500",""
"Casey McGehee","33","us US","R","R","6' 1""","220","Oct 12, 1982","8","30","23","30","28","0","0","1","0","27","0","0","0","0","0","0","3","0","-0.3","",""
"Dustin Molleken","31","ca CA","L","R","6' 4""","260","Aug 21, 1984","1st","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Steven Moya","24","pr PR","L","R","6' 7""","260","Aug 9, 1991","3","31","25","31","26","0","0","0","0","0","0","8","0","18","26","3","4","0","-0.5","",""
"Daniel Norris","23","us US","L","L","6' 2""","207","Apr 25, 1993","3","14","13","1","14","14","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$514,500",""
"Bobby Parnell","31","us US","R","R","6' 3""","205","Sep 8, 1984","9","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Mike Pelfrey","32","us US","R","R","6' 7""","240","Jan 14, 1984","11","24","22","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$8,000,000",""
"Alex Presley","30","us US","L","L","5' 10""","195","Jul 25, 1985","7","3","1","3","2","0","0","0","0","0","0","1","2","0","2","0","1","1","-0.1","",""
"Francisco Rodríguez","34","ve VE","R","R","6' 0""","195","Jan 7, 1982","15","61","0","6","61","61","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$7,500,000",""
"Andrew Romine","30","us US","B","R","6' 1""","190","Dec 24, 1985","7","109","45","108","102","1","0","20","12","44","14","1","22","2","25","4","4","17","0.5","$900,000",""
"Bruce Rondón","25","ve VE","R","R","6' 3""","275","Dec 9, 1990","3","37","0","2","37","37","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"Kyle Ryan","24","us US","L","L","6' 5""","215","Sep 25, 1991","3","56","0","4","56","56","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$509,500",""
"Jarrod Saltalamacchia","31","us US","B","R","6' 4""","235","May 2, 1985","10","92","67","92","78","0","68","11","0","0","0","0","0","0","0","1","18","0","-0.5","$507,500",""
"Aníbal Sánchez","32","ve VE","R","R","6' 0""","207","Feb 27, 1984","11","35","26","2","35","35","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$16,800,000",""
"Warwick Saupold","26","au AU","R","R","6' 2""","223","Jan 16, 1990","1st","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Justin Upton","28","us US","R","R","6' 1""","215","Aug 25, 1987","10","153","149","153","150","0","0","0","0","0","0","146","6","0","150","2","2","1","1.7","$22,125,000",""
"Drew VerHagen","25","us US","R","R","6' 6""","230","Oct 22, 1990","3","19","0","4","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$509,500",""
"Justin Verlander","33","us US","R","R","6' 5""","235","Feb 20, 1983","12","34","34","2","34","34","0","0","0","0","0","0","0","0","0","0","0","0","7.4","$28,000,000",""
"Alex Wilson","29","sa SA","R","R","6' 0""","227","Nov 3, 1986","4","62","0","3","62","62","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$522,500",""
"Bobby Wilson","33","us US","R","R","6' 0""","230","Apr 8, 1983","8","5","4","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Justin Wilson","28","us US","L","L","6' 2""","205","Aug 18, 1987","5","66","0","5","66","66","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$1,525,000",""
"Jordan Zimmermann","30","us US","R","R","6' 2""","225","May 23, 1986","8","19","18","3","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$18,000,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
