"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Matt Albers","23","us US","L","R","6' 1""","225","Jan 20, 1983","1st","4","2","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Ezequiel Astacio","26","do DO","R","R","6' 3""","200","Nov 4, 1979","2","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Brad Ausmus","37","us US","R","R","5' 11""","190","Apr 14, 1969","14","139","124","139","138","0","138","1","2","0","0","0","0","0","0","0","2","0","-0.3","",""
"Brandon Backe","28","us US","R","R","6' 0""","182","Apr 5, 1978","5","9","8","9","8","8","0","0","0","0","0","0","0","0","0","0","0","1","0.7","$442,500",""
"Philip Barzilla","27","us US","L","L","6' 0""","180","Jan 25, 1979","1st","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Lance Berkman","30","us US","B","L","6' 1""","220","Feb 10, 1976","8","152","147","152","144","0","0","112","0","0","0","5","0","42","44","3","5","0","6.0","$14,500,000","All-Star"
"Craig Biggio HOF","40","us US","R","R","5' 11""","185","Dec 14, 1965","19","145","132","145","129","0","0","0","129","0","0","0","0","0","0","5","13","0","0.4","$4,000,000",""
"Dave Borkowski","29","us US","R","R","6' 1""","200","Feb 7, 1977","5","40","0","37","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Eric Bruntlett","28","us US","R","R","6' 0""","200","Mar 29, 1978","4","73","22","73","60","0","0","0","23","2","21","6","8","5","18","0","21","4","0.4","$365,000",""
"Taylor Buchholz","24","us US","R","R","6' 3""","220","Oct 13, 1981","1st","23","19","21","22","22","0","0","0","0","0","0","0","0","0","0","1","0","-1.3","$327,000",""
"Chris Burke","26","us US","R","R","5' 11""","180","Mar 11, 1980","3","123","87","123","114","0","0","0","69","0","8","19","38","7","61","0","17","0","0.9","$362,500",""
"Roger Clemens","43","us US","R","R","6' 4""","205","Aug 4, 1962","23","19","19","18","19","19","0","0","0","0","0","0","0","0","0","0","0","0","3.5","$12,200,000",""
"Morgan Ensberg","30","us US","R","R","6' 2""","210","Aug 26, 1975","6","127","106","127","117","0","0","0","0","117","0","0","0","0","0","0","16","0","3.5","$3,800,000",""
"Adam Everett","29","us US","R","R","6' 0""","180","Feb 5, 1977","6","150","146","150","149","0","0","0","0","0","149","0","0","0","0","0","2","0","3.5","$1,900,000",""
"Mike Gallo","29","us US","L","L","6' 0""","170","Apr 2, 1977","4","23","0","23","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$365,000",""
"Héctor Giménez","23","ve VE","B","R","5' 10""","230","Sep 28, 1982","1st","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","","",""
"Jason Hirsh","24","us US","R","R","6' 8""","250","Feb 20, 1982","1st","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"J.R. House","26","us US","R","R","6' 0""","215","Nov 11, 1979","3","4","2","4","4","0","3","2","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Aubrey Huff","29","us US","L","R","6' 4""","225","Dec 20, 1976","7","68","59","68","61","0","0","3","0","30","0","0","0","37","37","0","9","0","0.2","",""
"Charlton Jimerson","26","us US","R","R","6' 3""","210","Sep 22, 1979","2","17","0","17","9","0","0","0","0","0","0","0","1","9","9","0","6","6","0.1","",""
"Mike Lamb","30","us US","L","R","6' 1""","205","Aug 9, 1975","7","126","84","126","96","0","0","68","2","36","0","0","0","0","0","0","36","0","1.3","$1,700,000",""
"Jason Lane","29","us US","R","L","6' 2""","225","Dec 22, 1976","5","112","75","112","99","0","0","1","0","0","0","6","5","89","98","0","21","0","-0.8","$450,000",""
"Brad Lidge","29","us US","R","R","6' 5""","210","Dec 23, 1976","5","78","0","75","78","78","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","$3,975,000",""
"Joe McEwing","33","us US","R","R","5' 10""","170","Oct 19, 1972","9","7","0","7","2","0","0","0","2","0","0","0","0","0","0","0","6","0","-0.1","",""
"Trever Miller","33","us US","R","L","6' 3""","200","May 29, 1973","8","70","0","65","70","70","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$1,300,000",""
"Eric Munson","28","us US","L","R","6' 3""","220","Oct 3, 1977","7","53","33","53","41","0","37","4","0","0","0","0","0","0","0","1","15","0","-0.6","$350,000",""
"Fernando Nieve","23","ve VE","R","R","6' 0""","220","Jul 15, 1982","1st","40","11","38","40","40","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$327,000",""
"Roy Oswalt","28","us US","R","R","6' 0""","190","Aug 29, 1977","6","35","32","33","33","33","0","0","0","0","0","0","0","0","0","0","2","0","6.0","$11,000,000","All-Star"
"Orlando Palmeiro","37","us US","L","L","5' 11""","155","Jan 19, 1969","12","103","6","103","23","0","0","0","0","0","0","12","0","11","23","0","88","0","-0.5","$950,000",""
"Andy Pettitte","34","us US","L","L","6' 5""","235","Jun 15, 1972","12","38","35","36","36","36","0","0","0","0","0","0","0","0","0","0","2","0","1.8","$16,428,416",""
"Chad Qualls","27","us US","R","R","6' 4""","235","Aug 17, 1978","3","81","0","77","81","81","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$376,000",""
"Humberto Quintero","26","ve VE","R","R","5' 10""","215","Aug 2, 1979","4","11","7","11","10","0","10","0","0","0","0","0","0","0","0","0","1","0","0.3","",""
"Wandy Rodríguez","27","do DO","B","L","5' 11""","195","Jan 18, 1979","2","30","24","28","30","30","0","0","0","0","0","0","0","0","0","0","0","0","-1.4","$327,000",""
"Chris Sampson","28","us US","R","R","6' 1""","195","May 23, 1978","1st","12","3","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",""
"Luke Scott","28","us US","L","R","6' 0""","220","Jun 25, 1978","2","65","56","65","60","0","0","0","0","0","0","50","1","13","60","0","7","1","2.5","",""
"Russ Springer","37","us US","R","R","6' 4""","195","Nov 7, 1968","14","72","0","69","72","72","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$750,000",""
"Willy Taveras","24","do DO","R","R","6' 0""","180","Dec 25, 1981","3","149","120","149","138","0","0","0","0","0","0","0","138","0","138","0","13","5","2.6","$400,000",""
"Dan Wheeler","28","us US","R","R","6' 3""","220","Dec 10, 1977","7","75","0","71","75","75","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$930,000",""
"Preston Wilson","31","us US","R","R","6' 2""","193","Jul 19, 1974","9","102","99","102","100","0","0","0","0","0","0","94","2","5","100","0","2","0","-1.5","$4,000,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
