"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Nathan Adcock","23","us US","R","R","6' 4""","235","Feb 25, 1988","1st","24","3","1","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$414,000",""
"Mike Aviles","30","us US","R","R","5' 10""","205","Mar 13, 1981","4","53","44","53","46","0","0","0","20","24","6","0","0","0","0","4","2","4","0.1","$640,000",""
"Wilson Betemit","29","do DO","B","R","6' 2""","220","Nov 2, 1981","9","57","52","57","51","0","0","3","1","47","0","0","0","0","0","3","4","0","0.0","$1,000,000",""
"Billy Butler","25","us US","R","R","6' 0""","260","Apr 18, 1986","5","159","153","159","11","0","0","11","0","0","0","0","0","0","0","142","6","0","2.2","$3,500,000",""
"Melky Cabrera","26","do DO","B","L","5' 10""","210","Aug 11, 1984","7","155","153","155","153","0","0","0","0","0","0","12","144","2","153","2","1","0","4.4","$1,250,000",""
"Lorenzo Cain","25","us US","R","R","6' 2""","214","Apr 13, 1986","2","6","6","6","6","0","0","0","0","0","0","0","2","4","6","0","0","0","0.0","",""
"Jesse Chavez","27","us US","R","R","6' 1""","180","Aug 21, 1983","4","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Bruce Chen","34","pa PA","L","L","6' 2""","215","Jun 19, 1977","13","25","25","1","25","25","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$2,000,000",""
"Louis Coleman","25","us US","R","R","6' 4""","205","Apr 4, 1986","1st","48","0","3","48","48","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Tim Collins","21","us US","L","L","5' 7""","166","Aug 21, 1989","1st","68","0","5","68","68","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$414,000",""
"Aaron Crow","24","us US","R","R","6' 3""","195","Nov 10, 1986","1st","57","0","3","57","57","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$1,400,000","All-Star"
"Kyle Davies","27","us US","R","R","6' 1""","210","Sep 9, 1983","7","13","13","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","$3,200,000",""
"Danny Duffy","22","us US","L","L","6' 3""","205","Dec 21, 1988","1st","20","20","2","20","20","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jarrod Dyson","26","us US","L","R","5' 9""","165","Aug 15, 1984","2","26","11","26","17","0","0","0","0","0","0","0","17","0","17","3","2","12","0.5","$414,000",""
"Alcides Escobar","24","ve VE","R","R","6' 1""","205","Dec 16, 1986","4","158","156","158","158","0","0","0","0","0","158","0","0","0","0","0","0","1","2.7","$428,000",""
"Jeff Francis","30","ca CA","L","L","6' 5""","220","Jan 8, 1981","7","31","31","1","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$2,000,000",""
"Jeff Francoeur","27","us US","R","R","6' 4""","225","Jan 8, 1984","7","153","152","153","153","0","0","0","0","0","0","0","0","153","153","0","1","0","3.2","$2,500,000",""
"Chris Getz","27","us US","L","R","6' 0""","185","Aug 30, 1983","4","118","100","118","113","0","0","0","110","0","4","0","0","0","0","4","2","5","0.5","$443,000",""
"Johnny Giavotella","23","us US","R","R","5' 8""","185","Jul 10, 1987","1st","46","46","46","46","0","0","0","46","0","0","0","0","0","0","0","0","0","0.1","",""
"Alex Gordon","27","us US","L","R","6' 1""","220","Feb 10, 1984","5","151","149","151","150","0","0","7","0","0","0","148","0","0","148","0","1","0","7.3","$1,400,000",""
"Kelvin Herrera","21","do DO","R","R","5' 10""","220","Dec 31, 1989","1st","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
