"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Bobby Abreu","36","ve VE","L","R","6' 0""","220","Mar 11, 1974","15","154","151","154","134","0","0","0","0","0","0","41","0","93","134","17","3","0","1.9","$9,000,000",""
"Cory Aldridge","31","us US","L","R","6' 0""","210","Jun 13, 1979","2","5","3","5","5","0","0","0","0","0","0","1","0","4","5","0","0","0","-0.2","",""
"Erick Aybar","26","do DO","B","R","5' 10""","195","Jan 14, 1984","5","138","133","138","135","0","0","0","0","0","135","0","0","0","0","1","4","1","2.2","$2,050,000",""
"Trevor Bell","23","us US","L","R","6' 2""","205","Oct 12, 1986","2","25","7","3","25","25","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Peter Bourjos","23","us US","R","R","6' 1""","190","Mar 31, 1987","1st","51","49","51","51","0","0","0","0","0","0","0","51","0","51","0","0","0","1.5","",""
"Ryan Budde","30","us US","R","R","5' 11""","210","Aug 15, 1979","4","6","3","6","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0.2","$402,200",""
"Jason Bulger","31","us US","R","R","6' 4""","215","Dec 6, 1978","6","25","0","2","25","25","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$418,000",""
"Alberto Callaspo","27","ve VE","B","R","5' 8""","210","Apr 19, 1983","5","58","52","58","54","0","0","0","1","54","0","1","0","0","1","0","6","0","0.5","",""
"Bobby Cassevah","24","us US","R","R","6' 3""","220","Sep 11, 1985","1st","16","0","1","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Hank Conger","22","us US","B","R","6' 2""","220","Jan 29, 1988","1st","13","9","13","10","0","10","0","0","0","0","0","0","0","0","1","4","0","-0.1","",""
"Terry Evans","28","us US","R","R","6' 4""","210","Jan 19, 1982","3","1","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0.0","$405,000",""
"Kevin Frandsen","28","us US","R","R","6' 0""","190","May 24, 1982","5","54","44","54","50","0","0","4","4","43","0","1","0","0","1","2","2","5","0.0","",""
"Brian Fuentes","34","us US","L","L","6' 4""","230","Aug 9, 1975","10","39","0","3","39","39","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$9,000,000",""
"Dan Haren","29","us US","R","R","6' 5""","215","Sep 17, 1980","8","14","14","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","2.5","",""
"Torii Hunter","34","us US","R","R","6' 2""","220","Jul 18, 1975","14","152","152","152","143","0","0","0","0","0","0","0","98","46","143","9","0","0","3.0","$18,500,000","All-Star"
"Maicer Izturis","29","ve VE","B","R","5' 8""","185","Sep 12, 1980","7","61","55","61","54","0","0","0","22","28","7","0","0","0","0","3","6","0","1.4","$2,766,666",""
"Kevin Jepsen","25","us US","R","R","6' 3""","235","Jul 26, 1984","3","68","0","4","68","68","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$415,000",""
"Scott Kazmir","26","us US","L","L","6' 0""","185","Jan 24, 1984","7","28","28","3","28","28","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","$8,000,000",""
"Howie Kendrick","26","us US","R","R","5' 11""","225","Jul 12, 1983","5","158","151","158","157","0","0","15","143","0","0","0","1","0","1","0","6","0","2.4","$1,750,000",""
"Michael Kohn","24","us US","R","R","6' 2""","200","Jun 26, 1986","1st","24","0","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Jeff Mathis","27","us US","R","R","6' 0""","205","Mar 31, 1983","6","68","62","68","67","0","67","0","0","0","0","0","0","0","0","1","1","0","0.0","$1,300,000",""
"Hideki Matsui","36","jp JP","L","R","6' 2""","210","Jun 12, 1974","8","145","136","145","18","0","0","0","0","0","0","18","0","0","18","120","9","0","1.7","$6,000,000",""
"Paul McAnulty","29","us US","L","R","5' 11""","225","Feb 24, 1981","5","9","6","9","5","0","0","5","0","0","0","0","0","0","0","1","3","0","-0.2","",""
"Kendrys Morales","27","cu CU","B","R","6' 1""","242","Jun 20, 1983","5","51","51","51","51","0","0","51","0","0","0","0","0","0","0","0","0","0","1.7","$1,200,000",""
"Mike Napoli","28","us US","R","R","6' 1""","225","Oct 31, 1981","5","140","127","140","132","0","66","70","0","0","0","0","0","0","0","2","8","1","2.0","$3,600,000",""
"Sean O'Sullivan","22","us US","R","R","6' 1""","245","Sep 1, 1987","2","5","1","1","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Matt Palmer","31","us US","R","R","6' 2""","235","Mar 21, 1979","3","14","1","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$420,000",""
