"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Scott Alexander","29","us US","L","L","6' 2""","195","Jul 10, 1989","5","28","0","27","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$575,000",""
"Pedro Báez","31","do DO","R","R","6' 0""","232","Mar 11, 1988","6","71","0","66","71","71","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$2,100,000",""
"Austin Barnes","29","us US","R","R","5' 10""","187","Dec 28, 1989","5","75","62","75","65","0","64","0","1","0","0","0","0","0","0","0","12","0","0.2","$575,000",""
"Matt Beaty","26","us US","L","R","6' 0""","215","Apr 28, 1993","1st","99","57","99","75","0","0","35","0","9","0","34","0","2","35","2","32","1","0.3","",""
"Cody Bellinger","23","us US","L","L","6' 4""","203","Jul 13, 1995","3","156","151","156","153","0","0","36","0","0","0","0","25","115","136","0","3","0","8.6","$605,000","All-Star"
"Walker Buehler","24","us US","R","R","6' 2""","185","Jul 28, 1994","3","30","30","29","30","30","0","0","0","0","0","0","0","0","0","0","0","0","2.3","$570,000","All-Star"
"JT Chargois","28","us US","B","R","6' 3""","200","Dec 3, 1990","3","21","0","19","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Travis d'Arnaud","30","us US","R","R","6' 2""","210","Feb 10, 1989","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","",""
"Caleb Ferguson","22","us US","R","L","6' 3""","226","Jul 2, 1996","2","46","2","42","46","46","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$560,000",""
"Dylan Floro","28","us US","L","R","6' 2""","212","Dec 27, 1990","4","50","0","46","50","50","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$565,000",""
"David Freese","36","us US","R","R","6' 2""","213","Apr 28, 1983","11","79","39","79","50","0","0","50","0","2","0","0","0","0","0","3","36","0","1.6","$4,500,000",""
"Rocky Gale","31","us US","R","R","6' 1""","185","Feb 22, 1988","4","5","4","5","4","0","4","0","0","0","0","0","0","0","0","0","1","0","-0.3","",""
"Yimi García","28","do DO","R","R","6' 1""","230","Aug 18, 1990","5","64","0","61","64","64","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$710,000",""
"Kyle Garlick","27","us US","R","R","6' 1""","210","Jan 26, 1992","1st","30","9","30","15","0","0","0","0","0","0","12","0","5","15","0","18","1","0.2","",""
"Tony Gonsolin","25","us US","R","R","6' 3""","205","May 14, 1994","1st","11","6","10","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Jedd Gyorko","30","us US","R","R","5' 10""","205","Sep 23, 1988","7","24","6","24","16","0","0","7","1","9","0","0","0","0","0","1","12","1","-0.4","",""
"Enrique Hernández","27","pr PR","R","R","5' 11""","195","Aug 24, 1991","6","130","100","130","122","0","0","2","85","1","11","10","20","17","43","0","22","1","2.0","$3,725,000",""
"Rich Hill","39","us US","L","L","6' 5""","220","Mar 11, 1980","15","13","13","11","13","13","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$18,666,666",""
"Kenley Jansen","31","cw CW","B","R","6' 5""","265","Sep 30, 1987","10","62","0","59","62","62","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$19,333,334",""
"Joe Kelly","31","us US","R","R","6' 1""","174","Jun 9, 1988","8","55","0","52","55","55","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$3,333,333",""
"Clayton Kershaw","31","us US","L","L","6' 4""","225","Mar 19, 1988","12","29","28","28","29","29","0","0","0","0","0","0","0","0","0","0","0","0","3.4","$31,000,000","All-Star"
"Adam Kolarek","30","us US","L","L","6' 3""","215","Jan 14, 1989","3","27","0","25","27","26","0","1","0","0","0","0","0","0","0","0","0","0","0.3","",""
