"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Chad Allen","28","us US","R","R","6' 1""","195","Feb 6, 1975","5","12","4","12","8","0","0","0","0","0","0","6","1","2","8","1","4","1","0.0","",""
"Armando Almanza","30","us US","L","L","6' 3""","205","Oct 26, 1972","5","51","0","48","51","51","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$775,000",""
"Juan Alvarez","29","us US","L","L","6' 1""","180","Aug 9, 1973","4","9","0","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Brian Banks","32","us US","B","R","6' 3""","200","Sep 28, 1970","6","92","29","92","44","0","0","12","0","0","0","23","0","10","33","1","53","1","-0.3","$300,000",""
"Josh Beckett","23","us US","R","R","6' 5""","230","May 15, 1980","3","24","23","24","24","24","0","0","0","0","0","0","0","0","0","0","0","0","3.8","$1,725,000",""
"Toby Borland","34","us US","R","R","6' 6""","186","May 29, 1969","8","7","0","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Nate Bump","26","us US","L","R","6' 2""","195","Jul 24, 1976","1st","32","0","31","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"A.J. Burnett","26","us US","R","R","6' 4""","230","Jan 3, 1977","5","4","4","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$2,500,000",""
"Miguel Cabrera","20","ve VE","R","R","6' 4""","267","Apr 18, 1983","1st","87","85","87","86","0","0","0","0","34","0","55","0","0","55","0","1","1","0.6","$165,574",""
"Luis Castillo","27","do DO","B","R","5' 11""","145","Sep 12, 1975","8","152","151","152","152","0","0","0","152","0","0","0","0","0","0","0","1","0","4.4","$4,850,000","All-Star"
"Ramón Castro","27","pr PR","R","R","6' 3""","240","Mar 1, 1976","5","40","3","40","18","0","18","0","0","0","0","0","0","0","0","1","27","0","0.5","$300,000",""
