"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Mike Adams","27","us US","R","R","6' 5""","210","Jul 29, 1978","3","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Drew Anderson","25","us US","L","R","6' 2""","195","Jun 9, 1981","1st","9","1","9","2","0","0","0","0","0","0","1","0","1","2","0","5","3","-0.1","",""
"Chris Barnwell","27","us US","R","R","5' 10""","180","Mar 1, 1979","1st","13","5","13","10","0","0","0","3","3","5","0","0","0","0","0","2","1","-0.5","",""
"David Bell","33","us US","R","R","5' 10""","170","Sep 14, 1972","12","53","50","53","53","0","0","0","0","53","0","0","0","0","0","0","0","0","1.1","",""
"Dave Bush","26","us US","R","R","6' 2""","205","Nov 9, 1979","3","34","32","33","34","34","0","0","0","0","0","0","0","0","0","0","0","0","2.3","$352,000",""
"José Capellán","25","do DO","R","R","6' 4""","245","Jan 13, 1981","3","61","0","60","61","61","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$330,000",""
"Chris Capuano","27","us US","L","L","6' 2""","225","Aug 19, 1978","4","35","34","34","34","34","0","0","0","0","0","0","0","0","0","0","0","1","3.1","$450,000","All-Star"
"Jeff Cirillo","36","us US","R","R","6' 2""","190","Sep 23, 1969","13","112","53","112","65","0","0","13","12","42","3","0","0","0","0","0","47","0","1.6","$850,000",""
"Brady Clark","33","us US","R","R","6' 2""","195","Apr 18, 1973","7","138","106","138","119","0","0","0","0","0","0","3","114","7","119","0","24","1","0.5","$3,200,000",""
"Francisco Cordero","31","do DO","R","R","6' 3""","245","May 11, 1975","8","28","0","28","28","28","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Doug Davis","30","us US","R","L","6' 4""","215","Sep 21, 1975","8","34","34","33","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$3,200,000",""
"Jorge De La Rosa","25","mx MX","L","L","6' 1""","215","Apr 5, 1981","3","18","3","18","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-1.2","$337,000",""
"Chris Demaria","25","us US","B","R","6' 3""","210","Sep 28, 1980","2","10","0","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Dana Eveland","22","us US","L","L","6' 1""","235","Oct 29, 1983","2","9","5","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Jared Fernández","34","us US","R","R","6' 2""","223","Feb 2, 1972","5","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$337,000",""
"Prince Fielder","22","us US","L","R","5' 11""","275","May 9, 1984","2","157","151","157","152","0","0","152","0","0","0","0","0","0","0","1","5","0","-0.7","$329,500",""
"Geremi González","31","ve VE","R","R","6' 2""","200","Jan 8, 1975","6","21","1","19","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Tony Graffanino","34","us US","R","R","6' 1""","175","Jun 6, 1972","11","60","59","60","60","0","0","0","57","0","4","0","0","0","0","0","0","0","1.7","",""
"Gabe Gross","26","us US","L","R","6' 3""","200","Oct 21, 1979","3","117","47","117","59","0","0","0","0","0","0","20","33","8","59","0","61","1","2.2","$335,000",""
"Tony Gwynn","23","us US","L","R","6' 0""","190","Oct 4, 1982","1st","32","14","32","19","0","0","0","0","0","0","0","19","0","19","0","14","2","-0.6","",""
"Bill Hall","26","us US","R","R","6' 0""","210","Dec 28, 1979","5","148","143","148","143","0","0","0","4","11","127","0","7","0","7","0","5","0","5.8","$418,000",""
"J.J. Hardy","23","us US","R","R","6' 1""","200","Aug 19, 1982","2","35","29","35","32","0","0","0","0","0","32","0","0","0","0","0","4","0","0.8","$355,000",""
"Corey Hart","24","us US","R","R","6' 6""","240","Mar 24, 1982","3","87","52","87","63","0","0","2","0","0","0","26","6","37","61","0","31","1","-0.4","$329,500",""
"Rick Helling","35","us US","R","R","6' 3""","215","Dec 15, 1970","12","20","2","18","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$850,000",""
"Ben Hendrickson","25","us US","R","R","6' 4""","190","Feb 4, 1981","2","4","3","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Zach Jackson","23","us US","L","L","6' 5""","220","May 13, 1983","1st","8","7","7","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Geoff Jenkins","31","us US","L","R","6' 1""","205","Jul 21, 1974","9","147","126","147","133","0","0","0","0","0","0","0","0","133","133","0","15","0","1.0","$7,833,333",""
"Danny Kolb","31","us US","R","R","6' 4""","185","Mar 29, 1975","8","53","0","52","53","53","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$2,000,000",""
"Corey Koskie","33","ca CA","L","R","6' 3""","215","Jun 28, 1973","9","76","69","76","70","0","0","0","0","70","0","0","0","0","0","0","6","0","1.1","$6,250,000",""
"Carlos Lee","30","pa PA","R","R","6' 2""","270","Jun 20, 1976","8","102","101","102","98","0","0","0","0","0","0","98","0","0","98","4","1","0","2.2","$8,500,000","All-Star"
"Justin Lehr","28","us US","R","R","6' 2""","205","Aug 3, 1977","3","16","0","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$337,000",""
"Chris Mabeus","27","us US","R","R","6' 3""","233","Feb 11, 1979","1st","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Kevin Mench","28","us US","R","R","6' 0""","215","Jan 7, 1978","5","40","31","40","38","0","0","0","0","0","0","38","0","0","38","0","5","1","-0.8","",""
"Damian Miller","36","us US","R","R","6' 3""","202","Oct 13, 1969","10","101","98","101","98","0","98","0","0","0","0","0","0","0","0","0","3","0","0.9","$3,250,000",""
"Chad Moeller","31","us US","R","R","6' 3""","207","Feb 18, 1975","7","29","25","29","29","0","29","0","0","0","0","0","0","0","0","0","0","0","-0.5","$700,000",""
"Laynce Nix","25","us US","L","L","6' 1""","220","Oct 30, 1980","4","10","9","10","9","0","0","0","0","0","0","0","9","0","9","0","1","0","-0.2","",""
"Tomo Ohka","30","jp JP","B","R","6' 1""","205","Mar 18, 1976","8","18","18","18","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$4,530,000",""
"Mike Rivera","29","pr PR","R","R","6' 1""","220","Sep 8, 1976","4","46","39","46","44","0","44","0","0","0","0","0","0","0","0","0","3","1","0.2","",""
"Vinny Rottino","26","us US","R","R","6' 1""","215","Apr 7, 1980","1st","9","3","9","5","0","1","0","0","3","0","2","0","0","2","0","4","0","-0.1","",""
"Dennis Sarfate","25","us US","R","R","6' 4""","225","Apr 9, 1981","1st","8","0","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ben Sheets","27","us US","R","R","6' 1""","195","Jul 18, 1978","6","17","17","17","17","17","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$9,625,000",""
"Brian Shouse","37","us US","L","L","5' 11""","180","Sep 26, 1968","7","59","0","55","59","59","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Allan Simpson","28","us US","R","R","6' 4""","180","Aug 26, 1977","3","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Chris Spurling","29","us US","R","R","6' 6""","240","Jun 28, 1977","3","7","0","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Derrick Turnbow","28","us US","R","R","6' 3""","195","Jan 25, 1978","5","64","0","63","64","64","0","0","0","0","0","0","0","0","0","0","0","0","-2.4","$1,000,000","All-Star"
"Carlos Villanueva","22","do DO","R","R","6' 2""","220","Nov 28, 1983","1st","10","6","8","10","10","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Rickie Weeks","23","us US","R","R","6' 0""","210","Sep 13, 1982","3","95","91","95","92","0","0","0","92","0","0","0","0","0","0","1","2","0","0.8","$1,220,000",""
"Joe Winkelsas","32","us US","R","R","6' 3""","188","Sep 14, 1973","2","7","0","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Matt Wise","30","us US","R","R","6' 4""","190","Nov 18, 1975","6","40","0","38","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$650,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
