"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jorge Alcalá","27","do DO","R","R","6' 3""","205","Jul 28, 1995","5","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$790,000",""
"Jordan Balazovic","24","ca CA","R","R","6' 5""","215","Sep 17, 1998","1st","18","0","0","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Byron Buxton","29","us US","R","R","6' 2""","190","Dec 18, 1993","9","85","80","85","0","0","0","0","0","0","0","0","0","0","0","80","5","0","0.8","$15,142,857",""
"Willi Castro","26","pr PR","B","R","6' 1""","206","Apr 24, 1997","5","124","92","124","113","3","0","0","10","41","8","54","45","4","83","3","12","9","2.6","$1,800,000",""
"Carlos Correa","28","pr PR","R","R","6' 4""","220","Sep 22, 1994","9","135","134","135","135","0","0","0","0","0","135","0","0","0","0","0","0","0","1.4","$33,333,333",""
"José De León","30","pr PR","R","R","6' 0""","220","Aug 7, 1992","6","13","1","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jhoan Durán","25","do DO","R","R","6' 5""","230","Jan 8, 1998","2","59","0","0","59","59","0","0","0","0","0","0","0","0","0","0","0","0","1.9","$720,000",""
"Kyle Farmer","32","us US","R","R","6' 0""","205","Aug 17, 1990","7","120","79","120","117","0","0","4","45","43","40","3","0","0","3","1","19","1","1.7","$5,585,000",""
"Dylan Floro","32","us US","L","R","6' 2""","212","Dec 27, 1990","8","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Kody Funderburk","26","us US","L","L","6' 4""","230","Nov 27, 1996","1st","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",""
"Joey Gallo","29","us US","L","R","6' 5""","249","Nov 19, 1993","9","111","83","111","108","0","0","51","0","0","0","51","11","10","64","1","13","6","0.5","$11,000,000",""
"Kyle Garlick","31","us US","R","R","6' 1""","210","Jan 26, 1992","5","14","8","14","12","0","0","0","0","0","0","4","0","8","12","2","6","0","-0.1","$750,000",""
"Nick Gordon","27","us US","L","R","6' 0""","160","Oct 24, 1995","3","34","23","34","34","0","0","0","11","0","2","12","20","0","26","0","10","0","-0.2","$735,400",""
"Sonny Gray","33","us US","R","R","5' 10""","190","Nov 7, 1989","11","32","32","0","32","32","0","0","0","0","0","0","0","0","0","0","0","0","5.4","","All-Star"
"Brent Headrick","25","us US","L","L","6' 6""","235","Dec 17, 1997","1st","14","0","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Griffin Jax","28","us US","R","R","6' 2""","195","Nov 22, 1994","3","71","0","0","71","71","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$733,150",""
"Ryan Jeffers","26","us US","R","R","6' 4""","235","Jun 3, 1997","4","96","77","96","82","0","82","0","0","0","0","0","0","0","0","9","8","2","3.3","$741,650",""
"Edouard Julien","24","ca CA","L","R","6' 0""","195","Apr 30, 1999","1st","109","93","109","78","0","0","4","75","0","0","0","0","0","0","27","15","0","2.6","",""
"Max Kepler","30","de DE","L","L","6' 4""","225","Feb 10, 1993","9","130","112","130","124","0","0","0","0","0","0","0","0","124","124","2","14","0","2.9","$8,500,000",""
"Dallas Keuchel","35","us US","L","L","6' 2""","205","Jan 1, 1988","12","10","6","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Alex Kirilloff","25","us US","L","L","6' 2""","195","Nov 9, 1997","4","88","73","88","85","0","0","75","0","0","0","10","0","11","21","3","12","0","0.4","",""
"Trevor Larnach","26","us US","L","R","6' 4""","223","Feb 26, 1997","3","58","47","58","56","0","0","0","0","0","0","44","0","20","56","3","8","0","0.1","$733,650",""
"Royce Lewis","24","us US","R","R","6' 2""","200","Jun 5, 1999","2","58","56","58","49","0","0","0","0","49","1","0","0","0","0","9","2","0","2.4","",""
