"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Marlon Anderson","31","us US","L","R","5' 10""","190","Jan 6, 1974","8","123","47","123","61","0","0","23","20","0","0","9","0","14","23","2","64","0","0.7","",""
"Manny Aybar","33","do DO","R","R","6' 1""","165","May 4, 1972","8","22","0","22","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$425,000",""
"Heath Bell","27","us US","R","R","6' 3""","235","Sep 29, 1977","2","42","0","39","42","42","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Carlos Beltrán","28","pr PR","B","R","6' 1""","215","Apr 24, 1977","8","151","149","151","150","0","0","0","0","0","0","0","150","0","150","0","2","0","2.9","$11,571,429","All-Star"
"Kris Benson","30","us US","R","R","6' 4""","190","Nov 7, 1974","6","28","28","26","28","28","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$5,333,333",""
"Miguel Cairo","31","ve VE","R","R","6' 1""","225","May 4, 1974","10","100","81","100","90","0","0","8","82","3","0","2","0","1","3","0","12","0","-0.5","$900,000",""
"Mike Cameron","32","us US","R","R","6' 2""","210","Jan 8, 1973","11","76","76","76","76","0","0","0","0","0","0","0","10","68","76","0","0","0","1.8","$7,333,333",""
"Ramón Castro","29","pr PR","R","R","6' 3""","240","Mar 1, 1976","7","99","57","99","99","0","99","0","0","0","0","0","0","0","0","0","1","1","0.7","$500,000",""
"Brian Daubach","33","us US","L","R","6' 1""","201","Feb 11, 1972","8","15","6","15","6","0","0","6","0","0","0","0","0","0","0","2","8","0","-0.1","",""
"Mike DeJean","34","us US","R","R","6' 2""","205","Sep 28, 1970","9","29","0","26","28","28","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$1,150,000",""
"Víctor Díaz","23","do DO","R","R","6' 0""","210","Dec 10, 1981","2","89","77","89","81","0","0","0","0","0","0","3","0","78","81","0","11","0","0.5","",""
"Mike Difelice","36","us US","R","R","6' 2""","205","May 28, 1969","10","11","5","11","11","0","11","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Cliff Floyd","32","us US","L","R","6' 5""","220","Dec 5, 1972","13","150","147","150","150","0","0","0","0","0","0","150","0","0","150","0","2","0","4.7","$6,616,856",""
"Tom Glavine HOF","39","us US","L","L","6' 0""","175","Mar 25, 1966","19","33","33","30","33","33","0","0","0","0","0","0","0","0","0","0","0","0","4.3","$10,765,608",""
"Danny Graves","31","vn VN","R","R","5' 11""","200","Aug 7, 1973","10","20","0","17","20","20","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Tim Hamulack","28","us US","R","L","6' 2""","215","Nov 14, 1976","1st","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Aaron Heilman","26","us US","R","R","6' 5""","230","Nov 12, 1978","3","53","7","49","53","53","0","0","0","0","0","0","0","0","0","0","0","0","2.0","",""
"Félix Heredia","30","do DO","L","L","6' 0""","180","Jun 18, 1975","10","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$1,800,000",""
"Anderson Hernández","22","do DO","B","R","5' 9""","190","Oct 30, 1982","1st","6","5","6","6","0","0","0","5","0","2","0","0","0","0","0","0","0","-0.4","",""
"Roberto Hernández","40","pr PR","R","R","6' 4""","220","Nov 11, 1964","15","67","0","64","67","67","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$650,000",""
"Kazuhisa Ishii","31","jp JP","L","L","6' 0""","215","Sep 9, 1973","4","19","16","18","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$3,575,000",""
"Mike Jacobs","24","us US","L","R","6' 3""","210","Oct 30, 1980","1st","30","28","30","28","0","0","28","0","0","0","0","0","0","0","0","2","0","1.0","",""
"Dae-Sung Koo","35","kr KR","L","L","6' 1""","185","Aug 2, 1969","1st","33","0","33","33","33","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$450,000",""
"Braden Looper","30","us US","R","R","6' 4""","210","Oct 28, 1974","8","60","0","57","60","60","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$800,000",""
"Pedro Martinez HOF","33","do DO","R","R","5' 11""","170","Oct 25, 1971","14","31","31","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","6.5","$10,875,000","All-Star"
"Kazuo Matsui","29","jp JP","B","R","5' 10""","187","Oct 23, 1975","2","87","64","87","71","0","0","0","71","0","0","0","0","0","0","0","19","0","-0.1","$7,033,333",""
"Mike Matthews","31","us US","L","L","6' 2""","175","Oct 24, 1973","6","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$500,000",""
"Doug Mientkiewicz","31","us US","L","R","6' 2""","195","Jun 19, 1974","8","87","79","87","83","0","0","83","0","0","0","0","0","0","0","0","7","0","1.1","$3,750,000",""
"José Offerman","36","do DO","B","R","6' 0""","150","Nov 8, 1968","15","53","8","53","12","0","0","11","1","0","0","0","0","0","0","0","43","0","-0.3","",""
"Juan Padilla","28","pr PR","R","R","6' 0""","210","Feb 17, 1977","2","24","0","24","24","24","0","0","0","0","0","0","0","0","0","0","0","0","1.4","",""
"Mike Piazza HOF","36","us US","R","R","6' 3""","200","Sep 4, 1968","14","113","105","113","101","0","101","0","0","0","0","0","0","0","0","5","7","0","0.1","$16,071,429","All-Star"
"José Reyes","22","do DO","B","R","6' 0""","195","Jun 11, 1983","3","161","159","161","161","0","0","0","0","0","161","0","0","0","0","0","1","0","1.6","$332,000",""
"Royce Ring","24","us US","L","L","6' 0""","220","Dec 21, 1980","1st","15","0","11","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"José Santiago","30","pr PR","R","R","6' 3""","200","Nov 5, 1974","8","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Jae Weong Seo","28","kr KR","R","R","6' 1""","215","May 24, 1977","4","14","14","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","3.0","",""
"Shingo Takatsu","36","jp JP","R","R","6' 0""","180","Nov 25, 1968","2","9","0","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Steve Trachsel","34","us US","R","R","6' 3""","185","Oct 31, 1970","13","6","6","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$6,782,500",""
"Eric Valent","28","us US","L","L","6' 0""","191","Apr 4, 1977","5","28","8","28","12","0","0","0","0","0","0","2","2","8","12","0","18","0","-0.5","$332,000",""
"Gerald Williams","38","us US","R","R","6' 2""","190","Aug 10, 1966","14","39","4","39","27","0","0","0","0","0","0","10","10","7","27","0","7","9","-0.3","",""
"Chris Woodward","29","us US","R","R","6' 0""","190","Jun 27, 1976","7","81","40","81","70","0","0","34","5","6","7","13","5","6","23","1","18","0","0.9","$700,000",""
"David Wright","22","us US","R","R","6' 0""","205","Dec 20, 1982","2","160","160","160","160","0","0","0","0","160","0","0","0","0","0","0","0","0","4.8","$322,500",""
"Víctor Zambrano","29","ve VE","B","R","6' 0""","190","Aug 6, 1975","5","31","27","30","31","31","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$2,100,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
