"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Brett Anderson","30","us US","L","L","6' 4""","230","Feb 1, 1988","10","17","17","2","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$100,000",""
"Franklin Barreto","22","ve VE","R","R","5' 8""","208","Feb 27, 1996","2","32","18","32","28","0","0","0","26","0","2","0","0","0","0","1","6","2","0.1","",""
"Chris Bassitt","29","us US","R","R","6' 5""","217","Feb 22, 1989","4","11","7","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Paul Blackburn","24","us US","R","R","6' 1""","196","Dec 4, 1993","2","6","6","1","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$547,500",""
"Jeremy Bleich","31","us US","L","L","6' 2""","215","Jun 18, 1987","1st","2","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Aaron Brooks","28","us US","R","R","6' 4""","230","Apr 27, 1990","3","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ryan Buchter","31","us US","L","L","6' 4""","230","Feb 13, 1987","4","54","0","2","54","54","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$555,000",""
"Trevor Cahill","30","us US","R","R","6' 4""","223","Mar 1, 1988","10","21","20","0","21","21","0","0","0","0","0","0","0","0","0","0","0","0","1.4","$1,500,000",""
"Mark Canha","29","us US","R","R","6' 2""","209","Feb 15, 1989","4","122","100","122","116","0","0","15","0","0","0","51","62","10","108","3","17","0","1.7","",""
"Santiago Casilla","37","do DO","R","R","6' 0""","210","Jul 25, 1980","15","26","0","2","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$6,000,000",""
"Matt Chapman","25","us US","R","R","6' 0""","215","Apr 28, 1993","2","145","144","145","145","0","0","0","0","145","0","0","0","0","0","0","0","0","7.6","$547,500",""
"Danny Coulombe","28","us US","L","L","5' 10""","190","Oct 26, 1989","5","27","0","1","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$550,000",""
"Khris Davis","30","us US","R","R","5' 11""","205","Dec 21, 1987","6","151","149","151","11","0","0","0","0","0","0","11","0","0","11","139","1","0","2.9","$10,500,000",""
"Ryan Dull","28","us US","R","R","5' 9""","185","Oct 2, 1989","4","28","0","1","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$555,000",""
"Jeurys Familia","28","do DO","R","R","6' 3""","240","Oct 10, 1989","7","30","0","0","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Mike Fiers","33","us US","R","R","6' 2""","211","Jun 15, 1985","8","10","9","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Wilmer Font","28","ve VE","R","R","6' 4""","255","May 24, 1990","4","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Dustin Fowler","23","us US","L","L","6' 0""","195","Dec 29, 1994","2","69","45","69","62","0","0","0","0","0","0","3","57","3","62","0","13","9","-1.0","$547,500",""
"Cory Gearrin","32","us US","R","R","6' 1""","205","Apr 14, 1986","7","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Daniel Gossett","25","us US","R","R","6' 0""","185","Nov 13, 1992","2","5","5","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$547,500",""
"Kendall Graveman","27","us US","R","R","6' 2""","200","Dec 21, 1990","5","7","7","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$2,360,000",""
"Chris Hatcher","33","us US","B","R","6' 1""","200","Jan 12, 1985","9","34","0","3","34","34","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$2,150,000",""
"Liam Hendriks","29","au AU","R","R","6' 0""","235","Feb 10, 1989","8","25","8","2","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$1,900,000",""
"Edwin Jackson","34","de DE","R","R","6' 2""","215","Sep 9, 1983","16","17","17","1","17","17","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$1,500,000",""
"Matt Joyce","33","us US","L","R","6' 2""","194","Aug 3, 1984","11","83","46","83","57","0","0","0","0","0","0","49","3","6","57","10","33","0","-0.2","$6,000,000",""
"Shawn Kelley","34","us US","R","R","6' 2""","237","Apr 26, 1984","10","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Dean Kiekhefer","29","us US","L","L","6' 0""","175","Jun 7, 1989","2","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Ramón Laureano","23","do DO","R","R","5' 11""","203","Jul 15, 1994","1st","48","42","48","47","0","0","0","0","0","0","0","47","0","47","0","1","2","2.2","",""
"Jed Lowrie","34","us US","B","R","6' 0""","180","Apr 17, 1984","11","157","151","157","150","0","0","0","136","14","0","0","0","0","0","4","6","0","4.0","$6,000,000","All-Star"
"Josh Lucas","27","us US","R","R","6' 6""","185","Nov 5, 1990","2","8","1","1","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Jonathan Lucroy","32","us US","R","R","6' 0""","200","Jun 13, 1986","9","126","119","126","125","0","125","0","0","0","0","0","0","0","0","1","3","0","-0.6","$6,500,000",""
"Sean Manaea","26","us US","R","L","6' 5""","245","Feb 1, 1992","3","27","27","3","27","27","0","0","0","0","0","0","0","0","0","0","0","0","3.0","$550,000",""
"Nick Martini","28","us US","L","L","5' 11""","205","Jun 27, 1990","1st","55","37","55","50","0","0","0","0","0","0","47","2","1","50","0","14","1","1.4","",""
"Bruce Maxwell","27","de DE","L","R","6' 1""","250","Dec 20, 1990","3","18","16","18","16","0","16","0","0","0","0","0","0","0","0","1","2","0","-0.1","$550,000",""
"Daniel Mengden","25","us US","R","R","6' 1""","215","Feb 19, 1993","3","22","17","1","22","22","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$547,500",""
"Frankie Montas","25","do DO","R","R","6' 2""","255","Mar 21, 1993","3","13","11","2","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Matt Olson","24","us US","L","R","6' 5""","225","Mar 29, 1994","3","162","152","162","162","0","0","162","0","0","0","0","0","0","0","0","5","0","3.7","$547,500",""
"Emilio Pagán","27","us US","L","R","6' 2""","208","May 7, 1991","2","55","0","4","55","55","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$547,500",""
"Yusmeiro Petit","33","ve VE","R","R","6' 1""","252","Nov 22, 1984","11","74","0","4","74","74","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$3,500,000",""
"Josh Phegley","30","us US","R","R","5' 10""","225","Feb 12, 1988","6","39","27","39","39","0","39","0","0","0","0","0","0","0","0","0","2","1","0.2","$905,000",""
"Chad Pinder","26","us US","R","R","6' 2""","210","Mar 29, 1992","3","110","77","110","102","0","0","1","21","16","3","64","4","9","73","1","22","1","2.1","$550,000",""
"Stephen Piscotty","27","us US","R","R","6' 4""","211","Jan 14, 1991","4","151","148","151","151","0","0","0","0","0","0","0","0","151","151","0","2","0","2.9","$1,333,333",""
"Boog Powell","25","us US","L","L","5' 10""","200","Jan 14, 1993","2","7","6","7","7","0","0","0","0","0","0","0","7","0","7","0","1","0","-0.5","$547,500",""
"Carlos Ramírez","27","do DO","R","R","6' 5""","205","Apr 24, 1991","2","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Fernando Rodney","41","do DO","R","R","5' 11""","240","Mar 18, 1977","16","22","0","0","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$4,250,000",""
"Marcus Semien","27","us US","R","R","6' 0""","195","Sep 17, 1990","6","159","158","159","159","0","0","0","0","0","159","0","0","0","0","0","0","0","4.4","$3,125,000",""
"Jake Smolinski","29","us US","R","R","5' 11""","210","Feb 9, 1989","5","20","11","19","17","1","0","0","0","0","0","1","15","0","16","0","5","0","-0.3","$775,000",""
"Beau Taylor","28","us US","L","R","5' 11""","205","Feb 13, 1990","1st","7","0","7","6","0","6","0","0","0","0","0","0","0","0","1","4","0","0.0","",""
"Trayce Thompson","27","us US","R","R","6' 3""","225","Mar 15, 1991","4","3","2","3","2","0","0","0","0","0","0","0","2","0","2","0","1","0","0.0","",""
"Blake Treinen","30","us US","R","R","6' 5""","225","Jun 30, 1988","5","68","0","3","68","68","0","0","0","0","0","0","0","0","0","0","0","0","4.4","$2,150,000","All-Star"
"Andrew Triggs","29","us US","R","R","6' 4""","233","Mar 16, 1989","3","9","9","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$550,000",""
"Lou Trivino","26","us US","R","R","6' 5""","235","Oct 1, 1991","1st","69","1","4","69","69","0","0","0","0","0","0","0","0","0","0","0","0","1.7","",""
"J.B. Wendelken","25","us US","R","R","6' 1""","242","Mar 24, 1993","2","13","0","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
