"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Bobby Abreu","29","ve VE","L","R","6' 0""","220","Mar 11, 1974","8","158","156","158","158","0","0","0","0","0","0","0","0","158","158","0","0","0","5.4","$9,100,000",""
"Terry Adams","30","us US","R","R","6' 3""","180","Mar 6, 1973","9","66","0","63","66","66","0","0","0","0","0","0","0","0","0","0","0","0","1.4","$2,900,000",""
"David Bell","30","us US","R","R","5' 10""","170","Sep 14, 1972","9","85","84","85","85","0","0","0","3","85","0","0","0","0","0","0","0","0","0.2","$3,200,000",""
"Pat Burrell","26","us US","R","R","6' 4""","235","Oct 10, 1976","4","146","140","146","140","0","0","0","0","0","0","140","0","0","140","2","6","0","0.7","$1,250,000",""
"Marlon Byrd","25","us US","R","R","6' 0""","245","Aug 30, 1977","2","135","124","135","131","0","0","0","0","0","0","0","131","0","131","0","7","1","3.4","$300,000",""
"Travis Chapman","25","us US","R","R","6' 2""","180","Jun 5, 1978","1st","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","-0.1","",""
"Rheal Cormier","36","ca CA","L","L","5' 10""","185","Apr 23, 1967","12","65","0","61","65","65","0","0","0","0","0","0","0","0","0","0","0","0","2.7","$2,983,333",""
"Valerio De Los Santos","30","do DO","L","L","6' 2""","225","Oct 6, 1972","6","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Brandon Duckworth","27","us US","R","R","6' 2""","215","Jan 23, 1976","3","24","18","22","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$325,000",""
"Geoff Geary","26","us US","R","R","6' 0""","180","Aug 26, 1976","1st","5","0","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Josh Hancock","25","us US","R","R","6' 3""","217","Apr 11, 1978","2","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Tyler Houston","32","us US","L","R","6' 2""","210","Jan 17, 1971","8","54","21","54","22","0","0","1","0","21","0","0","0","0","0","0","32","0","0.3","$1,000,000",""
"Eric Junge","26","us US","R","R","6' 5""","220","Jan 5, 1977","2","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ricky Ledée","29","pr PR","L","L","6' 2""","190","Nov 22, 1973","6","121","56","121","71","0","0","0","0","0","0","29","42","1","71","2","58","0","0.3","$850,000",""
"Mike Lieberthal","31","us US","R","R","6' 0""","170","Jan 18, 1972","10","131","129","131","131","0","131","0","0","0","0","0","0","0","0","0","2","0","2.8","$7,250,000",""
"Anderson Machado","22","ve VE","B","R","6' 0""","189","Jan 25, 1981","1st","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","",""
