"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Tony Armas","29","ve VE","R","R","6' 4""","205","Apr 29, 1978","9","31","15","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$3,000,000",""
"José Bautista","26","do DO","R","R","6' 0""","205","Oct 19, 1980","4","142","140","142","141","0","0","0","0","126","0","2","5","16","21","0","1","0","-0.6","$397,500",""
"Jason Bay","28","ca CA","R","R","6' 2""","210","Sep 20, 1978","5","145","143","145","142","0","0","0","0","0","0","142","0","0","142","1","2","0","-0.3","$3,500,000",""
"Jonah Bayliss","26","us US","R","R","6' 1""","200","Aug 13, 1980","3","39","0","34","39","39","0","0","0","0","0","0","0","0","0","0","0","0","-1.4","$384,000",""
"Bryan Bullington","26","us US","R","R","6' 4""","210","Sep 30, 1980","2","5","3","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Matt Capps","23","us US","R","R","6' 2""","250","Sep 3, 1983","3","76","0","72","76","76","0","0","0","0","0","0","0","0","0","0","0","0","2.7","$401,000",""
"José Castillo","26","ve VE","R","R","6' 1""","210","Mar 19, 1981","4","87","47","87","61","0","0","0","20","34","8","0","0","1","1","0","32","1","-1.2","$1,900,000",""
"Shawn Chacón","29","us US","R","R","6' 3""","212","Dec 23, 1977","7","64","4","61","64","64","0","0","0","0","0","0","0","0","0","0","0","0","1.6","$3,825,000",""
"Humberto Cota","28","mx MX","R","R","5' 11""","225","Feb 7, 1979","7","5","5","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0.0","$537,500",""
"Dave Davidson","23","ca CA","L","L","6' 1""","200","Apr 23, 1984","1st","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Rajai Davis","26","us US","R","R","5' 10""","195","Oct 19, 1980","2","24","12","24","12","0","0","0","0","0","0","0","12","0","12","0","9","3","-0.1","",""
"Ryan Doumit","26","us US","B","R","6' 1""","220","Apr 3, 1981","3","83","64","83","67","0","28","3","0","0","0","0","0","38","38","1","18","0","1.9","$390,000",""
"Chris Duffy","27","us US","L","L","5' 10""","185","Apr 20, 1980","3","70","58","70","68","0","0","0","0","0","0","0","68","0","68","0","4","1","0.4","$395,000",""
"Zach Duke","24","us US","L","L","6' 2""","210","Apr 19, 1983","3","21","19","20","20","20","0","0","0","0","0","0","0","0","0","0","1","0","-0.4","$410,000",""
"Brad Eldred","26","us US","R","R","6' 6""","270","Jul 12, 1980","2","19","10","19","11","0","0","4","0","0","0","0","0","8","8","1","7","0","-0.7","$382,000",""
"Tom Gorzelanny","24","us US","L","L","6' 3""","218","Jul 12, 1982","3","32","32","29","32","32","0","0","0","0","0","0","0","0","0","0","0","0","3.4","$386,000",""
"John Grabow","28","us US","L","L","6' 1""","205","Nov 4, 1978","5","63","0","59","63","63","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$832,500",""
"César Izturis","27","ve VE","B","R","5' 9""","180","Feb 10, 1980","7","45","26","45","39","0","0","0","0","11","30","0","0","0","0","0","9","1","-0.2","",""
"Matt Kata","29","us US","B","R","6' 1""","185","Mar 14, 1978","4","47","12","47","26","0","0","0","10","10","3","2","0","1","3","0","25","0","-0.8","",""
"Don Kelly","27","us US","L","R","6' 4""","215","Feb 15, 1980","1st","25","3","25","10","0","0","0","3","0","5","1","0","1","2","0","19","0","-0.5","$380,000",""
"Danny Kolb","32","us US","R","R","6' 4""","185","Mar 29, 1975","9","3","0","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Masumi Kuwata","39","jp JP","R","R","5' 10""","185","Apr 1, 1968","1st","19","0","14","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","",""
"Adam LaRoche","27","us US","L","L","6' 2""","205","Nov 6, 1979","4","152","148","152","151","0","0","151","0","0","0","0","0","0","0","0","1","0","1.5","$3,200,000",""
"Paul Maholm","25","us US","L","L","6' 2""","245","Jun 25, 1982","3","29","29","27","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$403,000",""
"Carlos Maldonado","28","ve VE","R","R","6' 2""","260","Jan 3, 1979","2","13","8","13","13","0","13","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Dámaso Marte","32","do DO","L","L","6' 2""","215","Feb 14, 1975","8","65","0","62","65","65","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$2,600,000",""
"Marty McLeary","32","us US","R","R","6' 5""","220","Oct 26, 1974","3","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Nate McLouth","25","us US","L","R","5' 10""","190","Oct 28, 1981","3","137","66","137","101","0","0","0","0","0","0","24","66","18","101","0","50","3","1.2","$392,000",""
"Nyjer Morgan","26","us US","L","L","5' 10""","180","Jul 2, 1980","1st","28","25","28","28","0","0","0","0","0","0","0","28","0","28","0","1","0","0.8","",""
"Matt Morris","32","us US","R","R","6' 5""","210","Aug 9, 1974","10","11","11","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
