"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Yonder Alonso","26","cu CU","L","R","6' 1""","230","Apr 8, 1987","4","97","86","97","92","0","0","92","1","1","0","1","0","0","1","0","6","2","0.8","$1,120,000",""
"Alexi Amarista","24","ve VE","L","R","5' 6""","160","Apr 6, 1989","3","146","84","146","131","0","0","0","23","9","13","11","87","0","95","0","30","4","-0.2","$497,400",""
"John Baker","32","us US","L","R","6' 1""","215","Jan 20, 1981","6","16","12","16","14","0","14","0","0","0","0","0","0","0","0","0","3","0","-0.1","$930,000",""
"Anthony Bass","25","us US","R","R","6' 2""","205","Nov 1, 1987","3","24","0","21","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$503,600",""
"Kyle Blanks","26","us US","R","R","6' 6""","265","Sep 11, 1986","5","88","71","88","81","0","0","34","0","0","0","35","0","37","61","2","8","2","0.7","$605,000",""
"Brad Boxberger","25","us US","R","R","5' 10""","211","May 27, 1988","2","18","0","17","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Brad Brach","27","us US","R","R","6' 6""","215","Apr 12, 1986","3","33","0","31","33","33","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$498,200",""
"Everth Cabrera","26","ni NI","B","R","5' 10""","190","Nov 17, 1986","5","95","95","95","95","0","0","0","0","0","95","0","0","0","0","0","0","0","2.9","$1,275,000","All-Star"
"Andrew Cashner","26","us US","R","R","6' 6""","235","Sep 11, 1986","4","34","26","33","31","31","0","0","0","0","0","0","0","0","0","0","1","2","3.1","$500,800",""
"Ronny Cedeño","30","ve VE","R","R","6' 0""","195","Feb 2, 1983","9","38","34","38","36","0","0","0","0","1","35","0","0","0","0","0","2","0","-0.1","",""
"Pedro Ciriaco","27","do DO","R","R","6' 0""","180","Sep 27, 1985","4","23","17","23","20","0","0","0","2","0","18","0","0","0","0","0","3","0","-0.4","",""
"Jaff Decker","23","us US","L","L","5' 9""","190","Feb 23, 1990","1st","13","7","13","8","0","0","0","0","0","0","8","0","0","8","0","4","1","-0.2","",""
"Chris Denorfia","32","us US","R","R","6' 0""","195","Jul 15, 1980","8","144","105","144","139","0","0","0","0","0","0","58","41","97","139","1","24","0","4.2","$2,000,000",""
"Robbie Erlin","22","us US","R","L","5' 11""","200","Oct 8, 1990","1st","11","9","10","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Logan Forsythe","26","us US","R","R","6' 1""","195","Jan 14, 1987","3","75","57","75","66","0","0","0","34","11","11","11","0","3","13","0","12","0","0.0","$499,000",""
"Rey Fuentes","22","us US","L","L","6' 0""","160","Feb 12, 1991","1st","23","7","23","17","0","0","0","0","0","0","2","15","0","17","0","6","4","-0.3","",""
"Yasmani Grandal","24","cu CU","B","R","6' 2""","225","Nov 8, 1988","2","28","26","28","26","0","26","1","0","0","0","0","0","0","0","0","2","0","0.8","$750,000",""
"Luke Gregerson","29","us US","L","R","6' 3""","205","May 14, 1984","5","73","0","69","73","73","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$3,200,000",""
"Jesús Guzmán","29","ve VE","R","R","6' 1""","200","Jun 14, 1984","4","126","63","126","78","0","0","38","1","3","0","35","0","5","40","0","53","0","-0.1","$503,200",""
"Jedd Gyorko","24","us US","R","R","5' 10""","205","Sep 23, 1988","1st","125","123","125","124","0","0","0","117","13","0","0","0","0","0","0","2","0","2.5","$490,000",""
"Chase Headley","29","us US","B","R","6' 2""","215","May 9, 1984","7","141","138","141","140","0","0","0","0","140","0","0","0","0","0","0","1","0","3.4","$8,575,000",""
"Nick Hundley","29","us US","R","R","6' 0""","203","Sep 8, 1983","6","114","102","114","112","0","112","0","0","0","0","0","0","0","0","0","6","0","1.1","$3,000,000",""
"Colt Hynes","28","us US","L","L","5' 11""","200","Jun 28, 1985","1st","22","0","22","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Ian Kennedy","28","us US","R","R","6' 0""","210","Dec 19, 1984","7","10","10","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$4,265,000",""
"Mark Kotsay","37","us US","L","L","6' 0""","220","Dec 2, 1975","17","104","26","104","28","0","0","5","0","0","0","19","0","6","25","3","75","0","-1.7","$1,300,000",""
"Tommy Layne","28","us US","L","L","6' 2""","195","Nov 2, 1984","2","14","0","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Jason Marquis","34","us US","L","R","6' 1""","220","Aug 21, 1978","14","21","20","20","20","20","0","0","0","0","0","0","0","0","0","0","1","0","-0.3","$3,000,000",""
"Cameron Maybin","26","us US","R","R","6' 3""","215","Apr 4, 1987","7","14","14","14","14","0","0","0","0","0","0","0","14","0","14","0","0","0","-0.8","$3,000,000",""
"Tommy Medica","25","us US","R","R","6' 2""","205","Apr 9, 1988","1st","19","19","19","19","0","0","19","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Miles Mikolas","24","us US","R","R","6' 4""","230","Aug 23, 1988","2","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Sean O'Sullivan","25","us US","R","R","6' 1""","245","Sep 1, 1987","4","7","3","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Carlos Quentin","30","us US","R","R","6' 1""","235","Aug 28, 1982","8","82","75","82","69","0","0","0","0","0","0","69","0","0","69","6","7","0","2.1","$9,500,000",""
"Cody Ransom","37","us US","R","R","6' 2""","200","Feb 17, 1976","11","5","3","5","4","0","0","0","0","4","0","0","0","0","0","0","2","0","-0.3","$550,000",""
"Clayton Richard","29","us US","L","L","6' 5""","240","Sep 12, 1983","6","14","11","13","11","12","0","0","0","0","0","0","0","0","0","0","0","2","-1.6","$5,240,000",""
"René Rivera","29","pr PR","R","R","5' 10""","215","Jul 31, 1983","5","23","21","23","21","0","21","0","0","0","0","0","0","0","0","0","2","0","0.4","",""
"Chris Robinson","29","ca CA","R","R","6' 0""","220","May 12, 1984","1st","8","1","8","2","0","2","0","0","0","0","0","0","0","0","0","7","0","0.0","",""
"Tyson Ross","26","us US","R","R","6' 5""","254","Apr 22, 1987","4","36","16","33","35","35","0","0","0","0","0","0","0","0","0","0","0","1","1.4","$500,500",""
"Burch Smith","23","us US","R","R","6' 4""","225","Apr 12, 1990","1st","10","7","8","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Tim Stauffer","31","us US","R","R","6' 1""","215","Jun 2, 1982","8","43","0","42","43","43","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$525,000",""
"Huston Street","29","us US","R","R","6' 0""","205","Aug 2, 1983","9","58","0","55","58","58","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$7,000,000",""
"Eric Stults","33","us US","L","L","6' 2""","220","Dec 9, 1979","7","37","33","35","33","33","0","0","0","0","0","0","0","0","0","0","4","0","0.9","$507,600",""
"Joe Thatcher","31","us US","L","L","6' 2""","230","Oct 4, 1981","7","50","0","45","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Dale Thayer","32","us US","R","R","6' 0""","210","Dec 17, 1980","5","69","0","64","69","69","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$498,900",""
"Will Venable","30","us US","L","L","6' 3""","205","Oct 29, 1982","6","151","120","151","143","0","0","0","0","0","0","0","80","97","143","0","10","6","3.5","$2,675,000",""
"Nick Vincent","26","us US","R","R","5' 10""","185","Jul 12, 1986","2","45","0","44","45","45","0","0","0","0","0","0","0","0","0","0","0","0","1.2","",""
"Edinson Vólquez","29","do DO","R","R","6' 0""","220","Jul 3, 1983","9","27","27","24","27","27","0","0","0","0","0","0","0","0","0","0","0","0","-2.3","",""
"Thad Weber","28","us US","R","R","6' 2""","205","Sep 28, 1984","2","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
