"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Cha-Seung Baek","26","kr KR","R","R","6' 4""","190","May 29, 1980","2","6","6","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Adrián Beltré HOF","27","do DO","R","R","5' 11""","220","Apr 7, 1979","9","156","156","156","155","0","0","0","1","155","0","0","0","0","0","1","0","0","5.4","$12,900,000",""
"Yuniesky Betancourt","24","cu CU","R","R","5' 10""","205","Jan 31, 1982","2","157","156","157","157","0","0","0","0","0","157","0","0","0","0","0","0","0","1.8","$677,500",""
"Willie Bloomquist","28","us US","R","R","5' 11""","200","Nov 27, 1977","5","102","66","102","97","0","0","4","15","12","17","3","48","12","59","2","5","10","0.9","$650,000",""
"T.J. Bohn","26","us US","R","R","6' 5""","200","Jan 17, 1980","1st","18","2","18","18","0","0","0","0","0","0","1","0","17","18","0","2","1","-0.1","",""
"Joe Borchard","27","us US","B","R","6' 4""","230","Nov 25, 1978","5","6","2","6","3","0","0","0","0","0","0","0","3","0","3","1","2","2","-0.1","$331,000",""
"Ben Broussard","29","us US","L","L","6' 2""","220","Sep 24, 1976","5","56","46","56","10","0","0","10","0","0","0","0","0","0","0","45","9","0","-0.2","",""
"Jorge Campillo","27","mx MX","R","R","6' 0""","230","Aug 10, 1978","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Travis Chick","22","us US","R","R","6' 3""","215","Jun 10, 1984","1st","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Shin-Soo Choo","23","kr KR","L","L","5' 11""","205","Jul 13, 1982","2","4","4","4","4","0","0","0","0","0","0","0","4","0","4","0","0","0","-0.2","",""
"Francisco Cruceta","24","do DO","R","R","6' 2""","215","Jul 4, 1981","2","4","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Greg Dobbs","27","us US","L","R","6' 1""","205","Jul 2, 1978","3","23","2","23","8","0","0","3","0","2","0","0","0","3","3","5","18","0","0.3","",""
"Carl Everett","35","us US","B","R","6' 0""","181","Jun 3, 1971","14","92","81","92","2","0","0","0","0","0","0","1","0","1","2","80","11","0","-0.6","$3,400,000",""
