"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Ehire Adrianza","26","ve VE","B","R","6' 1""","198","Aug 21, 1989","4","40","10","40","25","0","0","0","7","7","13","0","0","0","0","0","21","0","-0.1","$512,500",""
"Gordon Beckham","29","us US","R","R","6' 0""","188","Sep 16, 1986","8","3","2","3","3","0","0","0","0","3","0","0","0","0","0","0","0","0","-0.2","",""
"Brandon Belt","28","us US","L","L","6' 3""","230","Apr 20, 1988","6","156","149","156","152","0","0","151","0","0","0","3","0","0","3","0","5","0","4.1","$6,200,000","All-Star"
"Ty Blach","25","us US","R","L","6' 1""","215","Oct 20, 1990","1st","4","2","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Grégor Blanco","32","ve VE","L","L","5' 10""","187","Dec 24, 1983","8","106","56","106","75","0","0","0","0","0","0","29","18","34","75","0","38","3","-1.0","$3,900,000",""
"Mike Broadway","29","us US","R","R","6' 5""","215","Mar 30, 1987","2","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Trevor Brown","24","us US","R","R","6' 2""","193","Nov 15, 1991","2","75","40","75","61","0","60","0","0","1","0","0","0","0","0","2","19","0","0.0","$508,000",""
"Madison Bumgarner","26","us US","R","L","6' 4""","240","Aug 1, 1989","8","36","34","35","34","34","0","0","0","0","0","0","0","0","0","0","2","0","5.7","$9,750,000","All-Star"
"Matt Cain","31","us US","R","R","6' 3""","230","Oct 1, 1984","12","21","17","20","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$21,000,000",""
"Santiago Casilla","35","do DO","R","R","6' 0""","210","Jul 25, 1980","13","62","0","61","62","62","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$6,500,000",""
"Brandon Crawford","29","us US","L","R","6' 1""","223","Jan 21, 1987","6","155","148","155","155","0","0","0","0","0","155","0","0","0","0","0","1","0","5.5","$6,000,000",""
"Johnny Cueto","30","do DO","R","R","5' 11""","229","Feb 15, 1986","9","32","32","31","32","32","0","0","0","0","0","0","0","0","0","0","0","0","5.3","$15,833,333","All-Star"
"Matt Duffy","25","us US","R","R","6' 2""","190","Jan 15, 1991","3","70","66","70","69","0","0","0","0","69","0","0","0","0","0","0","2","0","1.2","",""
"Cory Gearrin","30","us US","R","R","6' 1""","205","Apr 14, 1986","5","56","0","54","56","56","0","0","0","0","0","1","0","0","1","0","0","0","0.0","$550,000",""
"Conor Gillaspie","28","us US","L","R","6' 1""","195","Jul 18, 1987","7","101","37","101","52","0","0","7","0","45","0","0","0","0","0","0","57","1","1.1","",""
"Grant Green","28","us US","R","R","6' 3""","180","Sep 27, 1987","4","18","11","18","15","0","0","0","15","0","0","0","0","0","0","0","7","0","-0.2","",""
"Gorkys Hernández","28","ve VE","R","R","6' 1""","196","Sep 7, 1987","3","26","13","26","22","0","0","0","0","0","0","2","14","6","22","0","6","0","0.5","",""
"Chris Heston","28","us US","R","R","6' 3""","195","Apr 10, 1988","3","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$530,000",""
"George Kontos","31","us US","R","R","6' 3""","225","Jun 12, 1985","6","57","0","53","57","57","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$1,150,000",""
"Derek Law","25","us US","R","R","6' 3""","225","Sep 14, 1990","1st","61","0","57","61","61","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Javier López","38","pr PR","L","L","6' 4""","220","Jul 11, 1977","14","68","0","65","68","68","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$5,000,000",""
"Vin Mazzaro","29","us US","R","R","6' 2""","220","Sep 27, 1986","8","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
