"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Matt Adams","29","us US","L","R","6' 3""","263","Aug 31, 1988","7","27","12","27","15","0","0","15","0","0","0","0","0","0","0","0","12","0","-0.4","",""
"Harrison Bader","24","us US","R","R","6' 0""","210","Jun 3, 1994","2","138","96","138","113","0","0","0","0","0","0","6","74","38","113","0","23","7","3.4","",""
"Steven Baron","27","us US","R","R","6' 0""","205","Dec 7, 1990","2","2","1","2","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0.0","",""
"Matt Bowman","27","us US","R","R","6' 0""","185","May 31, 1991","3","22","0","21","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$565,900",""
"John Brebbia","28","us US","L","R","6' 1""","205","May 30, 1990","2","45","0","43","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Matt Carpenter","32","us US","L","R","6' 4""","224","Nov 26, 1985","8","156","149","156","150","0","0","95","11","76","0","0","0","0","0","2","5","0","4.4","$13,750,000",""
"Brett Cecil","31","us US","R","L","6' 2""","200","Jul 2, 1986","10","40","0","36","40","40","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$7,750,000",""
"Paul DeJong","24","us US","R","R","6' 0""","205","Aug 2, 1993","2","115","111","115","114","0","0","0","0","0","114","0","0","0","0","0","2","0","2.9","$1,166,667",""
"Jack Flaherty","22","us US","R","R","6' 4""","225","Oct 15, 1995","2","31","28","28","28","28","0","0","0","0","0","0","0","0","0","0","0","3","3.2","$545,000",""
"Dexter Fowler","32","us US","B","R","6' 5""","205","Mar 22, 1986","11","90","74","90","75","0","0","0","0","0","0","0","0","75","75","0","15","0","-1.4","$16,500,000",""
"Giovanny Gallegos","26","mx MX","R","R","6' 2""","205","Aug 14, 1991","2","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"John Gant","25","us US","R","R","6' 4""","200","Aug 6, 1992","3","28","19","27","26","26","0","0","0","0","0","0","0","0","0","0","0","2","1.1","",""
"Adolis García","25","cu CU","R","R","6' 1""","205","Mar 2, 1993","1st","21","2","21","11","0","0","0","0","0","0","4","1","7","11","0","7","6","-0.3","",""
"Greg Garcia","28","us US","L","R","6' 0""","200","Aug 8, 1989","5","114","34","114","59","1","0","0","31","15","17","0","0","0","0","0","64","2","0.0","$569,600",""
"Austin Gomber","24","us US","L","L","6' 5""","220","Nov 23, 1993","1st","29","11","27","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Luke Gregerson","34","us US","L","R","6' 3""","205","May 14, 1984","10","17","0","16","17","17","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$5,000,000",""
"Preston Guilmet","30","us US","R","R","6' 2""","200","Jul 27, 1987","4","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Jedd Gyorko","29","us US","R","R","5' 10""","205","Sep 23, 1988","6","125","89","125","109","1","0","5","17","96","5","0","0","0","0","0","20","0","0.8","$9,000,000",""
"Jordan Hicks","21","us US","R","R","6' 2""","220","Sep 6, 1996","1st","73","0","67","73","73","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$545,000",""
"Greg Holland","32","us US","R","R","5' 10""","210","Nov 20, 1985","8","32","0","30","32","32","0","0","0","0","0","0","0","0","0","0","0","0","-1.4","$14,000,000",""
"Dakota Hudson","23","us US","R","R","6' 5""","215","Sep 15, 1994","1st","26","0","24","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Carson Kelly","23","us US","R","R","6' 2""","212","Jul 14, 1994","3","19","11","19","16","0","16","0","0","0","0","0","0","0","0","0","3","0","-0.4","",""
"Dominic Leone","26","us US","R","R","5' 10""","215","Oct 26, 1991","5","30","0","29","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Tyler Lyons","30","us US","B","L","6' 2""","210","Feb 21, 1988","6","27","0","27","27","27","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$1,200,000",""
"Carlos Martínez","26","do DO","R","R","6' 0""","200","Sep 21, 1991","6","34","18","33","33","33","0","0","0","0","0","0","0","0","0","0","1","0","2.3","$11,700,000",""
"José Martínez","29","ve VE","R","R","6' 6""","215","Jul 25, 1988","3","152","134","152","127","0","0","84","0","0","0","0","0","46","46","8","17","0","1.8","$560,400",""
"Mike Mayers","26","us US","R","R","6' 2""","220","Dec 6, 1991","3","50","0","48","50","50","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$545,000",""
"Miles Mikolas","29","us US","R","R","6' 4""","230","Aug 23, 1988","4","34","32","32","32","32","0","0","0","0","0","0","0","0","0","0","2","0","5.3","$7,500,000","All-Star"
"Yadier Molina","35","pr PR","R","R","5' 11""","225","Jul 13, 1982","15","123","120","123","121","0","121","5","0","0","0","0","0","0","0","0","3","0","1.5","$20,000,000","All-Star"
"Yairo Muñoz","23","do DO","R","R","5' 11""","200","Jan 23, 1995","1st","108","72","108","97","0","0","0","26","24","40","4","3","17","22","0","16","3","0.3","$545,000",""
"Bud Norris","33","us US","R","R","6' 0""","215","Mar 2, 1985","10","64","0","61","64","64","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$3,000,000",""
"Tyler O'Neill","23","ca CA","R","R","5' 11""","200","Jun 22, 1995","1st","61","27","61","42","0","0","0","0","0","0","16","3","24","42","0","22","3","1.2","",""
"Marcell Ozuna","27","do DO","R","R","6' 1""","225","Nov 12, 1990","6","148","146","148","147","0","0","0","0","0","0","147","0","0","147","0","1","0","2.4","$9,000,000",""
"Francisco Peña","28","do DO","R","R","6' 2""","230","Oct 12, 1989","5","58","30","58","56","0","56","2","0","0","0","0","0","0","0","0","4","0","-1.1","$650,000",""
"Tommy Pham","30","us US","R","R","6' 1""","223","Mar 8, 1988","5","98","90","98","91","0","0","0","0","0","0","0","91","0","91","0","6","1","0.8","$570,100",""
