"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Antonio Alfonseca","34","do DO","R","R","6' 5""","250","Apr 16, 1972","10","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$2,750,000",""
"Joaquín Arias","21","do DO","R","R","6' 1""","185","Sep 21, 1984","1st","6","3","6","6","0","0","0","0","1","5","0","0","0","0","0","2","1","0.4","",""
"Rod Barajas","30","us US","R","R","6' 2""","250","Sep 5, 1975","8","97","95","97","97","0","94","5","0","0","0","0","0","0","0","0","0","0","1.1","$3,200,000",""
"Rick Bauer","29","us US","R","R","6' 6""","215","Jan 10, 1977","6","58","1","4","58","58","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"Joaquín Benoit","28","do DO","R","R","6' 4""","250","Jul 26, 1977","6","56","0","3","56","56","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$775,000",""
"Hank Blalock","25","us US","L","R","6' 1""","192","Nov 21, 1980","5","152","149","152","122","0","0","0","0","122","0","0","0","0","0","29","2","0","0.3","$3,050,000",""
"Jason Botts","25","us US","B","R","6' 5""","250","Jul 26, 1980","2","20","13","20","1","0","0","0","0","0","0","1","0","0","1","13","6","0","0.0","",""
"Adrian Brown","32","us US","B","R","6' 0""","175","Feb 7, 1974","9","25","8","25","24","0","0","0","0","0","0","3","10","11","24","0","0","6","0.1","$425,000",""
"Fabio Castro","21","do DO","L","L","5' 7""","185","Jan 20, 1985","1st","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$327,000",""
"Francisco Cordero","31","do DO","R","R","6' 3""","245","May 11, 1975","8","49","0","4","49","49","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$4,125,000",""
"Bryan Corey","32","us US","R","R","5' 10""","170","Oct 21, 1973","3","16","0","3","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
