"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Riley Adams","25","us US","R","R","6' 4""","263","Jun 26, 1996","1st","12","7","12","11","0","11","0","0","0","0","0","0","0","0","0","4","0","-0.4","",""
"Nick Allgeyer","25","us US","L","L","6' 3""","225","Feb 3, 1996","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Bryan Baker","26","us US","R","R","6' 6""","235","Dec 2, 1994","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jacob Barnes","31","us US","R","R","6' 2""","231","Apr 14, 1990","6","10","0","1","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jeremy Beasley","25","us US","R","R","6' 2""","235","Nov 20, 1995","2","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Travis Bergen","27","us US","L","L","6' 1""","223","Oct 8, 1993","3","10","1","1","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"José Berríos","27","pr PR","R","R","6' 0""","205","May 27, 1994","6","12","12","1","12","12","0","0","0","0","0","0","0","0","0","0","0","0","1.4","",""
"Bo Bichette","23","us US","R","R","6' 0""","190","Mar 5, 1998","3","159","159","159","148","0","0","0","0","0","148","0","0","0","0","11","0","0","5.8","","All-Star"
"Cavan Biggio","26","us US","L","R","6' 2""","200","Apr 11, 1995","3","79","71","79","75","0","0","7","7","52","0","1","0","15","16","2","2","4","0.3","",""
"Ryan Borucki","27","us US","L","L","6' 4""","210","Mar 31, 1994","4","24","0","2","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Anthony Castro","26","ve VE","R","R","6' 2""","191","Apr 13, 1995","2","25","0","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Tyler Chatwood","31","us US","R","R","5' 11""","200","Dec 16, 1989","10","30","0","4","30","30","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$3,000,000",""
"Adam Cimber","30","us US","R","R","6' 3""","195","Aug 15, 1990","4","39","0","3","39","39","0","0","0","0","0","0","0","0","0","0","0","0","1.2","",""
"A.J. Cole","29","us US","R","R","6' 5""","240","Jan 5, 1992","7","6","0","1","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$1,000,000",""
"Jonathan Davis","29","us US","R","R","5' 8""","190","May 12, 1992","4","52","20","52","47","0","0","0","0","0","0","1","46","0","47","1","2","7","-0.2","",""
"Corey Dickerson","32","us US","L","R","6' 1""","212","May 22, 1989","9","46","36","46","39","0","0","0","0","0","0","25","10","5","39","6","7","0","0.4","",""
"Rafael Dolis","33","do DO","R","R","6' 4""","235","Jan 10, 1988","5","39","0","3","39","39","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$1,500,000",""
"Jarrod Dyson","36","us US","L","R","5' 9""","165","Aug 15, 1984","12","25","3","25","21","0","0","0","0","0","0","2","19","0","21","2","0","9","0.0","",""
"Carl Edwards Jr.","29","us US","R","R","6' 3""","165","Sep 3, 1991","7","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Santiago Espinal","26","do DO","R","R","5' 10""","185","Nov 13, 1994","2","92","62","92","81","0","0","0","0","81","0","0","0","0","0","6","12","7","2.4","",""
"Randal Grichuk","29","us US","R","R","6' 2""","216","Aug 13, 1991","8","149","133","149","134","0","0","0","0","0","0","0","96","70","134","12","8","0","0.7","$10,333,333",""
"Vladimir Guerrero Jr.","22","ca CA","R","R","6' 2""","245","Mar 16, 1999","3","161","161","161","133","0","0","133","0","1","0","0","0","0","0","28","0","0","6.7","","All-Star"
"Lourdes Gurriel Jr.","27","cu CU","R","R","6' 4""","215","Oct 10, 1993","4","141","136","141","125","0","0","11","0","0","0","119","0","0","119","14","4","0","2.6","$3,928,571",""
"Brad Hand","31","us US","L","L","6' 3""","224","Mar 20, 1990","11","11","0","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Thomas Hatch","26","us US","R","R","6' 1""","195","Sep 29, 1994","2","3","2","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Teoscar Hernández","28","do DO","R","R","6' 2""","215","Oct 15, 1992","6","143","141","143","132","0","0","0","0","0","0","58","2","110","132","11","1","0","3.8","$4,320,000","All-Star"
"Jared Hoying","32","us US","L","R","6' 3""","205","May 18, 1989","3","2","1","2","1","0","0","0","0","0","0","1","0","0","1","0","1","0","-0.1","",""
"Danny Jansen","26","us US","R","R","6' 2""","215","Apr 15, 1995","4","70","54","70","69","0","69","0","0","0","0","0","0","0","0","0","4","3","1.3","",""
"Anthony Kay","26","us US","L","L","6' 0""","225","Mar 21, 1995","3","11","5","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Alejandro Kirk","22","mx MX","R","R","5' 8""","245","Nov 6, 1998","2","60","48","60","44","0","44","0","0","0","0","0","0","0","0","9","9","0","0.9","",""
"Jake Lamb","30","us US","L","R","6' 3""","215","Oct 9, 1990","8","12","9","12","10","0","0","1","0","10","0","0","0","0","0","2","3","0","-0.3","",""
"Otto Lopez","22","do DO","R","R","5' 10""","185","Oct 1, 1998","1st","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","",""
"Alek Manoah","23","us US","R","R","6' 6""","285","Jan 9, 1998","1st","20","20","1","20","20","0","0","0","0","0","0","0","0","0","0","0","0","2.9","",""
"Steven Matz","30","us US","R","L","6' 2""","205","May 29, 1991","7","29","29","1","29","29","0","0","0","0","0","0","0","0","0","0","0","0","2.2","",""
"Tim Mayza","29","us US","L","L","6' 3""","215","Jan 15, 1992","4","61","0","6","61","61","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Reese McGuire","26","us US","L","R","6' 0""","233","Mar 2, 1995","4","78","61","78","73","0","73","0","0","0","0","0","0","0","0","1","7","2","0.3","",""
"Julian Merryweather","29","us US","R","R","6' 4""","215","Oct 14, 1991","2","13","1","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Tommy Milone","34","us US","L","L","6' 0""","215","Feb 16, 1987","11","6","1","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$570,500",""
"Patrick Murphy","26","us US","R","R","6' 5""","211","Jun 10, 1995","2","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Connor Overton","27","us US","L","R","6' 0""","205","Jul 24, 1993","1st","4","0","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Joshua Palacios","25","us US","L","R","6' 1""","200","Jul 30, 1995","1st","13","11","13","12","0","0","0","0","0","0","4","2","8","12","1","1","0","0.0","",""
"Joe Panik","30","us US","L","R","6' 1""","205","Oct 30, 1990","8","42","30","42","33","0","0","3","10","21","0","0","0","0","0","3","7","0","-0.5","$1,850,000",""
"Joel Payamps","27","do DO","R","R","6' 2""","220","Apr 7, 1994","3","22","0","1","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Nate Pearson","24","us US","R","R","6' 6""","255","Aug 20, 1996","2","12","1","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"David Phelps","34","us US","R","R","6' 2""","200","Oct 9, 1986","9","12","1","0","11","12","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$1,750,000",""
"Robbie Ray","29","us US","L","L","6' 2""","225","Oct 1, 1991","8","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","6.8","$8,000,000",""
"Trevor Richards","28","us US","R","R","6' 2""","205","May 15, 1993","4","32","0","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Tanner Roark","34","us US","R","R","6' 2""","238","Oct 5, 1986","9","3","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$12,000,000",""
"Jordan Romano","28","ca CA","R","R","6' 5""","210","Apr 21, 1993","3","62","0","4","62","62","0","0","0","0","0","0","0","0","0","0","0","0","2.4","",""
"Hyun Jin Ryu","34","kr KR","R","L","6' 3""","250","Mar 25, 1987","8","31","31","2","31","31","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$20,000,000",""
"Tayler Saucedo","28","us US","L","L","6' 4""","205","Jun 18, 1993","1st","29","0","3","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Marcus Semien","30","us US","R","R","6' 0""","195","Sep 17, 1990","9","162","161","162","161","0","0","0","147","0","21","0","0","0","0","1","0","0","7.1","$18,000,000","All-Star"
"Kevin Smith","24","us US","R","R","6' 0""","190","Jul 4, 1996","1st","18","11","18","15","0","0","1","0","14","0","1","0","0","1","1","2","2","-0.3","",""
"Kirby Snead","26","us US","L","L","6' 1""","218","Oct 7, 1994","1st","7","0","1","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Joakim Soria","37","mx MX","R","R","6' 3""","205","May 18, 1984","14","10","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"George Springer","31","us US","R","R","6' 3""","220","Sep 19, 1989","8","78","78","78","40","0","0","0","0","0","0","0","40","4","40","38","0","0","2.3","$23,666,667",""
"Ross Stripling","31","us US","R","R","6' 1""","215","Nov 23, 1989","6","24","19","3","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.9","$3,000,000",""
"Rowdy Tellez","26","us US","L","L","6' 4""","270","Mar 16, 1995","4","50","34","50","18","0","0","18","0","0","0","0","0","0","0","19","15","0","-0.8","",""
"Trent Thornton","27","us US","R","R","6' 0""","190","Sep 30, 1993","3","37","3","4","37","37","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Ty Tice","24","us US","L","R","5' 9""","185","Jul 4, 1996","1st","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Breyvic Valera","29","ve VE","B","R","5' 11""","190","Jan 8, 1992","4","39","21","39","28","0","0","0","10","21","0","0","0","0","0","1","10","5","-0.1","",""
"T.J. Zeuch","25","us US","R","R","6' 7""","245","Aug 1, 1995","3","5","3","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
