"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Austin Adams","28","us US","R","R","6' 3""","220","May 5, 1991","3","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Matt Adams","30","us US","L","R","6' 3""","263","Aug 31, 1988","8","111","71","111","79","0","0","79","0","0","0","0","0","0","0","0","33","1","0.5","$3,000,000",""
"Kyle Barraclough","29","us US","R","R","6' 3""","229","May 23, 1990","5","33","0","32","33","33","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$1,725,000",""
"Tres Barrera","24","us US","R","R","6' 0""","215","Sep 15, 1994","1st","2","0","2","1","0","1","0","0","0","0","0","0","0","0","0","1","0","-0.1","",""
"Aaron Barrett","31","us US","R","R","6' 3""","230","Jan 2, 1988","3","3","0","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Michael Blazek","30","us US","R","R","6' 0""","205","Mar 16, 1989","5","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"James Bourque","25","us US","R","R","6' 4""","215","Jul 9, 1993","1st","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Asdrúbal Cabrera","33","ve VE","B","R","6' 0""","235","Nov 13, 1985","13","38","32","38","34","0","0","3","31","5","0","0","0","0","0","0","5","0","0.9","",""
"Patrick Corbin","29","us US","L","L","6' 4""","225","Jul 19, 1989","7","33","33","31","33","33","0","0","0","0","0","0","0","0","0","0","0","0","4.8","$12,916,666",""
"Wilmer Difo","27","do DO","B","R","5' 10""","200","Apr 2, 1992","5","43","35","43","40","0","0","0","2","6","33","0","0","0","0","0","5","0","-0.9","$581,100",""
"Sean Doolittle","32","us US","L","L","6' 2""","218","Sep 26, 1986","8","63","0","61","63","63","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$6,000,000",""
"Brian Dozier","32","us US","R","R","5' 11""","200","May 15, 1987","8","135","114","135","123","1","0","0","123","0","0","0","0","0","0","0","14","0","1.2","$9,000,000",""
"Adam Eaton","30","us US","L","L","5' 9""","180","Dec 6, 1988","8","151","143","151","145","0","0","0","0","0","0","7","0","139","145","0","7","0","1.8","$8,400,000",""
"Roenis Elías","30","cu CU","L","L","6' 1""","205","Aug 1, 1988","6","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Erick Fedde","26","us US","R","R","6' 4""","205","Feb 25, 1993","3","21","12","20","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Yan Gomes","31","br BR","R","R","6' 2""","212","Jul 19, 1987","8","97","90","97","93","0","93","1","0","0","0","0","0","0","0","0","4","0","1.4","$7,083,334",""
"Matt Grace","30","us US","L","L","6' 4""","215","Dec 14, 1988","5","51","1","50","51","51","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$576,400",""
"Javy Guerra","33","us US","R","R","6' 1""","215","Oct 31, 1985","9","40","0","33","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jeremy Hellickson","32","us US","R","R","6' 1""","190","Apr 8, 1987","10","9","8","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$1,300,000",""
"Daniel Hudson","32","us US","R","R","6' 3""","215","Mar 9, 1987","10","24","0","23","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",""
"Dan Jennings","32","us US","L","L","6' 3""","215","Apr 17, 1987","8","8","0","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Howie Kendrick","35","us US","R","R","5' 11""","225","Jul 12, 1983","14","121","70","121","81","0","0","48","23","15","0","0","0","0","0","7","41","0","2.8","$4,000,000",""
"Carter Kieboom","21","us US","R","R","6' 2""","221","Sep 3, 1997","1st","11","10","11","10","0","0","0","0","0","10","0","0","0","0","0","1","0","-0.9","",""
"Kyle McGowin","27","us US","R","R","6' 3""","202","Nov 27, 1991","2","7","1","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Justin Miller","32","us US","R","R","6' 3""","225","Jun 13, 1987","5","17","0","17","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$593,200",""
"Jake Noll","25","us US","R","R","6' 1""","213","Mar 8, 1994","1st","8","2","8","3","0","0","2","0","1","0","0","0","0","0","0","5","0","-0.1","$555,000",""
"Gerardo Parra","32","ve VE","L","L","5' 11""","209","May 6, 1987","11","89","36","89","47","1","0","14","1","1","0","4","12","23","34","0","48","1","0.5","",""
"Tanner Rainey","26","us US","R","R","6' 2""","247","Dec 25, 1992","2","52","0","47","52","52","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Raudy Read","25","do DO","R","R","6' 0""","235","Oct 29, 1993","2","6","2","6","4","0","4","0","0","0","0","0","0","0","0","0","2","0","-0.2","",""
"Anthony Rendon","29","us US","R","R","6' 1""","200","Jun 6, 1990","7","146","146","146","146","0","0","0","1","146","0","0","0","0","0","0","0","0","7.1","$18,800,000","All-Star"
"Víctor Robles","22","do DO","R","R","6' 0""","193","May 19, 1997","3","155","147","155","152","0","0","0","0","0","0","0","141","15","152","0","5","0","4.4","$557,800",""
"Fernando Rodney","42","do DO","R","R","5' 11""","240","Mar 18, 1977","17","38","0","35","38","38","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Trevor Rosenthal","29","us US","R","R","6' 2""","230","May 29, 1990","7","12","0","11","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","$7,000,000",""
"Joe Ross","26","us US","R","R","6' 4""","243","May 21, 1993","5","28","9","28","27","27","0","0","0","0","0","0","0","0","0","0","1","0","-0.2","$1,000,000",""
"Adrián Sánchez","28","ve VE","R","R","6' 0""","197","Aug 16, 1990","3","28","1","28","14","0","0","1","4","6","2","1","0","0","1","0","18","3","-0.1","",""
"Aníbal Sánchez","35","ve VE","R","R","6' 0""","207","Feb 27, 1984","14","30","30","27","30","30","0","0","0","0","0","0","0","0","0","0","0","0","2.8","$6,000,000",""
"Max Scherzer","34","us US","R","R","6' 3""","208","Jul 27, 1984","12","29","27","28","27","27","0","0","0","0","0","0","0","0","0","0","1","1","5.2","$37,505,562","All-Star"
"Tony Sipp","35","us US","L","L","6' 0""","190","Jul 12, 1983","11","36","0","33","36","36","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$1,000,000",""
"Juan Soto","20","do DO","L","L","6' 2""","224","Oct 25, 1998","2","150","150","150","150","0","0","0","0","0","0","150","0","0","150","0","0","0","5.0","$578,300",""
"Andrew Stevenson","25","us US","L","L","5' 11""","191","Jun 1, 1994","3","30","3","30","5","0","0","0","0","0","0","5","0","0","5","0","25","0","0.2","$559,100",""
"Stephen Strasburg","30","us US","R","R","6' 5""","239","Jul 20, 1988","10","34","33","33","33","33","0","0","0","0","0","0","0","0","0","0","1","0","5.9","$38,333,333",""
"Hunter Strickland","30","us US","R","R","6' 3""","225","Sep 24, 1988","6","24","0","23","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Wander Suero","27","do DO","R","R","6' 4""","216","Sep 15, 1991","2","78","0","75","78","78","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$562,500",""
"Kurt Suzuki","35","us US","R","R","5' 11""","210","Oct 4, 1983","13","85","70","85","75","0","75","0","0","0","0","0","0","0","0","0","13","0","0.5","$4,000,000",""
"Michael A. Taylor","28","us US","R","R","6' 4""","215","Mar 26, 1991","6","53","19","53","31","0","0","0","0","0","0","0","25","7","31","0","16","9","-0.1","$3,250,000",""
"Trea Turner","26","us US","R","R","6' 2""","185","Jun 30, 1993","5","122","122","122","122","0","0","0","0","0","122","0","0","0","0","0","0","0","4.0","$3,725,000",""
"Jonny Venters","34","us US","L","L","6' 3""","200","Mar 20, 1985","5","3","0","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Austin Voth","27","us US","R","R","6' 2""","215","Jun 26, 1992","2","9","8","7","9","9","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"Austen Williams","26","us US","R","R","6' 3""","220","Dec 19, 1992","2","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Ryan Zimmerman","34","us US","R","R","6' 3""","215","Sep 28, 1984","15","52","43","52","44","0","0","44","0","0","0","0","0","0","0","3","7","0","0.5","$18,000,000",""
