"Player","Team","Year","Rk","Pos","Age.x","G.x","PA","AB","R","H","X2B.x","X3B.x","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB","source.x","Age.y","X","B","T","Ht","Wt","DoB","Yrs","G.y","GS","Batting","Defense","P","C","X1B","X2B.y","X3B.y","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1","source.y"
"a j burnett","MIA",2003,26,"P",26,4,9,7,0,1,0,0,0,0,0,0,2,3,0.143,0.333,0.143,0.476,32,1,0,0,0,0,0,"data1",26,"us US","R","R","6' 4""",230,"Jan 3, 1977","5",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$2,500,000","","data2"
"a j burnett","MIA",2004,25,"P",27,18,37,29,4,4,0,0,0,1,0,0,0,11,0.138,0.138,0.138,0.276,-26,4,1,0,8,0,0,"data1",27,"us US","R","R","6' 4""",230,"Jan 3, 1977","6",20,19,18,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"$2,500,000","","data2"
"a j burnett","MIA",2005,22,"P",28,31,79,68,3,10,2,2,1,2,0,0,1,34,0.147,0.171,0.279,0.451,19,19,1,1,9,0,0,"data1",28,"us US","R","R","6' 4""",230,"Jan 3, 1977","7",32,32,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.6,"$3,650,000","","data2"
"a j burnett","TOR",2006,23,"P",29,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,"data1",29,"us US","R","R","6' 4""",230,"Jan 3, 1977","8",21,21,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"$2,200,000","","data2"
"a j burnett","TOR",2007,27,"P",30,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,"data1",30,"us US","R","R","6' 4""",230,"Jan 3, 1977","9",25,25,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,2.4,"$13,200,000","","data2"
"a j hinch","DET",2003,18,"C",29,27,82,74,7,15,3,1,3,11,0,0,3,18,0.203,0.247,0.392,0.639,71,29,3,2,1,2,0,"data1",29,"us US","R","R","6' 1""",195,"May 15, 1974","6",27,23,27,27,0,27,0,0,0,0,0,0,0,0,0,1,0,-0.2,"","","data2"
"a j hinch","PHI",2004,18,"C",30,4,11,11,1,2,1,0,0,0,0,0,0,4,0.182,0.182,0.273,0.455,13,3,0,0,0,0,0,"data1",30,"us US","R","R","6' 1""",195,"May 15, 1974","7",4,1,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"","","data2"
"a j murray","TEX",2007,38,"P",25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"data1",25,"us US","B","L","6' 3""",220,"Mar 17, 1982","1st",14,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"","","data2"
"a j pierzynski","CHW",2005,1,"C",28,128,497,460,61,118,21,0,18,56,0,2,23,68,0.257,0.308,0.42,0.728,90,193,13,12,1,1,5,"data1",28,"us US","L","R","6' 3""",250,"Dec 30, 1976","8",128,124,128,128,0,128,0,0,0,0,0,0,0,0,0,2,0,2.3,"$2,250,000","","data2"
"a j pierzynski","CHW",2006,1,"C",29,140,543,509,65,150,24,0,16,64,1,0,22,72,0.295,0.333,0.436,0.769,94,222,10,8,3,1,6,"data1",29,"us US","L","R","6' 3""",250,"Dec 30, 1976","9",140,126,140,132,0,132,0,0,0,0,0,0,0,0,0,12,0,2.1,"$4,000,000","All-Star","data2"
