"Rank","Player","Team","Position"
"1","Cody Bellinger","LAD","RF"
"2","Alex Bregman","HOU","3B"
"3","Anthony Rendon","WSH","3B"
"4","Freddie Freeman","ATL","1B"
"5","Xander Bogaerts","BOS","SS"
"6","Christian Yelich","MIL","RF"
"7","Nolan Arenado","COL","3B"
"8","Ronald Acuna Jr.","ATL","CF"
"9","Mike Trout","LAA","CF"
"10","Justin Verlander","HOU","SP"
"11","Gerrit Cole","HOU","SP"
"12","Rafael Devers","BOS","3B"
"13","DJ LeMahieu","NYY","2B"
"14","Mookie Betts","BOS","RF"
"15","J.D. Martinez","BOS","LF"
"16","Marcus Semien","OAK","SS"
"17","Juan Soto","WSH","LF"
"18","Ketel Marte","ARI","2B"
"19","Pete Alonso","NYM","1B"
"20","Carlos Santana","CLE","1B"
"21","Charlie Morton","TB","SP"
"22","Bryce Harper","PHI","RF"
"23","Zack Greinke","HOU","SP"
"24","Trevor Story","COL","SS"
"25","Jacob deGrom","NYM","SP"
"26","Nelson Cruz","MIN","DH"
"27","Stephen Strasburg","WSH","SP"
"28","Charlie Blackmon","COL","RF"
"29","George Springer","HOU","CF"
"30","Trey Mancini","BAL","RF"
"31","Josh Donaldson","ATL","3B"
"","Kirby Yates","SD","RP"
"33","Hyun Jin Ryu","LAD","SP"
"34","Shane Bieber","CLE","SP"
"35","Josh Bell","PIT","1B"
"","Max Muncy","LAD","1B"
"37","Jorge Polanco","MIN","SS"
"38","Ozzie Albies","ATL","2B"
"39","Jorge Soler","KC","RF"
"40","Michael Brantley","HOU","LF"
"41","Eduardo Escobar","ARI","3B"
"42","Michael Soroka","ATL","SP"
"43","Eugenio Suarez","CIN","3B"
"44","Walker Buehler","LAD","SP"
"45","Jack Flaherty","STL","SP"
"46","Anthony Rizzo","CHC","1B"
"47","Josh Hader","MIL","RP"
"48","Patrick Corbin","WSH","SP"
"49","Mike Clevinger","CLE","SP"
"50","Lance Lynn","TEX","SP"
"51","Whit Merrifield","KC","2B"
"52","Kris Bryant","CHC","3B"
"53","Clayton Kershaw","LAD","SP"
"","Max Scherzer","WSH","SP"
"55","Luis Castillo","CIN","SP"
"56","Matt Chapman","OAK","3B"
"57","Jose Abreu","CHW","1B"
"58","Roberto Osuna","HOU","RP"
"59","Lucas Giolito","CHW","SP"
"60","Jeff McNeil","NYM","LF"
"61","Eduardo Rodriguez","BOS","SP"
"62","Jonathan Villar","BAL","2B"
"63","Sonny Gray","CIN","SP"
"64","Yuli Gurriel","HOU","1B"
"65","Aroldis Chapman","NYY","RP"
"66","Felipe Vazquez","PIT","RP"
"67","Paul Goldschmidt","STL","1B"
"68","Michael Conforto","NYM","RF"
"69","Francisco Lindor","CLE","SS"
"","Gleyber Torres","NYY","2B"
"71","Austin Meadows","TB","CF"
"72","Mike Minor","TEX","SP"
"73","Yoan Moncada","CHW","3B"
"74","Max Kepler","MIN","RF"
"75","Will Smith","SF","RP"
"76","Jose Berrios","MIN","SP"
"77","Dakota Hudson","STL","SP"
"78","Yasmani Grandal","MIL","C"
"79","Marcus Stroman","NYM","SP"
"80","Starling Marte","PIT","CF"
"","Rhys Hoskins","PHI","1B"
"82","Trea Turner","WSH","SS"
"83","Jake Odorizzi","MIN","SP"
"84","Adam Eaton","WSH","RF"
"85","Nick Castellanos","CHC","RF"
"86","Mike Fiers","OAK","SP"
"87","Tommy Pham","TB","CF"
"88","Eddie Rosario","MIN","LF"
"89","Marco Gonzales","SEA","SP"
"90","Emilio Pagan","TB","RP"
"91","Ken Giles","TOR","RP"
"92","Kyle Schwarber","CHC","LF"
"93","Alex Colome","CHW","RP"
"94","Giovanny Gallegos","STL","RP"
"95","Bryan Reynolds","PIT","LF"
"96","Shin-Soo Choo","TEX","LF"
"97","Justin Turner","LAD","3B"
"98","Brandon Workman","BOS","RP"
"99","Jose Altuve","HOU","2B"
"100","Tim Anderson","CHW","SS"
