"Rank","Player","Team","Position"
"1","Ronald Acuna Jr.","ATL","RF"
"2","Mookie Betts","LAD","RF"
"3","Freddie Freeman","LAD","1B"
"4","Matt Olson","ATL","1B"
"5","Kyle Tucker","HOU","RF"
"6","Gerrit Cole","NYY","SP"
"7","Juan Soto","SD","LF"
"8","Austin Riley","ATL","3B"
"9","Corey Seager","TEX","SS"
"10","Marcus Semien","TEX","2B"
"11","Blake Snell","SD","SP"
"12","Julio Rodriguez","SEA","CF"
"13","Yandy Diaz","TB","1B"
"","Ozzie Albies","ATL","2B"
"15","Corbin Carroll","ARI","LF"
"16","Alex Bregman","HOU","3B"
"17","Kyle Schwarber","PHI","LF"
"18","Zac Gallen","ARI","SP"
"19","Francisco Lindor","NYM","SS"
"20","Bobby Witt Jr.","KC","SS"
"21","Adolis Garcia","TEX","RF"
"22","Justin Steele","CHC","SP"
"23","Rafael Devers","BOS","3B"
"24","Christian Yelich","MIL","LF"
"25","Yordan Alvarez","HOU","LF"
"26","Luis Castillo","SEA","SP"
"27","Pete Alonso","NYM","1B"
"28","Cody Bellinger","CHC","CF"
"29","Kyle Bradish","BAL","SP"
"30","Adley Rutschman","BAL","C"
"31","Clayton Kershaw","LAD","SP"
"32","Jose Ramirez","CLE","3B"
"33","William Contreras","MIL","C"
"34","Kodai Senga","NYM","SP"
"35","Max Muncy","LAD","3B"
"36","Kevin Gausman","TOR","SP"
"37","Logan Webb","SF","SP"
"38","Devin Williams","MIL","RP"
"39","Trea Turner","PHI","SS"
"40","Zack Wheeler","PHI","SP"
"41","Luis Arraez","MIA","2B"
"42","Marcell Ozuna","ATL","DH"
"","Nico Hoerner","CHC","2B"
"44","Ketel Marte","ARI","2B"
"45","Nathaniel Lowe","TEX","1B"
"46","Sonny Gray","MIN","SP"
"47","Christian Walker","ARI","1B"
"48","Spencer Strider","ATL","SP"
"49","Zach Eflin","TB","SP"
"50","Felix Bautista","BAL","RP"
"51","Corbin Burnes","MIL","SP"
"52","Randy Arozarena","TB","LF"
"53","Nick Castellanos","PHI","RF"
"54","George Kirby","SEA","SP"
"55","Merrill Kelly","ARI","SP"
"56","Lane Thomas","WSH","RF"
"57","J.P. Crawford","SEA","SS"
"58","Ian Happ","CHC","LF"
"59","Bryce Harper","PHI","DH"
"60","Paul Goldschmidt","STL","1B"
"61","Chris Bassitt","TOR","SP"
"62","Gunnar Henderson","BAL","3B"
"63","Jordan Montgomery","TEX","SP"
"64","Framber Valdez","HOU","SP"
"65","Aaron Judge","NYY","RF"
"66","Brandon Nimmo","NYM","CF"
"","Michael Wacha","SD","SP"
"","Isaac Paredes","TB","3B"
"69","Justin Verlander","HOU","SP"
"70","Josh Hader","SD","RP"
"71","Spencer Torkelson","DET","1B"
"72","Anthony Santander","BAL","RF"
"73","Vladimir Guerrero Jr.","TOR","1B"
"74","Xander Bogaerts","SD","SS"
"75","David Bednar","PIT","RP"
"76","Tanner Bibee","CLE","SP"
"77","Spencer Steer","CIN","1B"
"78","Justin Turner","BOS","DH"
"79","Pablo Lopez","MIN","SP"
"80","Shohei Ohtani","LAA","DH"
"81","Evan Phillips","LAD","RP"
"82","Eduardo Rodriguez","DET","SP"
"83","Alexis Diaz","CIN","RP"
"84","Gleyber Torres","NYY","2B"
"85","Jose Altuve","HOU","2B"
"86","Luis Robert Jr.","CHW","CF"
"87","Logan Gilbert","SEA","SP"
"88","Bo Bichette","TOR","SS"
"89","Seiya Suzuki","CHC","RF"
"90","Fernando Tatis Jr.","SD","RF"
"91","Shane McClanahan","TB","SP"
"92","Steven Kwan","CLE","LF"
"93","Teoscar Hernandez","SEA","RF"
"94","Eugenio Suarez","SEA","3B"
"95","Will Smith","LAD","C"
"96","Jesus Luzardo","MIA","SP"
"97","Jorge Soler","MIA","DH"
"98","Alec Bohm","PHI","1B"
"","Bryce Elder","ATL","SP"
"100","Camilo Doval","SF","RP"
